feed,field,decision,fill_pct,writeback_wanted,writeback_possible,note
items,createdTime,ingest,100,,,
items,createdUser,ignore,100,,,
items,modTime,ingest,100,,,
items,modUser,ignore,100,,,
items,companyCode,ingest,100,,,
items,divisionCode,ingest,100,,,
items,itemNo,ingest,100,,,
items,itemDesc,ingest,97.7,,,
items,itemStatus,ingest,46.2,,,
items,seasonCode,ingest,24.7,,,
items,uomCode,ignore,100,,,
items,sizeRangeCode,ignore,98.3,,,
items,merchGroup01,ingest,87.3,,,
items,merchGroup02,ingest,86.2,,,
items,merchGroup03,ingest,86.8,,,
items,merchGroup04,ingest,91.5,,,
items,merchGroup05,ingest,73.8,,,
items,merchGroup06,ingest,78.8,,,
items,merchGroup07,ingest,14.3,,,
items,merchGroup08,ingest,26.2,,,
items,merchGroup09,ingest,5.5,,,
items,merchGroup10,ingest,13.2,,,
items,merchGroup11,ingest,0,,,ALWAYS EMPTY in sample
items,merchGroup12,ingest,0,,,ALWAYS EMPTY in sample
items,udf01,ingest,22.8,,,
items,udf02,ingest,6.3,,,
items,udf03,ingest,22.5,,,
items,udf04,ingest,20.2,,,
items,udfDate01,ingest,0.7,,,very rare
items,udfDate02,ingest,0.7,,,very rare
items,itemContent,ignore,0,,,ALWAYS EMPTY in sample
items,retailPrice,ingest,17,yes,yes (PUT /items),we can overwrite and send back to Coldlion
items,itemLength,ingest,50,,,
items,itemWidth,ingest,50,,,
items,itemHeight,ingest,27,,,
items,itemWeight,ingest,26.7,,,
items,measurementUOM,ignore,0,,,ALWAYS EMPTY in sample
items,weightUOM,ignore,0,,,ALWAYS EMPTY in sample
items,innerPackQty,ingest,61.3,,,
items,originCountry,ingest,0,yes,yes (PUT /items),ALWAYS EMPTY in sample we can overwrite and send back to Coldlion
items,itemCost,ingest,13.8,yes,yes (PUT /items),we can overwrite and send back to Coldlion
items,htsNumber,ingest,8.3,yes,yes (PUT /items),we can overwrite and send back to Coldlion
items,royaltyCode,ingest,71.7,,,
items,cartonQty,ingest,88.8,,,
items,itemPriceA,ingest,2,yes,yes (PUT /items),we can overwrite and send back to Coldlion
items,itemPriceB,ingest,2,yes,yes (PUT /items),we can overwrite and send back to Coldlion
items,itemPriceC,ingest,2,yes,yes (PUT /items),we can overwrite and send back to Coldlion
items,itemPriceD,ingest,2,yes,yes (PUT /items),we can overwrite and send back to Coldlion
items,itemPriceE,ignore,0,,,ALWAYS EMPTY in sample
items,itemPriceF,ignore,0,,,ALWAYS EMPTY in sample
items,itemPriceG,ignore,0,,,ALWAYS EMPTY in sample
items,baseQty,ignore,100,,,
items,itemPriceH,ignore,0,,,ALWAYS EMPTY in sample
items,itemNote,ingest,0.2,,,very rare
items,designNo,ingest,0,yes,yes (PUT /items),ALWAYS EMPTY in sample we can overwrite and send back to Coldlion
items,allowedSizes,ignore,23.5,,,
items,replenishSource,ignore,0,,,ALWAYS EMPTY in sample
items,replenishPolicy,ignore,0,,,ALWAYS EMPTY in sample
items,poLeadTime,ingest,0,yes,yes (PUT /items),ALWAYS EMPTY in sample we can overwrite and send back to Coldlion
