styleGuide,characterName,sourceCharacterId,status,rules,identityName,propertyCode,propertyVia,reason
101 Dalmatians,One Hundred and One Dalmatians,290,AUTO_RESOLVED,PRIMARY_ONLY,One Hundred and One Dalmatians,CP,STYLE_GUIDE_CODE,
A Bug's Life,A Bug`s Life,336,NON_CHARACTER_EXCLUDED,SELF_NAMED_GUIDE,,,,"Guide name, logo, or ""general"" royalty label"
Adventure Time: Animated Series,Abracadaniel,b9fea14e-210e-4ad1-ad5a-0b2b21db670a,AUTO_RESOLVED,PRIMARY_ONLY,Abracadaniel,,NEVER_DESIGNED,
Adventure Time: Animated Series,Adventure Time Logo,9340608f-e08c-4e61-9bd5-777b8249f801,NON_CHARACTER_EXCLUDED,LOGO_LABEL,,,,"Guide name, logo, or ""general"" royalty label"
Adventure Time: Animated Series,Air,2b7ac671-aa07-4549-a469-7c2e787867ca,AUTO_RESOLVED,PRIMARY_ONLY,Air,,NEVER_DESIGNED,
Adventure Time: Animated Series,AMO,1cf90f12-8b2d-43ab-ac39-542e51afbfdd,AUTO_RESOLVED,PRIMARY_ONLY,AMO,,NEVER_DESIGNED,
Adventure Time: Animated Series,Banana Guard,0e196044-fb35-4f64-a6ca-66c8717e20b4,AUTO_RESOLVED,PRIMARY_ONLY,Banana Guard,,NEVER_DESIGNED,
Adventure Time: Animated Series,Bat Marceline,945dfb29-ffdb-44d0-b086-647ffa3731f2,AUTO_RESOLVED,PRIMARY_ONLY,Bat Marceline,,NEVER_DESIGNED,
Adventure Time: Animated Series,Bee Princess,0ae36b23-bc54-44af-83d0-344cb9808871,AUTO_RESOLVED,PRIMARY_ONLY,Bee Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Beemo,277cdbdf-0a18-424b-afa3-0c942986cb24,AUTO_RESOLVED,PRIMARY_ONLY,Beemo,,NEVER_DESIGNED,
Adventure Time: Animated Series,Betty,18f3a7fe-46d6-4e36-83b6-c1bb54bcdd5c,AUTO_RESOLVED,PRIMARY_ONLY,Betty,,NEVER_DESIGNED,
Adventure Time: Animated Series,Billy,45a5a519-2ac8-499d-b011-681601fef1a4,AUTO_RESOLVED,PRIMARY_ONLY,Billy,,NEVER_DESIGNED,
