styleGuide,characterName,identityName,metadata
Aladdin (2019),Aladdin (2019) - W Smith (Genie),Aladdin - W Smith (Genie),"{""source_character_name"":""Aladdin (2019) - W Smith (Genie)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""1159087111"",""rendition"":{""title_year"":""2019""},""rendition_description"":""2019""}"
Annabelle Comes Home (2019),Bride (non-likeness),Bride,"{""source_character_name"":""Bride (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""f70e9055-27d0-4642-b49c-073e140aa1c8"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Annabelle Comes Home (2019),Demon (non-likeness),Demon,"{""source_character_name"":""Demon (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""11b3daf8-d8d7-4834-9a2c-24a71a2dce5f"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Annabelle Comes Home (2019),Ferryman (non-likeness),Ferryman,"{""source_character_name"":""Ferryman (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""ba2132e2-af4f-486c-aec2-ca457ee65f0a"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Annabelle Comes Home (2019),Judy as portrayed by Mckenna Grace,Judy,"{""source_character_name"":""Judy as portrayed by Mckenna Grace"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""3fb9bcf2-0d0e-4f03-a9be-b56b94b9495c"",""rendition"":{""portrayed_by"":""Mckenna Grace""},""rendition_description"":""as portrayed by Mckenna Grace""}"
Annabelle: Creation (2017),Linda as portrayed by Lulu Wilson,Linda,"{""source_character_name"":""Linda as portrayed by Lulu Wilson"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""1278256e-af84-4e4b-9bae-43ed0551d141"",""rendition"":{""portrayed_by"":""Lulu Wilson""},""rendition_description"":""as portrayed by Lulu Wilson""}"
Aquaman (2018),Aquaman (non talent likeness),Aquaman,"{""source_character_name"":""Aquaman (non talent likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""BARE_PRIMARY_KEPT""],""source_character_id"":""b12b326f-0152-4359-88fd-ddb51169dee6"",""rendition"":{""likeness_label"":""non talent likeness""},""rendition_description"":""non talent likeness""}"
Aquaman (2018),Atlanna as portrayed by Nicole Kidman,Atlanna,"{""source_character_name"":""Atlanna as portrayed by Nicole Kidman"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""357dda75-8ba7-427a-bd97-8b2e4a4bb8b0"",""rendition"":{""portrayed_by"":""Nicole Kidman""},""rendition_description"":""as portrayed by Nicole Kidman""}"
Aquaman (2018),Atlantean Soldier (non-likeness),Atlantean Soldier,"{""source_character_name"":""Atlantean Soldier (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""b1f1b9ed-ebdb-4c0a-9118-226d90de1b87"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Aquaman (2018),Black Manta (non talent likeness),Black Manta,"{""source_character_name"":""Black Manta (non talent likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""461d44ec-eb8e-4408-a5d6-2b677fc45fa4"",""rendition"":{""likeness_label"":""non talent likeness""},""rendition_description"":""non talent likeness""}"
Aquaman (2018),Brine King (non-likeness),Brine King,"{""source_character_name"":""Brine King (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""e242b57d-981c-4770-8934-b72f537e1b23"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Aquaman (2018),David Kane/Black Manta as portrayed by Yahya Abdul-Mateen II,David Kane,"{""source_character_name"":""David Kane/Black Manta as portrayed by Yahya Abdul-Mateen II"",""identity_rules"":[""STRIP_PORTRAYAL"",""SPLIT_SLASH_ALIAS"",""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""5aa553ed-247f-4d93-a595-ba177a8363a9"",""rendition"":{""portrayed_by"":""Yahya Abdul-Mateen II"",""alias"":""Black Manta""},""rendition_description"":""as portrayed by Yahya Abdul-Mateen II · aka Black Manta""}"
Aquaman (2018),King Nereus (non-likeness),King Nereus,"{""source_character_name"":""King Nereus (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""6852c5f7-3229-4690-9c5d-6978720198f2"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Aquaman (2018),King Nereus as portrayed by Dolph Lundgren,King Nereus,"{""source_character_name"":""King Nereus as portrayed by Dolph Lundgren"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""b64427d2-f568-4827-939f-512adfc5c0fe"",""rendition"":{""portrayed_by"":""Dolph Lundgren""},""rendition_description"":""as portrayed by Dolph Lundgren""}"
Aquaman (2018),Mera (non-likeness),Mera,"{""source_character_name"":""Mera (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""dab717d6-b3cf-4c50-a3ba-6885fe4d168c"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Aquaman (2018),Mera as portrayed by Amber Heard,Mera,"{""source_character_name"":""Mera as portrayed by Amber Heard"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""e237ec0a-399d-48d9-9a63-b7071998150c"",""rendition"":{""portrayed_by"":""Amber Heard""},""rendition_description"":""as portrayed by Amber Heard""}"
Aquaman (2018),MP/Aquaman/Arthur Curry as portrayed by Jason Momoa,MP,"{""source_character_name"":""MP/Aquaman/Arthur Curry as portrayed by Jason Momoa"",""identity_rules"":[""STRIP_PORTRAYAL"",""SPLIT_SLASH_ALIAS"",""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""e338896f-73a6-4109-9461-7e2c36895286"",""rendition"":{""portrayed_by"":""Jason Momoa"",""alias"":""Aquaman Arthur Curry""},""rendition_description"":""as portrayed by Jason Momoa · aka Aquaman Arthur Curry""}"
Aquaman (2018),Ocean Master (non talent likeness),Ocean Master,"{""source_character_name"":""Ocean Master (non talent likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""cb7a4c36-1610-4cdc-99bf-1a34fb967345"",""rendition"":{""likeness_label"":""non talent likeness""},""rendition_description"":""non talent likeness""}"
Aquaman (2018),ORM (non-likeness),ORM,"{""source_character_name"":""ORM (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""29d4393c-0381-4aee-ba3e-5ea38b1e3663"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Aquaman (2018),ORM/Ocean Master as portrayed by Patrick Wilson,ORM,"{""source_character_name"":""ORM/Ocean Master as portrayed by Patrick Wilson"",""identity_rules"":[""STRIP_PORTRAYAL"",""SPLIT_SLASH_ALIAS"",""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""fc989a18-b0b3-4c74-b132-6f2084348d7e"",""rendition"":{""portrayed_by"":""Patrick Wilson"",""alias"":""Ocean Master""},""rendition_description"":""as portrayed by Patrick Wilson · aka Ocean Master""}"
Aquaman (2018),Queen Rina (non-likeness),Queen Rina,"{""source_character_name"":""Queen Rina (non-likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""7bfcc81a-7975-4596-9dca-fd99ee4d0aea"",""rendition"":{""likeness_label"":""non-likeness""},""rendition_description"":""non-likeness""}"
Aquaman (2018),Tom Curry as portrayed by Temuera Morrison,Tom Curry,"{""source_character_name"":""Tom Curry as portrayed by Temuera Morrison"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""ee527efb-7ed6-41a4-9573-111ce821f3f3"",""rendition"":{""portrayed_by"":""Temuera Morrison""},""rendition_description"":""as portrayed by Temuera Morrison""}"
Aquaman (2018),Trench King (non-talent likeness),Trench King,"{""source_character_name"":""Trench King (non-talent likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""1e838e67-c801-445d-bc21-aac876b88b38"",""rendition"":{""likeness_label"":""non-talent likeness""},""rendition_description"":""non-talent likeness""}"
Aquaman (2018),Vulko (non-talent likeness),Vulko,"{""source_character_name"":""Vulko (non-talent likeness)"",""identity_rules"":[""STRIP_LIKENESS"",""PRIMARY_ONLY""],""source_character_id"":""e80e2092-392d-44a5-a9be-c1b13672ca2b"",""rendition"":{""likeness_label"":""non-talent likeness""},""rendition_description"":""non-talent likeness""}"
Aquaman (2018),Vulko as portrayed by Willem Dafoe,Vulko,"{""source_character_name"":""Vulko as portrayed by Willem Dafoe"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""249fdd3f-9e17-4891-8927-41dc895f9090"",""rendition"":{""portrayed_by"":""Willem Dafoe""},""rendition_description"":""as portrayed by Willem Dafoe""}"
Aquaman (2018),Young Arthur (13 years old) as portrayed by Otis Dhanji,Young Arthur (13 years old),"{""source_character_name"":""Young Arthur (13 years old) as portrayed by Otis Dhanji"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""986c1c57-c389-4a81-87a6-dcad6b2a098f"",""rendition"":{""portrayed_by"":""Otis Dhanji""},""rendition_description"":""as portrayed by Otis Dhanji""}"
Aquaman (2018),Young Arthur (9 years old) as portrayed by Kaan Guldur,Young Arthur (9 years old),"{""source_character_name"":""Young Arthur (9 years old) as portrayed by Kaan Guldur"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""bf852edb-c7b2-4e6c-a70a-44508eb8fdee"",""rendition"":{""portrayed_by"":""Kaan Guldur""},""rendition_description"":""as portrayed by Kaan Guldur""}"
Aquaman and the Lost Kingdom (2023),Aquaman aka Arthur Curry as portrayed by Jason Momoa,Aquaman aka Arthur Curry,"{""source_character_name"":""Aquaman aka Arthur Curry as portrayed by Jason Momoa"",""identity_rules"":[""STRIP_PORTRAYAL"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""a50a330a-99a0-49a7-932a-35ac3377a0f1"",""rendition"":{""portrayed_by"":""Jason Momoa""},""rendition_description"":""as portrayed by Jason Momoa""}"
Aquaman and the Lost Kingdom (2023),Atlanna as portrayed by Nicole Kidman,Atlanna,"{""source_character_name"":""Atlanna as portrayed by Nicole Kidman"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""7b93ae42-702e-4a40-8ab3-7a2400c2c31b"",""rendition"":{""portrayed_by"":""Nicole Kidman""},""rendition_description"":""as portrayed by Nicole Kidman""}"
Aquaman and the Lost Kingdom (2023),Black Manta aka David Kane as portrayed by Yahya Abdul-Mateen,Black Manta,"{""source_character_name"":""Black Manta aka David Kane as portrayed by Yahya Abdul-Mateen"",""identity_rules"":[""STRIP_PORTRAYAL"",""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""a2fcb5de-e26e-472b-897f-d9b2e8f59a2b"",""rendition"":{""portrayed_by"":""Yahya Abdul-Mateen"",""alias"":""David Kane""},""rendition_description"":""as portrayed by Yahya Abdul-Mateen · aka David Kane""}"
Aquaman and the Lost Kingdom (2023),Doctor Stephen Shin as portrayed by Randall Park,Doctor Stephen Shin,"{""source_character_name"":""Doctor Stephen Shin as portrayed by Randall Park"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""dad014e5-efdb-46e5-95f6-b53018b886f9"",""rendition"":{""portrayed_by"":""Randall Park""},""rendition_description"":""as portrayed by Randall Park""}"
Aquaman and the Lost Kingdom (2023),Kashon as portrayed by Indya Moore,Kashon,"{""source_character_name"":""Kashon as portrayed by Indya Moore"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""f23a0460-6005-4759-8982-3b8d11e84f01"",""rendition"":{""portrayed_by"":""Indya Moore""},""rendition_description"":""as portrayed by Indya Moore""}"
Aquaman and the Lost Kingdom (2023),King Nereus as portrayed by Dolph Lundgren,King Nereus,"{""source_character_name"":""King Nereus as portrayed by Dolph Lundgren"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""f55cac63-a54d-4533-94e7-97beb5334d8b"",""rendition"":{""portrayed_by"":""Dolph Lundgren""},""rendition_description"":""as portrayed by Dolph Lundgren""}"
Aquaman and the Lost Kingdom (2023),Mera as portrayed by Amber Heard,Mera,"{""source_character_name"":""Mera as portrayed by Amber Heard"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""163db422-e022-46bf-a3db-59c234dfdc4c"",""rendition"":{""portrayed_by"":""Amber Heard""},""rendition_description"":""as portrayed by Amber Heard""}"
Aquaman and the Lost Kingdom (2023),ORM as portrayed by Patrick Wilson,ORM,"{""source_character_name"":""ORM as portrayed by Patrick Wilson"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""bbdc233f-7be3-4997-8153-646fe73a1c91"",""rendition"":{""portrayed_by"":""Patrick Wilson""},""rendition_description"":""as portrayed by Patrick Wilson""}"
