identityName,licensorId,appearances,styleGuideCount,propertyCode,propertyRule,propertyReason
Batman aka Bruce Wayne,2,33,12,BM,REVIEWED_FRANCHISE_RULE,
Jason Voorhees,2,23,12,FT,MAJORITY_OF_APPEARANCES,
BATMAN,2,20,17,BM,REVIEWED_FRANCHISE_RULE,
BATMOBILE,2,19,11,BM,MOST_SPECIFIC_CODE,
Catwoman,2,18,14,BM,REVIEWED_FRANCHISE_RULE,
Superman,2,18,13,SM,MAJORITY_OF_APPEARANCES,
BANE,2,13,12,BM,REVIEWED_FRANCHISE_RULE,
Harley Quinn aka Dr. Harleen Francis Quinzel,2,12,12,HQ,REVIEWED_FRANCHISE_RULE,
Joker,2,12,12,JK,REVIEWED_FRANCHISE_RULE,
Marvel Logo,3,12,12,SP,MAJORITY_OF_APPEARANCES,
Wonder Woman aka Princess Diana aka Diana Prince,2,12,10,WW,REVIEWED_FRANCHISE_RULE,
Albus Dumbledore,2,11,10,HP,SINGLE_CANDIDATE,
COMMISSIONER GORDON,2,11,9,BM,MOST_SPECIFIC_CODE,
No Reportable Elements,2,11,1,BM,SINGLE_CANDIDATE,
Scarecrow,2,11,10,BM,MAJORITY_OF_APPEARANCES,
ALFRED,2,10,9,BM,MOST_SPECIFIC_CODE,
Flash,2,10,10,FS,REVIEWED_FRANCHISE_RULE,
Killer Croc,2,10,9,BM,REVIEWED_FRANCHISE_RULE,
MR. FREEZE,2,10,10,BM,MAJORITY_OF_APPEARANCES,
Bilbo Baggins,2,9,6,LR,SINGLE_CANDIDATE,
Elrond,2,9,6,LR,SINGLE_CANDIDATE,
Galadriel,2,9,6,LR,SINGLE_CANDIDATE,
Gandalf,2,9,6,LR,SINGLE_CANDIDATE,
Legolas,2,9,6,LR,SINGLE_CANDIDATE,
NIGHTWING,2,9,9,BM,MOST_SPECIFIC_CODE,
POISON IVY,2,9,9,BM,REVIEWED_FRANCHISE_RULE,
Riddler,2,9,9,BM,REVIEWED_FRANCHISE_RULE,
Robin aka Dick Grayson,2,9,8,BM,REVIEWED_FRANCHISE_RULE,
Ron Weasley,2,9,8,HP,SINGLE_CANDIDATE,
Saruman,2,9,6,LR,SINGLE_CANDIDATE,
Two-Face,2,9,8,BM,MOST_SPECIFIC_CODE,
Aquaman aka Arthur Curry,2,8,6,AQ,REVIEWED_FRANCHISE_RULE,
BATGIRL,2,8,8,BM,MOST_SPECIFIC_CODE,
Doctor Octopus,3,8,8,SP,REVIEWED_FRANCHISE_RULE,
Harry Potter,2,8,7,HP,SINGLE_CANDIDATE,
Hawkgirl,2,8,6,SM,MOST_SPECIFIC_CODE,
Hermione Granger,2,8,7,HP,SINGLE_CANDIDATE,
Hogwarts Express,2,8,8,HP,SINGLE_CANDIDATE,
Neo,2,8,4,,NO_PROPERTY_CANDIDATE,
Penguin,2,8,7,BM,REVIEWED_FRANCHISE_RULE,
Spider-Man,3,8,8,SP,REVIEWED_FRANCHISE_RULE,
