style_guide,character_name,source_character_id,components,reason,decision
Camp Rock,"Camp Rock - Jason, Nate & Shane",518032248,jason | nate | shane,"Combination row naming characters that appear nowhere else under this licensor: jason, nate, shane",
Camp Rock,"Camp Rock - Jason, Nate, Shane & Mitchie",518032306,jason | nate | shane | mitchie,"Combination row naming characters that appear nowhere else under this licensor: jason, nate, shane, mitchie",
Camp Rock,Camp Rock - Shane & Mitchie,518032307,shane | mitchie,"Combination row naming characters that appear nowhere else under this licensor: shane, mitchie",
Camp Rock 2,"Camp Rock 2 - Jason, Nate & Shane",518032705,jason | nate | shane,"Combination row naming characters that appear nowhere else under this licensor: jason, nate, shane",
Camp Rock 2,"Camp Rock 2 - Jason, Nate, Shane & Mitchie",518032706,jason | nate | shane | mitchie,"Combination row naming characters that appear nowhere else under this licensor: jason, nate, shane, mitchie",
Camp Rock 2,Camp Rock 2 - Shane & Mitchie,518032708,shane | mitchie,"Combination row naming characters that appear nowhere else under this licensor: shane, mitchie",
Cars,"Cars - King, Mario and Ferrari car only",518032003,king | mario | ferrari car only,"Combination row naming characters that appear nowhere else under this licensor: king, mario, ferrari car only",
Cars,Cars - Mia & Tia alone,518031691,mia | tia alone,"Combination row naming characters that appear nowhere else under this licensor: mia, tia alone",
Cars 2,"Cars 2 - Doc Hudson,Hudson Hornet Piston Cup, Sarge, Acer - Alone/Together",518032902,doc hudson | hudson hornet piston cup | sarge | acer alone together,"Combination row naming characters that appear nowhere else under this licensor: doc hudson, hudson hornet piston cup, sarge, acer alone together",
Cars 2,Cars 2 - Jeff Gorvette with 24 & Signature - Alone,518032910,jeff gorvette with 24 | signature alone,"Combination row naming characters that appear nowhere else under this licensor: jeff gorvette with 24, signature alone",
Cars 2,"Cars 2 - Nigel Gearsley crew chief, BMW, Mini Cooper - Alone/Together",518032901,nigel gearsley crew chief | bmw | mini cooper alone together,"Combination row naming characters that appear nowhere else under this licensor: nigel gearsley crew chief, bmw, mini cooper alone together",
Cars 2,"Cars 2 - Ramone, Bub Cutlass, Cori Vetta - Alone/Together",518032904,ramone | bub cutlass | cori vetta alone together,"Combination row naming characters that appear nowhere else under this licensor: ramone, bub cutlass, cori vetta alone together",
Cars 3,Cars 3 - Jeff Gorvette and 24 & Signature,1159069088,jeff gorvette | 24 | signature,"Combination row naming characters that appear nowhere else under this licensor: jeff gorvette, 24, signature",
Disney Stitch Franchise,Leroy & Stitch (DSF),1159372629,leroy | stitch dsf,"Combination row naming characters that appear nowhere else under this licensor: leroy, stitch dsf",
Disney Stitch Franchise,Lilo & Stitch The Series (DSF),1159372630,lilo | stitch the series dsf,"Combination row naming characters that appear nowhere else under this licensor: lilo, stitch the series dsf",
Disney Zombies,"Disney Zombies - Addison, Zoey, Eliza, Zed, Bucky, Bonzo",1159075358,addison | zoey | eliza | zed | bucky | bonzo,"Combination row naming characters that appear nowhere else under this licensor: addison, zoey, eliza, zed, bucky, bonzo",
Disney Zombies,"Disney Zombies - Bonzo, Zed, Eliza",1159075359,bonzo | zed | eliza,"Combination row naming characters that appear nowhere else under this licensor: bonzo, zed, eliza",
Disney Zombies,"Disney Zombies - Eliza, Zed, Addison, Bonzo",1159075360,eliza | zed | addison | bonzo,"Combination row naming characters that appear nowhere else under this licensor: eliza, zed, addison, bonzo",
High School Musical,"High School Musical - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",518032284,troy | gabriella | chad | taylor | sharpay | ryan,"Combination row naming characters that appear nowhere else under this licensor: troy, gabriella, chad, taylor, sharpay, ryan",
High School Musical 2,"High School Musical 2 - Gabriella, Taylor & Troy",518032338,gabriella | taylor | troy,"Combination row naming characters that appear nowhere else under this licensor: gabriella, taylor, troy",
High School Musical 2,"High School Musical 2 - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",518032170,troy | gabriella | chad | taylor | sharpay | ryan,"Combination row naming characters that appear nowhere else under this licensor: troy, gabriella, chad, taylor, sharpay, ryan",
High School Musical 2,"High School Musical 2 - Troy, Taylor, Sharpay",518032440,troy | taylor | sharpay,"Combination row naming characters that appear nowhere else under this licensor: troy, taylor, sharpay",
High School Musical 3,"High School Musical 3 - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",518032329,troy | gabriella | chad | taylor | sharpay | ryan,"Combination row naming characters that appear nowhere else under this licensor: troy, gabriella, chad, taylor, sharpay, ryan",
High School Musical 3,"High School Musical 3 - Troy, Gabrielle, Sharpay, Ryan",518032442,troy | gabrielle | sharpay | ryan,"Combination row naming characters that appear nowhere else under this licensor: troy, gabrielle, sharpay, ryan",
High School Musical: The Musical: The Series,"High School Musical: The Musical-General (No Name, Likeness, Voice Royalty)",1159100028,high school musical the musical general no name | likeness | voice royalty,"Combination row naming characters that appear nowhere else under this licensor: high school musical the musical general no name, likeness, voice royalty",
Looney Tunes Core,Bugs Bunny & Harley Davidson,063e2fc4-5d53-4082-b8eb-161a8462e67c,bugs bunny | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
Looney Tunes Core,Cottontail Smith & Horse,8f43c95c-fb9d-472f-8189-690a2c3502ca,cottontail smith | horse,"Combination row naming characters that appear nowhere else under this licensor: cottontail smith, horse",
Looney Tunes Core,Daffy Duck & Harley Davidson,56b75ac6-0a98-4509-a756-3922be7a7fad,daffy duck | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
Looney Tunes Core,Goofy Gophers (Mac & Tosh),77170010-0da7-42a5-adb9-b6d51822e631,goofy gophers mac | tosh,"Combination row naming characters that appear nowhere else under this licensor: goofy gophers mac, tosh",
Looney Tunes Core,Hatfield & Mccoy (Feudin` Mountain Boys),c73d7a16-f19c-4eb4-947a-97ad39e736c4,hatfield | mccoy feudin mountain boys,"Combination row naming characters that appear nowhere else under this licensor: hatfield, mccoy feudin mountain boys",
Looney Tunes Core,Marvin The Martian & Harley Davidson,f328746a-1731-4082-a3ef-c46d5b307749,marvin the martian | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
Looney Tunes Core,Moth & Honey Bee,ed0dddfd-6a0e-411f-b965-879eb51d49b4,moth | honey bee,"Combination row naming characters that appear nowhere else under this licensor: moth, honey bee",
Looney Tunes Core,Road Runner & Harley Davidson,39dac868-9311-4f59-9ffc-e10173e14a12,road runner | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
Looney Tunes Core,Sylvester & Harley Davidson,9c998594-1b20-478a-bd12-7ab2cc2660aa,sylvester | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
Looney Tunes Core,Tasmanian Devil & Harley Davidson,812927c8-5590-4c75-bce3-e921ef079156,tasmanian devil | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
Looney Tunes Core,Tweety & Harley Davidson,30538e05-bb31-4ee9-84a8-956f8936a7a4,tweety | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
Looney Tunes Core,Wile E. Coyote & Harley Davidson,e22772e2-9602-48e1-b92f-8ec3f536b8d5,wile e coyote | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
Looney Tunes Core,Yosemite Sam & Harley Davidson,5c7d34ea-35b9-4407-8415-d3ff68ab5cc1,yosemite sam | harley davidson,Combination row naming characters that appear nowhere else under this licensor: harley davidson,
