ref,issue,licensor,style_guide,character,places_used,what_we_have,what_that_code_actually_is,the_problem,what_we_need_from_you,options,YOUR_ANSWER,YOUR_NOTES
A001,MG06 code looks wrong,Warner Bros,"Lost Boys, The (1987)",,20,MG06 code LB,"a real Coldlion code, but it is not set up as a property in our system",LB cannot be used yet because the property does not exist on our side.,"Give the correct MG06 code for this style guide under Warner Bros, or write NONE if POP has never produced against it.",,,
A002,MG06 code looks wrong,Warner Bros,Black Adam (2022),,10,MG06 code BP,BLACK PANTHER (owned by Marvel),"BP is owned by Marvel, but this style guide is Warner Bros. A code cannot cross licensors.","Give the correct MG06 code for this style guide under Warner Bros, or write NONE if POP has never produced against it.",,,
A003,MG06 code looks wrong,Warner Bros,"Exorcist, The (1973)",,2,MG06 code EX,"a real Coldlion code, but it is not set up as a property in our system",EX cannot be used yet because the property does not exist on our side.,"Give the correct MG06 code for this style guide under Warner Bros, or write NONE if POP has never produced against it.",,,
A004,MG06 code looks wrong,Disney,Big Hero 6 TV,,1,MG06 code BK,BIG LEBOWSKI (owned by NBC),"BK is owned by NBC, but this style guide is Disney. A code cannot cross licensors.","Give the correct MG06 code for this style guide under Disney, or write NONE if POP has never produced against it.",,,
A005,MG06 code looks wrong,Disney,Coco,,1,MG06 code CC,COCO (owned by DTR - NO LICENSE (i.e. not licensed)),"CC is owned by DTR - NO LICENSE (i.e. not licensed), but this style guide is Disney. A code cannot cross licensors.","Give the correct MG06 code for this style guide under Disney, or write NONE if POP has never produced against it.",,,
B001,One row names several characters,Disney,Camp Rock,"Camp Rock - Jason, Nate & Shane",1,"Camp Rock - Jason, Nate & Shane",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jason, nate, shane.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B002,One row names several characters,Disney,Camp Rock,"Camp Rock - Jason, Nate, Shane & Mitchie",1,"Camp Rock - Jason, Nate, Shane & Mitchie",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jason, nate, shane, mitchie.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B003,One row names several characters,Disney,Camp Rock,Camp Rock - Shane & Mitchie,1,Camp Rock - Shane & Mitchie,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: shane, mitchie.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B004,One row names several characters,Disney,Camp Rock 2,"Camp Rock 2 - Jason, Nate & Shane",1,"Camp Rock 2 - Jason, Nate & Shane",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jason, nate, shane.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B005,One row names several characters,Disney,Camp Rock 2,"Camp Rock 2 - Jason, Nate, Shane & Mitchie",1,"Camp Rock 2 - Jason, Nate, Shane & Mitchie",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jason, nate, shane, mitchie.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B006,One row names several characters,Disney,Camp Rock 2,Camp Rock 2 - Shane & Mitchie,1,Camp Rock 2 - Shane & Mitchie,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: shane, mitchie.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B007,One row names several characters,Disney,Cars,"Cars - King, Mario and Ferrari car only",1,"Cars - King, Mario and Ferrari car only",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: king, mario, ferrari car only.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
