character,legacy_licensor_id,appearances,candidate_codes,style_guides,reason,chosen_mg06_code
Judy,2,2,A9(ANNABELLE COMES HOME 2019)x1 | C3(THE CONJURING 2013)x1,"Annabelle Comes Home (2019) | Conjuring 2, The (2016)","Equally specific, equally frequent property codes: A9, C3",
Linda,2,2,A7(ANNABELLE: CREATION 2017)x1 | T7(IT 2017)x1,Annabelle: Creation (2017) | IT (2017),"Equally specific, equally frequent property codes: A7, T7",
Aquaman,2,2,AQ(AQUAMAN)x1 | BM(BATMAN)x1,Aquaman (2018) | Batman Core,"Equally specific, equally frequent property codes: AQ, BM",
Phil Coulson,3,4,AV(AVENGERS GROUP)x2 | MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Avengers | Marvel Cross-Franchise Art Packs | Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Dr. Doom,3,6,AV(AVENGERS GROUP)x1 | FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | GM(GAMERVERSE)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1,Avengers | Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Games | Marvel Seasonal | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Hydra,3,4,AV(AVENGERS GROUP)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1 | SP(SPIDER MAN)x1,Avengers | Marvel Cross-Franchise Art Packs | Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Erik Killmonger,3,3,AV(AVENGERS GROUP)x1 | BP(BLACK PANTHER)x1 | MU(MUPPETS)x1,Avengers | Marvel Cross-Franchise Art Packs | Marvel Universe,"Equally specific, equally frequent property codes: BP, MU",
Quicksilver,3,4,AV(AVENGERS GROUP)x1 | GM(GAMERVERSE)x1 | MU(MUPPETS)x1 | XM(X-MEN)x1,Avengers | Marvel Games | Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Steve Rogers,3,3,AV(AVENGERS GROUP)x1 | CA(CAPTAIN AMERICA)x1 | MU(MUPPETS)x1,Avengers | Marvel Cross-Franchise Art Packs | Marvel Universe,"Equally specific, equally frequent property codes: CA, MU",
Tony Stark,3,3,AV(AVENGERS GROUP)x1 | MU(MUPPETS)x1 | RM(IRON MAN)x1,Avengers | Marvel Cross-Franchise Art Packs | Marvel Universe,"Equally specific, equally frequent property codes: MU, RM",
Max,2,5,LB(THE LOST BOYS)x2 | WT(WHERE THE WILD THINGS ARE)x2 | BM(BATMAN)x1,"Batman Beyond: Animated Series  | Lost Boys, The (1987)  | Where The Wild Things Are (2009) | Where The Wild Things Are - Literary","Equally specific, equally frequent property codes: BM, LB, WT",
Batcomputer,2,2,BA(BATWHEELS)x1 | BM(BATMAN)x1,Batman Core | Batwheels: Animated Series,"Equally specific, equally frequent property codes: BA, BM",
Other Related Characters,2,3,BM(BATMAN)x1 | SM(SUPERMAN)x1 | WW(WONDER WOMAN)x1,Batman Core | Superman Core | Wonder Woman Core,"Equally specific, equally frequent property codes: BM, SM, WW",
OTHER,2,3,BM(BATMAN)x1 | LT(LOONEY TUNES)x1,"Batman Forever (1995)  | Goonies, The (1985) | Looney Tunes Core","Equally specific, equally frequent property codes: BM, LT",
Martha Kent,2,3,BM(BATMAN)x1 | SM(SUPERMAN)x1,Batman v Superman: Dawn of Justice (2016) | DC Super Hero Girls: Animated Series | Superman Core,"Equally specific, equally frequent property codes: BM, SM",
Perry White,2,3,BM(BATMAN)x1 | JG(JUSTICE LEAGUE)x1 | SM(SUPERMAN)x1,Batman v Superman: Dawn of Justice (2016) | Justice League Core | Superman Core,"Equally specific, equally frequent property codes: BM, SM",
Egghead,2,2,BM(BATMAN)x1 | LT(LOONEY TUNES)x1,Batman: Television Series (1966)  | Looney Tunes Core,"Equally specific, equally frequent property codes: BM, LT",
The Bookworm,2,2,BM(BATMAN)x1 | LT(LOONEY TUNES)x1,Batman: Television Series (1966)  | Looney Tunes Core,"Equally specific, equally frequent property codes: BM, LT",
Toyman,2,3,BA(BATWHEELS)x1 | JG(JUSTICE LEAGUE)x1 | SM(SUPERMAN)x1,Batwheels: Animated Series | Justice League Core | Superman Core,"Equally specific, equally frequent property codes: BA, SM",
Drew,2,2,C1(THE CONJURING 3: THE DEVIL MADE ME DO IT)x1 | C3(THE CONJURING 2013)x1,"Conjuring 3: The Devil Made Me Do It, The (2021) | Conjuring, The (2013)","Equally specific, equally frequent property codes: C1, C3",
Nancy,2,2,C3(THE CONJURING 2013)x1 | NE(NIGHTMARE ON ELM STREET)x1,"Conjuring, The (2013) | Nightmare on Elm Street, A (2010)","Equally specific, equally frequent property codes: C3, NE",
Lena Luthor,2,3,SG(SUPERGIRL)x1 | SM(SUPERMAN)x1,DC Super Hero Girls: Animated Series | Supergirl: Television Series (2015) | Superman Core,"Equally specific, equally frequent property codes: SG, SM",
Bob Agent of Hydra,3,2,DP(DEADPOOL)x1 | MU(MUPPETS)x1,Deadpool Classic | Marvel Universe,"Equally specific, equally frequent property codes: DP, MU",
Boom Boom,3,2,DP(DEADPOOL)x1 | XM(X-MEN)x1,Deadpool Classic | X-Men Classic,"Equally specific, equally frequent property codes: DP, XM",
Cannonball,3,2,DP(DEADPOOL)x1 | XM(X-MEN)x1,Deadpool Classic | X-Men Classic,"Equally specific, equally frequent property codes: DP, XM",
Domino,3,3,DP(DEADPOOL)x1 | MU(MUPPETS)x1 | XM(X-MEN)x1,Deadpool Classic | Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: DP, MU, XM",
Headpool,3,2,DP(DEADPOOL)x1 | XM(X-MEN)x1,Deadpool Classic | X-Men Classic,"Equally specific, equally frequent property codes: DP, XM",
Lady Deadpool,3,2,DP(DEADPOOL)x1 | XM(X-MEN)x1,Deadpool Classic | X-Men Classic,"Equally specific, equally frequent property codes: DP, XM",
Negasonic Teenage Warhead,3,2,DP(DEADPOOL)x1 | XM(X-MEN)x1,Deadpool Classic | X-Men Classic,"Equally specific, equally frequent property codes: DP, XM",
Shatterstar,3,2,DP(DEADPOOL)x1 | XM(X-MEN)x1,Deadpool Classic | X-Men Classic,"Equally specific, equally frequent property codes: DP, XM",
Warpath,3,2,DP(DEADPOOL)x1 | XM(X-MEN)x1,Deadpool Classic | X-Men Classic,"Equally specific, equally frequent property codes: DP, XM",
Diablo,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Dragon Man,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Fantastic Four,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Fantastic Four Logo,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Fantasticar,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Galactus,3,3,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Ben Grimm,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
H.E.R.B.I.E.,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Alicia Masters,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Mole Man,3,4,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1 | SP(SPIDER MAN)x1,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: FFF, MU, SP",
Moloid,3,4,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1 | SP(SPIDER MAN)x1,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: FFF, MU, SP",
Namor,3,4,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Seasonal | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Puppet Master,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Red Ghost,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
