ref,answer,disposition,answered_by,answered_on,source
A005,,BLANK_NOTE_CARRIED_ANSWER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B007,REAL CHARACTERS - I LISTED THEM,NAMES_CELL_EMPTY_NOT_RE_ASKED,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B038,,BLANK_NOTE_CARRIED_ANSWER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B039,,BLANK_MALFORMED_QUESTION,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B040,,BLANK_MALFORMED_QUESTION,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B041,,BLANK_MALFORMED_QUESTION,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B042,,BLANK_MALFORMED_QUESTION,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B043,,BLANK_MALFORMED_QUESTION,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B044,,BLANK_MALFORMED_QUESTION,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
B045,,BLANK_MALFORMED_QUESTION,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); blank recorded in fix_characters_style_guides.md 'Licensing round 2 - RETURNED'"
C004,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C006,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C016,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C017,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C018,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C019,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C020,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C021,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C022,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C023,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
C033,NONE,MULTI_PROPERTY_CHARACTER,licensing company reviewer,2026-08-04,"round-2 workbook (deliberately not committed); roll-up recorded in COORDINATOR_INTAKE.md at 17d25b66, migrated to issue #562"
