licensor,style_guide,characters,decision_status,suggested_existing_mg06_code,suggested_existing_mg06_desc,decision_basis,folder_property,folder_leaf_match,folder_confidence,fuzzy_mg06_code,fuzzy_mg06_desc,fuzzy_confidence,final_mg06_code
Coca Cola,Coca-Cola,6,ACCEPTED_DIRECT,CCC,COCA COLA,Owner accepted exact normalized DAM parent + licensor agreement,Coca-Cola Packaging OneSheet 2023 Update_Folder,,66%,CCC,COCA COLA,100%,CCC
Dis/Mrv/SW,Aladdin (2019),2,ACCEPTED_CLEAR_MG06,AD,ALADDIN,Clear existing MG06 property name match,Aladdin,,100%,AD,ALADDIN,100%,AD
Dis/Mrv/SW,Alice In Wonderland,1,ACCEPTED_DIRECT,AW,ALICE IN WONDERLAND,Owner accepted exact normalized DAM parent + licensor agreement,Alice in Wonderland,,100%,AW,ALICE IN WONDERLAND,100%,AW
Dis/Mrv/SW,Cars,84,ACCEPTED_DIRECT,CAR,CARS,Owner accepted exact normalized DAM parent + licensor agreement,Cars,,100%,CAR,CARS,100%,CAR
Dis/Mrv/SW,Cars 2,44,ACCEPTED_CLEAR_MG06,CAR,CARS,Clear existing MG06 property name match,Cars,,100%,CAR,CARS,100%,CAR
Dis/Mrv/SW,Cars 3,57,ACCEPTED_CLEAR_MG06,CAR,CARS,Clear existing MG06 property name match,Cars,,100%,CAR,CARS,100%,CAR
Dis/Mrv/SW,Coco,1,ACCEPTED_CLEAR_MG06,CC,COCO,Clear existing MG06 property name match,Pixar,Coco,100%,CC,COCO,100%,CC
Dis/Mrv/SW,Encanto,1,ACCEPTED_DIRECT,EC,ENCANTO,Owner accepted exact normalized DAM parent + licensor agreement,Encanto,,100%,EC,ENCANTO,100%,EC
Dis/Mrv/SW,Frozen,2,ACCEPTED_DIRECT,FZ,FROZEN,Owner accepted exact normalized DAM parent + licensor agreement,Frozen,,100%,F2,FROZEN 2,100%,FZ
Dis/Mrv/SW,Frozen 3,1,ACCEPTED_CLEAR_MG06,FZ,FROZEN,Clear existing MG06 property name match,Frozen,,100%,F2,FROZEN 2,100%,FZ
Dis/Mrv/SW,Frozen II,6,ACCEPTED_CLEAR_MG06,FZ,FROZEN,Clear existing MG06 property name match,Frozen II,,100%,FZ,FROZEN,87%,FZ
Dis/Mrv/SW,Hannah Montana Movie,8,ACCEPTED_CLEAR_MG06,HM,HANNAH MONTANA,Clear existing MG06 property name match,Disney Channel,Hannah Montana,77%,HM,HANNAH MONTANA,89%,HM
Dis/Mrv/SW,Hercules,1,ACCEPTED_DIRECT,HE,HERCULES,Owner accepted exact normalized DAM parent + licensor agreement,Hercules,,100%,HE,HERCULES,100%,HE
Dis/Mrv/SW,High School Musical,17,ACCEPTED_DIRECT,HSM,HIGH SCHOOL MUSICAL,Owner accepted exact normalized DAM parent + licensor agreement,Disney Channel,High School Musical,100%,HSM,HIGH SCHOOL MUSICAL,100%,HSM
Dis/Mrv/SW,High School Musical 2,20,ACCEPTED_CLEAR_MG06,HSM,HIGH SCHOOL MUSICAL,Clear existing MG06 property name match,Disney Channel,High School Musical,100%,HSM,HIGH SCHOOL MUSICAL,100%,HSM
Dis/Mrv/SW,High School Musical 3,18,ACCEPTED_CLEAR_MG06,HSM,HIGH SCHOOL MUSICAL,Clear existing MG06 property name match,Disney Channel,High School Musical,100%,HSM,HIGH SCHOOL MUSICAL,100%,HSM
Dis/Mrv/SW,High School Musical 4,1,ACCEPTED_CLEAR_MG06,HSM,HIGH SCHOOL MUSICAL,Clear existing MG06 property name match,Disney Channel,High School Musical,100%,HSM,HIGH SCHOOL MUSICAL,100%,HSM
Dis/Mrv/SW,High School Musical: The Musical: The Series,11,ACCEPTED_CLEAR_MG06,HSM,HIGH SCHOOL MUSICAL,Clear existing MG06 property name match,Disney Channel,High School Musical,80%,HSM,HIGH SCHOOL MUSICAL,80%,HSM
Dis/Mrv/SW,Hocus Pocus,1,ACCEPTED_DIRECT,HPS,HOCUS POCUS,Owner accepted exact normalized DAM parent + licensor agreement,Hocus Pocus,,100%,HPS,HOCUS POCUS,100%,HPS
Dis/Mrv/SW,Lizzie McGuire - TV Series,2,ACCEPTED_CLEAR_MG06,MCG,LIZZIE MCGUIRE,Clear existing MG06 property name match,Disney Channel,Lizzie McGuire,77%,MCG,LIZZIE MCGUIRE,84%,MCG
Dis/Mrv/SW,Lizzie McGuire Movie,6,ACCEPTED_CLEAR_MG06,MCG,LIZZIE MCGUIRE,Clear existing MG06 property name match,Disney Channel,Lizzie McGuire,77%,MCG,LIZZIE MCGUIRE,89%,MCG
Dis/Mrv/SW,Mickey Mouse,14,ACCEPTED_DIRECT,MM,MICKEY MOUSE,Owner accepted exact normalized DAM parent + licensor agreement,Mickey,,70%,MM,MICKEY MOUSE,100%,MM
Dis/Mrv/SW,Mickey Mouse Family,10,ACCEPTED_CLEAR_MG06,MM,MICKEY MOUSE,Clear existing MG06 property name match,Mickey,,63%,MM,MICKEY MOUSE,86%,MM
Dis/Mrv/SW,Monsters at Work,1,ACCEPTED_CLEAR_MG06,MS,MONSTERS,Clear existing MG06 property name match,,,,MS,MONSTERS,81%,MS
Dis/Mrv/SW,Monsters Inc,1,ACCEPTED_CLEAR_MG06,MS,MONSTERS,Clear existing MG06 property name match,Pixar,Monsters Inc. Style Guide,100%,MS,MONSTERS,87%,MS
Dis/Mrv/SW,Monsters University,1,ACCEPTED_CLEAR_MG06,MS,MONSTERS,Clear existing MG06 property name match,,,,MS,MONSTERS,78%,MS
Dis/Mrv/SW,Muppets,1,ACCEPTED_DIRECT,MU,MUPPETS,Owner accepted exact normalized DAM parent + licensor agreement,Muppets,,100%,MU,MUPPETS,100%,MU
Dis/Mrv/SW,Nightmare Before Christmas,1,ACCEPTED_DIRECT,NX,NIGHTMARE BEFORE CHRISTMAS,Owner accepted exact normalized DAM parent + licensor agreement,_Packaging,2342024-Tim-Burton_s-The-Nightmare-Before-Christmas Jan 2025,67%,NX,NIGHTMARE BEFORE CHRISTMAS,100%,NX
Dis/Mrv/SW,Peter Pan,1,ACCEPTED_DIRECT,PA,PETER PAN,Owner accepted exact normalized DAM parent + licensor agreement,Peter Pan,,100%,PA,PETER PAN,100%,PA
Dis/Mrv/SW,Peter Pan - Individual Characters,2,ACCEPTED_CLEAR_MG06,PA,PETER PAN,Clear existing MG06 property name match,Peter Pan,,70%,PA,PETER PAN,73%,PA
Dis/Mrv/SW,Toy Story 4,9,ACCEPTED_DIRECT,TS,TOY STORY 4,Owner accepted exact normalized DAM parent + licensor agreement,Toy Story 4,,100%,TS,TOY STORY 4,100%,TS
Dis/Mrv/SW,Winnie The Pooh,1,ACCEPTED_DIRECT,WP,WINNIE THE POOH,Owner accepted exact normalized DAM parent + licensor agreement,Winnie the Pooh,,100%,WP,WINNIE THE POOH,100%,WP
Dis/Mrv/SW,Winnie The Pooh Classic,1,ACCEPTED_CLEAR_MG06,WP,WINNIE THE POOH,Clear existing MG06 property name match,Winnie the Pooh,,77%,WP,WINNIE THE POOH,87%,WP
Marvel,Black Panther Movie 2 - No Likeness,21,ACCEPTED_CLEAR_MG06,BP,BLACK PANTHER,Clear existing MG06 property name match,,,,BP,BLACK PANTHER,77%,BP
Marvel,Black Panther Movie 2 - With Likeness,4,ACCEPTED_CLEAR_MG06,BP,BLACK PANTHER,Clear existing MG06 property name match,,,,BP,BLACK PANTHER,77%,BP
Marvel,Captain Marvel Movie - No Likeness,22,ACCEPTED_CLEAR_MG06,CM,CAPTAIN MARVEL,Clear existing MG06 property name match,,,,CM,CAPTAIN MARVEL,79%,CM
Marvel,Captain Marvel Movie - With Likeness,12,ACCEPTED_CLEAR_MG06,CM,CAPTAIN MARVEL,Clear existing MG06 property name match,,,,CM,CAPTAIN MARVEL,78%,CM
Marvel,Deadpool Classic,39,ACCEPTED_CLEAR_MG06,DP,DEADPOOL,Clear existing MG06 property name match,Theatrical Releases,Deadpool 3,70%,DP,DEADPOOL,81%,DP
Marvel,Guardians of the Galaxy,27,ACCEPTED_DIRECT,GG,GUARDIANS OF THE GALAXY,Owner accepted exact normalized DAM parent + licensor agreement,Theatrical Releases,Guardians of the Galaxy Vol 3,100%,GG,GUARDIANS OF THE GALAXY,100%,GG
Marvel,Spider-Man,164,ACCEPTED_DIRECT,SP,SPIDER MAN,Owner accepted exact normalized DAM parent + licensor agreement,Spider-Man,,100%,SP,SPIDER MAN,100%,SP
Marvel,Spider-Man Animated,15,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Spider-Man,,77%,SP,SPIDER MAN,82%,SP
Marvel,Spider-Man Animated Movie 2022 ,25,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Spider-Man,,70%,SP,SPIDER MAN,75%,SP
Marvel,Spider-Man Family Live Action Movies - No Likeness,8,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Spider-Man,,63%,SP,SPIDER MAN,70%,SP
Marvel,Spider-Man Family Live Action Movies - With Likeness,1,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Spider-Man,,63%,SP,SPIDER MAN,70%,SP
Marvel,Spider-Man Movie (2017) - No Likeness,11,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Spider-Man,,77%,SP,SPIDER MAN,77%,SP
Marvel,Spider-Man Movie (2017) - With Likeness,11,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Spider-Man,,77%,SP,SPIDER MAN,77%,SP
Marvel,Spider-Man Movie 2021 - No Likeness,16,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Spider-Man,,77%,SP,SPIDER MAN,77%,SP
Marvel,Spider-Man Movie 2021 - With Likeness,14,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Spider-Man,,77%,SP,SPIDER MAN,77%,SP
Marvel,Spider-Man: Brand New Day Movie 2026 - No Likeness,9,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Theatrical Releases,Spider Man Brand New Day,83%,SP,SPIDER MAN,70%,SP
Marvel,Spider-Man: Brand New Day Movie 2026 - With Likeness,1,ACCEPTED_CLEAR_MG06,SP,SPIDER MAN,Clear existing MG06 property name match,Theatrical Releases,Spider Man Brand New Day,83%,SP,SPIDER MAN,70%,SP
Marvel,Venom Movie 2024 - No Likeness,6,ACCEPTED_CLEAR_MG06,VN,VENOM,Clear existing MG06 property name match,Spider-Man,Venom,70%,VN,VENOM,70%,VN
Marvel,Venom Movie 2024 - With Likeness,1,ACCEPTED_CLEAR_MG06,VN,VENOM,Clear existing MG06 property name match,Spider-Man,Venom,70%,VN,VENOM,70%,VN
Marvel,X-Men Classic,167,ACCEPTED_CLEAR_MG06,XM,X-MEN,Clear existing MG06 property name match,Marvel Universe Publishing Art Archive,X-MEN,70%,XM,X-MEN,77%,XM
Strawberry Shortcake,Strawberry Shortcake Classic,1,ACCEPTED_CLEAR_MG06,SSH,STRAWBERRY SHORTCAKE,Clear existing MG06 property name match,,,,SSH,STRAWBERRY SHORTCAKE,89%,SSH
WB,Adventure Time: Animated Series,97,NEEDS_REVIEW,,,,,,,,,,
WB,Annabelle (2014),1,ACCEPTED_DIRECT,A4,ANNABELLE 2014,Owner accepted exact normalized DAM parent + licensor agreement,WB Horror,Annabelle,100%,A4,ANNABELLE 2014,100%,A4
WB,Annabelle Comes Home (2019),5,ACCEPTED_DIRECT,A9,ANNABELLE COMES HOME 2019,Owner accepted exact normalized DAM parent + licensor agreement,WB Horror,Annabelle,63%,A9,ANNABELLE COMES HOME 2019,100%,A9
WB,Annabelle: Creation (2017),2,ACCEPTED_DIRECT,A7,ANNABELLE: CREATION 2017,Owner accepted exact normalized DAM parent + licensor agreement,WB Horror,Annabelle,70%,A7,ANNABELLE: CREATION 2017,100%,A7
WB,Aquaman (2018),22,ACCEPTED_CLEAR_MG06,AQ,AQUAMAN,Clear existing MG06 property name match,,,,AQ,AQUAMAN,100%,AQ
WB,Aquaman and the Lost Kingdom (2023),11,ACCEPTED_CLEAR_MG06,AQ,AQUAMAN,Clear existing MG06 property name match,,,,AQ,AQUAMAN,70%,AQ
WB,Aquaman Core,5,ACCEPTED_CLEAR_MG06,AQ,AQUAMAN,Clear existing MG06 property name match,,,,AQ,AQUAMAN,84%,AQ
WB,Batman (1989) ,27,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,100%,BM,BATMAN,100%,BM
WB,Batman & Robin (1997),23,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,70%,BM,BATMAN,75%,BM
WB,Batman 85th Mash Ups,48,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,60%,BM,BATMAN,73%,BM
WB,Batman Begins (2005),32,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,70%,BM,BATMAN,75%,BM
WB,Batman Beyond: Animated Series ,38,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,60%,BM,BATMAN,70%,BM
WB,Batman Core,160,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,100%,BM,BATMAN,83%,BM
WB,Batman Forever (1995) ,20,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,70%,BM,BATMAN,74%,BM
WB,Batman Returns (1992) ,13,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,70%,BM,BATMAN,74%,BM
WB,Batman v Superman: Dawn of Justice (2016),22,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,60%,BM,BATMAN,68%,BM
WB,"Batman, The (2022)",10,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,100%,BM,BATMAN,100%,BM
WB,Batman: Animated Series (1992),45,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,63%,BM,BATMAN,70%,BM
WB,Batman: Arkham Asylum: Video Game 1,11,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,58%,BM,BATMAN,69%,BM
WB,Batman: Arkham City: Video Game 2,21,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,58%,BM,BATMAN,69%,BM
WB,Batman: Arkham Knight: Video Game 4,13,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,58%,BM,BATMAN,69%,BM
WB,Batman: Arkham Origins: Video Game 3,17,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,58%,BM,BATMAN,69%,BM
WB,Batman: Television Series (1966) ,32,ACCEPTED_CLEAR_MG06,BM,BATMAN,Clear existing MG06 property name match,DC,Batman,63%,BM,BATMAN,70%,BM
WB,Batwheels: Animated Series,29,ACCEPTED_CLEAR_MG06,BA,BATWHEELS,Clear existing MG06 property name match,,,,BA,BATWHEELS,76%,BA
WB,Beetlejuice (1988),22,ACCEPTED_CLEAR_MG06,BJ,BEETLEJUICE,Clear existing MG06 property name match,Beetlejuice,,100%,BJ,BEETLEJUICE,100%,BJ
WB,Beetlejuice Beetlejuice (2024),17,ACCEPTED_CLEAR_MG06,BJ,BEETLEJUICE,Clear existing MG06 property name match,Beetlejuice,,100%,BJ,BEETLEJUICE,100%,BJ
WB,Beetlejuice: Animated Series,2,ACCEPTED_CLEAR_MG06,BJ,BEETLEJUICE,Clear existing MG06 property name match,Beetlejuice,,63%,BJ,BEETLEJUICE,77%,BJ
WB,Corpse Bride (2005),6,ACCEPTED_CLEAR_MG06,CD,CORPSE BRIDE,Clear existing MG06 property name match,Corpse Bride,,100%,CD,CORPSE BRIDE,100%,CD
WB,Elf (2003),11,ACCEPTED_CLEAR_MG06,EF,ELF,Clear existing MG06 property name match,WB Christmas,Elf,100%,EF,ELF,100%,EF
WB,Freddy vs. Jason (2003),13,ACCEPTED_CLEAR_MG06,FJ,FREDDY VS JASON,Clear existing MG06 property name match,WB Horror,Freddy vs Jason [2003],100%,FJ,FREDDY VS JASON,100%,FJ
WB,Friday the 13th (1980),3,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,100%,FT
WB,Friday the 13th (2009),13,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,100%,FT
WB,Friday the 13th Part II (1981),5,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,82%,FT
WB,Friday the 13th Part III (1982),3,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,82%,FT
WB,Friday the 13th Part VI: Jason Lives (1986),3,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,76%,FT
WB,Friday the 13th Part VII: The New Blood (1988),3,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,75%,FT
WB,Friday the 13th Part VIII: Jason Takes Manhattan,3,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,74%,FT
WB,Friday the 13th: A New Beginning (1985),2,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,78%,FT
WB,Friday the 13th: Jason Goes to Hell (1993),3,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,77%,FT
WB,Friday the 13th: Jason X (2001),3,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,82%,FT
WB,Friday the 13th: The Final Chapter (1984),5,ACCEPTED_CLEAR_MG06,FT,FRIDAY THE 13TH,Clear existing MG06 property name match,,,,FT,FRIDAY THE 13TH,77%,FT
WB,Friends: Television Series,21,ACCEPTED_CLEAR_MG06,FN,FRIENDS,Clear existing MG06 property name match,Friends,,63%,FN,FRIENDS,73%,FN
WB,Frosty The Snowman Art Program (1954),2,ACCEPTED_CLEAR_MG06,FM,FROSTY THE SNOW MAN,Clear existing MG06 property name match,WB Christmas,Frosty the Snowman,77%,,,,FM
WB,Game of Thrones: Television Series,160,ACCEPTED_CLEAR_MG06,GT,GAME OF THRONES,Clear existing MG06 property name match,Game of Thrones,,70%,GT,GAME OF THRONES,79%,GT
WB,Gilmore Girls: Television Series,13,ACCEPTED_CLEAR_MG06,GGS,GILMORE GIRLS,Clear existing MG06 property name match,Gilmore Girls,Gilmore Girls Style Guide-Gilmore Girls_ Television Series,100%,GGS,GILMORE GIRLS,78%,GGS
WB,Goodfellas (1990),3,ACCEPTED_CLEAR_MG06,GS,GOODFELLAS,Clear existing MG06 property name match,The Goodfellas,,100%,GS,GOODFELLAS,100%,GS
WB,Green Lantern Core,60,ACCEPTED_CLEAR_MG06,GN,GREEN LANTERN,Clear existing MG06 property name match,,,,GN,GREEN LANTERN,89%,GN
WB,Harry Potter and the Chamber of Secrets (2002),66,ACCEPTED_CLEAR_MG06,HP,HARRY POTTER,Clear existing MG06 property name match,Harry Potter,,70%,HP,HARRY POTTER,72%,HP
WB,Harry Potter and the Deathly Hallows Part 1 (2010),28,ACCEPTED_CLEAR_MG06,HP,HARRY POTTER,Clear existing MG06 property name match,Harry Potter,,66%,HP,HARRY POTTER,72%,HP
WB,Harry Potter and the Deathly Hallows Part 2 (2011),15,ACCEPTED_CLEAR_MG06,HP,HARRY POTTER,Clear existing MG06 property name match,Harry Potter,,66%,HP,HARRY POTTER,72%,HP
WB,Harry Potter and the Goblet of Fire (2005),87,ACCEPTED_CLEAR_MG06,HP,HARRY POTTER,Clear existing MG06 property name match,Harry Potter,,70%,HP,HARRY POTTER,73%,HP
WB,Harry Potter and the Half-Blood Prince (2009),25,ACCEPTED_CLEAR_MG06,HP,HARRY POTTER,Clear existing MG06 property name match,Harry Potter,,66%,HP,HARRY POTTER,73%,HP
WB,Harry Potter and the Order of the Phoenix (2007),89,ACCEPTED_CLEAR_MG06,HP,HARRY POTTER,Clear existing MG06 property name match,Harry Potter,,70%,HP,HARRY POTTER,72%,HP
WB,Harry Potter and the Prisoner of Azkaban (2004),64,ACCEPTED_CLEAR_MG06,HP,HARRY POTTER,Clear existing MG06 property name match,Harry Potter,,70%,HP,HARRY POTTER,72%,HP
