"row_scope","entity_type","company_code","division_code","mg_type_code","mg_code","source_name","category","candidate_canonical_id","candidate_code","candidate_name","candidate_status","preserve_canonical_status","blocking_review","evidence","source_hash","first_seen_at","last_seen_at","last_sync_run_id","canonical_id","canonical_code","canonical_name","canonical_status"
"coldlion_source","licensor","EDGEHOME","CW001","05","FK","FRIDA KAHLO","entity-type collision",,,,,"","yes","no same-entity candidate; other-entity code=1; name=1","77f97fc8327c93b4baed3c2b2e254676","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","NA","NASA","exact normalized-name match","9625fce2-25b4-471c-b9d9-0fdb9e07a338","X-NASA","NASA","active","yes","yes","name is unique but code differs","c483461a0b0a8e070dd2f938901b8a7e","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","ZG","ZAG","ColdLion-only candidate",,,,,"","yes","no same-entity code or normalized-name candidate","51a9153001d5351d2e8bc3d8ce819c93","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","FK","FRIDA KAHLO","entity-type collision",,,,,"","yes","no same-entity candidate; other-entity code=1; name=1","682033e46ca0aef50ffca0e222e6a0c8","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","NA","NASA","exact normalized-name match","9625fce2-25b4-471c-b9d9-0fdb9e07a338","X-NASA","NASA","active","yes","yes","name is unique but code differs","e98623876a03f9a1499b1ce011df9add","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","ZG","ZAG","ColdLion-only candidate",,,,,"","yes","no same-entity code or normalized-name candidate","857e72d5fb150606aa5cd8daadb75771","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"2b2caddf-4fb0-4fc3-8245-ccd8f8177e48","FR","FRIENDS TV","active"
"coldlion_source","property","EDGEHOME","CW001","06","FK","FRIDA KAHLO","exact compatible code match","cb26ec58-0edb-4d45-8c0b-ba283ffb23f8","FK","FRIDA KAHLO","active","yes","no","code and normalized name agree","edae00b6fcf924805e3f69090d429b21","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","property","EDGEHOME","CW001","06","FR","1ST ORDER TROOPER","exact compatible code match","edf0a163-37e5-454b-9c61-9055c0261d01","FR","1ST ORDER TROOPER","active","yes","no","code and normalized name agree","1943596310135984b18500b579ab0aee","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","property","EDGEHOME","SP001","06","FK","FRIDA KAHLO","exact compatible code match","cb26ec58-0edb-4d45-8c0b-ba283ffb23f8","FK","FRIDA KAHLO","active","yes","no","code and normalized name agree","b8997c80af1f65abf5abe39cbb508233","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","property","EDGEHOME","SP001","06","FR","1ST ORDER TROOPER","exact compatible code match","edf0a163-37e5-454b-9c61-9055c0261d01","FR","1ST ORDER TROOPER","active","yes","no","code and normalized name agree","592fb4b01eda0820aa9cfc8b76ecd0e6","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
