"row_scope","entity_type","company_code","division_code","mg_type_code","mg_code","source_name","category","candidate_canonical_id","candidate_code","candidate_name","candidate_status","preserve_canonical_status","blocking_review","evidence","source_hash","first_seen_at","last_seen_at","last_sync_run_id","canonical_id","canonical_code","canonical_name","canonical_status"
"coldlion_source","licensor","EDGEHOME","CW001","05","1P","TOEI - ONE PIECE","exact compatible code match","f39fe07e-e438-46b2-9e17-fb711358e790","1P","TOEI - ONE PIECE","active","yes","no","code and normalized name agree","9da666d6e024088ca6ea1b4f1867b6cd","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","AA","AARDMAN ANIMATIONS","exact compatible code match","e90c3124-e66d-404f-b777-0dae9a5ee4f3","AA","AARDMAN ANIMATIONS","active","yes","no","code and normalized name agree","3dc2c2c7711484c5c4468f8220f47f81","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","CB","CARE BEARS","exact compatible code match","b96edc00-9261-46ec-af93-9de0f5b88d48","CB","CARE BEARS","active","yes","no","code and normalized name agree","968f12659ddc40a1a6a81fe844997d1e","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","CC","COCA COLA","exact compatible code match","c70e095c-2baf-404e-a2a3-c198a259a3e6","CC","COCA COLA","active","yes","no","code and normalized name agree","8d9b508d43b64326565d457329497bdd","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","DC","DC","exact compatible code match","33962356-f1f9-4226-b3ef-00154e5b7d56","DC","DC","active","yes","no","code and normalized name agree","95ddf0fea29849fdb3dc7686f394dd87","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","DY","DISNEY","exact compatible code match","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","active","yes","no","code and normalized name agree","da4948d440a502297a8bba0d223b5229","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","FK","FRIDA KAHLO","entity-type collision",,,,,"","yes","no same-entity candidate; other-entity code=1; name=1","77f97fc8327c93b4baed3c2b2e254676","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","HP","HARRY POTTER","exact compatible code match","ea61e3bb-37f2-4cef-a6f4-8aa314ea131f","HP","HARRY POTTER","active","yes","no","code and normalized name agree","500d8e64d9edc656d51ebf47d8c131b6","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","MV","MARVEL","exact compatible code match","f143c083-2dfd-48b9-ac9b-43d2290a4e4c","MV","MARVEL","active","yes","no","code and normalized name agree","5984adae6fec044a277684bc489178b0","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","NA","NASA","exact normalized-name match","9625fce2-25b4-471c-b9d9-0fdb9e07a338","X-NASA","NASA","active","yes","yes","name is unique but code differs","c483461a0b0a8e070dd2f938901b8a7e","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","NB","NBC","exact compatible code match","154bf54b-6f7d-4999-b0fb-c2828b12b56a","NB","NBC","active","yes","no","code and normalized name agree","296a32ee3da081e332bd966bbefc5dbb","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","PN","PEANUTS WORLDWIDE","exact compatible code match","afff41a6-df31-4a9a-aea5-b919d1daff54","PN","PEANUTS WORLDWIDE","active","yes","no","code and normalized name agree","b6dac276b1eab1b85ccea654f98dec30","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","PP","PAW PATROL","exact compatible code match","a03fff4b-65f4-4fd6-98ad-c9db3216b140","PP","PAW PATROL","active","yes","no","code and normalized name agree","831dd2c7a1e0adb08ecbccc88ec7f633","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","SE","SEGA","exact compatible code match","e5f1686c-700c-42f6-bbc6-98aaa9ce1634","SE","SEGA","active","yes","no","code and normalized name agree","744f8d5eed01b133620347ce2fbba5f8","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","SM","SESAME STREET","exact compatible code match","1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb","SM","SESAME STREET","active","yes","no","code and normalized name agree","4b5b81dafa5013c21455d9a6d4c54c40","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","SS","STRAWBERRY SHORTCAKE","exact compatible code match","4dba7d87-54ed-4dee-894b-570326953d92","SS","STRAWBERRY SHORTCAKE","active","yes","no","code and normalized name agree","e4fce84c13b46c69e258916f48e68507","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","CW001","05","SW","STAR WARS","exact compatible code match","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active","yes","no","code and normalized name agree","67e56ceec15c9a502bc62ffc2a3fc90f","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
