"property_id","property_code","property_name","property_status","licensor_id","licensor_code","licensor_name","licensor_status"
"01e61839-32ad-4eaf-b9e4-14b97cbd86b1","CD","CORPSE BRIDE","active","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active"
"023444ef-0b2a-49b1-a94a-2cda4c3dd2ce","MR","MARSHALL","active","a03fff4b-65f4-4fd6-98ad-c9db3216b140","PP","PAW PATROL","active"
"02d3ac0a-ad97-4d5a-853a-8ab6979a6572","BW","BLACK WIDOW","active","f143c083-2dfd-48b9-ac9b-43d2290a4e4c","MV","MARVEL","active"
"02de0fab-dd7e-4082-ac99-659c46c77296","SD","STAR WARS DROIDS GROUP","active","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active"
"048df4ac-fc96-4fe3-974a-46efa6f19793","DY","DISNEY LOGO","active","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","active"
"05017d26-20b7-445b-b747-4233599479c8","GN","GREEN LANTERN","active","33962356-f1f9-4226-b3ef-00154e5b7d56","DC","DC","active"
"07cf2941-abf3-4394-a7cb-c804c524b9e1","HM","HANNAH MONTANA","active","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","active"
"09a4f6b3-b9eb-4183-919c-3626afddfcf1","SL","SUPERMAN:LEGACY 2025 LIVE ACTION FILM","active","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active"
"09b51b5a-0307-4c14-b675-d106ae3052aa","PH","CAPTAIN PHASMA","active","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active"
"09ea2689-40d5-4a5b-90ee-4b44c5453f69","FJ","FREDDY VS JASON","active","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active"
"0b33898a-00af-40c5-87c7-1a9b0a7659e2","HS","HAN SOLO","active","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active"
"0c1fc67f-9e9c-4811-8d4c-5e5a0abda596","ADT","ADVENTURE TIME","active","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active"
"0d390b7e-9fdb-4386-8a1b-b5e68ca37ff7","EF","ELF","active","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active"
"1112ba31-356d-4cae-9883-cb1b32a5f57b","3P","C3PO","active","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active"
"122a01c7-010f-4eac-bc5c-1e70a451b8ae","CCC","COCA COLA","active","c70e095c-2baf-404e-a2a3-c198a259a3e6","CC","COCA COLA","active"
"1250fa66-f332-4b24-aca7-11e34d6d4d5d","MF","MILLENIUM FALCON","active","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active"
"130d10fb-d0ff-4d67-84ff-245f0b0b0c43","BG","BATGIRL","active","33962356-f1f9-4226-b3ef-00154e5b7d56","DC","DC","active"
"132676c7-6d22-4f76-a8cb-be1928e43979","HN","HALLOWEEN II","active","154bf54b-6f7d-4999-b0fb-c2828b12b56a","NB","NBC","active"
"13af0b89-e3f2-455d-958c-63118fef21d1","HU","HULK","active","f143c083-2dfd-48b9-ac9b-43d2290a4e4c","MV","MARVEL","active"
"140be7c5-e211-432b-acc0-f76b18eba76d","SE","SPELLS","active","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","active"
