"id","entity_type","finding_scope","company_code","division_code","mg_type_code","mg_code","source_name","proposed_licensor_id","proposed_property_id","match_method","confidence","reason","evidence","status","resolution","created_at","updated_at"
"749c64e5-9952-40a0-9ee8-bb74ffa85704","property","source","EDGEHOME","CW001","06","1P","ONE PIECE GENERAL ART",,,"cross_entity_code","none","mgCode 1P appears as both a licensor (TOEI - ONE PIECE) and a property (ONE PIECE GENERAL ART) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""TOEI - ONE PIECE"",""property_name"":""ONE PIECE GENERAL ART"",""licensor_mg_code"":""1P"",""property_mg_code"":""1P"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"30a7df89-b905-4f53-8847-ee47f60c3c20","property","source","EDGEHOME","CW001","06","CB","CHEWBACCA",,,"cross_entity_code","none","mgCode CB appears as both a licensor (CARE BEARS) and a property (CHEWBACCA) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""CARE BEARS"",""property_name"":""CHEWBACCA"",""licensor_mg_code"":""CB"",""property_mg_code"":""CB"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"b55de63a-3b3d-4da3-91d8-678fc81edf1e","property","source","EDGEHOME","CW001","06","CC","COCO",,,"cross_entity_code","none","mgCode CC appears as both a licensor (COCA COLA) and a property (COCO) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""COCA COLA"",""property_name"":""COCO"",""licensor_mg_code"":""CC"",""property_mg_code"":""CC"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"9fc6eeee-b800-4b5f-b30d-2aa4c9efbbef","property","source","EDGEHOME","CW001","06","DC","DC ASSORTED STYLES",,,"cross_entity_code","none","mgCode DC appears as both a licensor (DC) and a property (DC ASSORTED STYLES) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""DC"",""property_name"":""DC ASSORTED STYLES"",""licensor_mg_code"":""DC"",""property_mg_code"":""DC"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"622bc643-a848-4122-886d-b16232c420a9","property","source","EDGEHOME","CW001","06","DY","DISNEY LOGO",,,"cross_entity_code","none","mgCode DY appears as both a licensor (DISNEY) and a property (DISNEY LOGO) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""DISNEY"",""property_name"":""DISNEY LOGO"",""licensor_mg_code"":""DY"",""property_mg_code"":""DY"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"f2ab37b2-3dc5-495b-b842-eba8f465f196","property","source","EDGEHOME","CW001","06","FK","FRIDA KAHLO",,,"cross_entity_code","none","mgCode FK appears as both a licensor (FRIDA KAHLO) and a property (FRIDA KAHLO) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""FRIDA KAHLO"",""property_name"":""FRIDA KAHLO"",""licensor_mg_code"":""FK"",""property_mg_code"":""FK"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"bde3b800-104f-4f46-ba48-f0084678ca2f","property","source","EDGEHOME","CW001","06","HP","HARRY POTTER",,,"cross_entity_code","none","mgCode HP appears as both a licensor (HARRY POTTER) and a property (HARRY POTTER) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""HARRY POTTER"",""property_name"":""HARRY POTTER"",""licensor_mg_code"":""HP"",""property_mg_code"":""HP"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"1eab4d91-19eb-4fc4-a82a-c3f00e22d93f","property","source","EDGEHOME","CW001","06","MV","MARVEL ASSORTED STYLES",,,"cross_entity_code","none","mgCode MV appears as both a licensor (MARVEL) and a property (MARVEL ASSORTED STYLES) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""MARVEL"",""property_name"":""MARVEL ASSORTED STYLES"",""licensor_mg_code"":""MV"",""property_mg_code"":""MV"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"508da9bc-07f1-40ca-9843-279820cfaf02","property","source","EDGEHOME","CW001","06","PN","DISNEY PRINCESSES",,,"cross_entity_code","none","mgCode PN appears as both a licensor (PEANUTS WORLDWIDE) and a property (DISNEY PRINCESSES) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""PEANUTS WORLDWIDE"",""property_name"":""DISNEY PRINCESSES"",""licensor_mg_code"":""PN"",""property_mg_code"":""PN"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"6ae6aa84-e615-4b10-905e-d1a69b112b76","property","source","EDGEHOME","CW001","06","PP","PAW PATROL GROUP",,,"cross_entity_code","none","mgCode PP appears as both a licensor (PAW PATROL) and a property (PAW PATROL GROUP) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""PAW PATROL"",""property_name"":""PAW PATROL GROUP"",""licensor_mg_code"":""PP"",""property_mg_code"":""PP"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"fa84a733-935e-486e-b7ee-2d15b178f6b7","property","source","EDGEHOME","CW001","06","SE","SPELLS",,,"cross_entity_code","none","mgCode SE appears as both a licensor (SEGA) and a property (SPELLS) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""SEGA"",""property_name"":""SPELLS"",""licensor_mg_code"":""SE"",""property_mg_code"":""SE"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"2c03ed8c-c654-4078-896a-c408ae15c3bf","property","source","EDGEHOME","CW001","06","SM","SUPERMAN",,,"cross_entity_code","none","mgCode SM appears as both a licensor (SESAME STREET) and a property (SUPERMAN) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""SESAME STREET"",""property_name"":""SUPERMAN"",""licensor_mg_code"":""SM"",""property_mg_code"":""SM"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"07d0917c-5c66-4303-bf82-001e21a5e154","property","source","EDGEHOME","CW001","06","SS","SHIMMER & SHINE",,,"cross_entity_code","none","mgCode SS appears as both a licensor (STRAWBERRY SHORTCAKE) and a property (SHIMMER & SHINE) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""STRAWBERRY SHORTCAKE"",""property_name"":""SHIMMER & SHINE"",""licensor_mg_code"":""SS"",""property_mg_code"":""SS"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"7f1e4be8-c994-4217-974f-e85361c3311d","property","source","EDGEHOME","CW001","06","SW","STAR WARS GROUP",,,"cross_entity_code","none","mgCode SW appears as both a licensor (STAR WARS) and a property (STAR WARS GROUP) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""STAR WARS"",""property_name"":""STAR WARS GROUP"",""licensor_mg_code"":""SW"",""property_mg_code"":""SW"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"443006b2-35ec-4ae3-94d7-f4ab5047b07a","property","source","EDGEHOME","CW001","06","WW","WONDER WOMAN",,,"cross_entity_code","none","mgCode WW appears as both a licensor (WWE) and a property (WONDER WOMAN) in division CW001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""WWE"",""property_name"":""WONDER WOMAN"",""licensor_mg_code"":""WW"",""property_mg_code"":""WW"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"7d9bbec2-e6a4-4a99-8d42-7e8a005a7707","property","source","EDGEHOME","SP001","06","1P","ONE PIECE GENERAL ART",,,"cross_entity_code","none","mgCode 1P appears as both a licensor (TOEI - ONE PIECE) and a property (ONE PIECE GENERAL ART) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""TOEI - ONE PIECE"",""property_name"":""ONE PIECE GENERAL ART"",""licensor_mg_code"":""1P"",""property_mg_code"":""1P"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"ed767184-9b92-47fc-936f-4039c5edd87c","property","source","EDGEHOME","SP001","06","CB","CHEWBACCA",,,"cross_entity_code","none","mgCode CB appears as both a licensor (CARE BEARS) and a property (CHEWBACCA) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""CARE BEARS"",""property_name"":""CHEWBACCA"",""licensor_mg_code"":""CB"",""property_mg_code"":""CB"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"0c1cc28d-26a3-4b3f-b7fe-b4fa8e47514b","property","source","EDGEHOME","SP001","06","CC","COCO",,,"cross_entity_code","none","mgCode CC appears as both a licensor (COCA COLA) and a property (COCO) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""COCA COLA"",""property_name"":""COCO"",""licensor_mg_code"":""CC"",""property_mg_code"":""CC"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"c03186c5-44d2-416c-9684-8f4d93ea6690","property","source","EDGEHOME","SP001","06","DC","DC ASSORTED STYLES",,,"cross_entity_code","none","mgCode DC appears as both a licensor (DC) and a property (DC ASSORTED STYLES) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""DC"",""property_name"":""DC ASSORTED STYLES"",""licensor_mg_code"":""DC"",""property_mg_code"":""DC"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"b195450d-0312-4e25-b692-a127f1a88281","property","source","EDGEHOME","SP001","06","DY","DISNEY LOGO",,,"cross_entity_code","none","mgCode DY appears as both a licensor (DISNEY) and a property (DISNEY LOGO) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""DISNEY"",""property_name"":""DISNEY LOGO"",""licensor_mg_code"":""DY"",""property_mg_code"":""DY"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
"2b0b5cea-b2e9-401d-8cb4-7e8b65ca51f4","property","source","EDGEHOME","SP001","06","FK","FRIDA KAHLO",,,"cross_entity_code","none","mgCode FK appears as both a licensor (FRIDA KAHLO) and a property (FRIDA KAHLO) in division SP001; do not cross-match entity types","{""collision"":""cross_entity_code"",""licensor_name"":""FRIDA KAHLO"",""property_name"":""FRIDA KAHLO"",""licensor_mg_code"":""FK"",""property_mg_code"":""FK"",""licensor_mg_type_code"":""05"",""property_mg_type_code"":""06""}","conflict","conflict","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z"""
