"row_scope","entity_type","company_code","division_code","mg_type_code","mg_code","source_name","category","candidate_canonical_id","candidate_code","candidate_name","candidate_status","preserve_canonical_status","blocking_review","evidence","source_hash","first_seen_at","last_seen_at","last_sync_run_id","canonical_id","canonical_code","canonical_name","canonical_status"
"coldlion_source","licensor","EDGEHOME","CW001","05","ZG","ZAG","ColdLion-only candidate",,,,,"","yes","no same-entity code or normalized-name candidate","51a9153001d5351d2e8bc3d8ce819c93","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","licensor","EDGEHOME","SP001","05","ZG","ZAG","ColdLion-only candidate",,,,,"","yes","no same-entity code or normalized-name candidate","857e72d5fb150606aa5cd8daadb75771","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"2b2caddf-4fb0-4fc3-8245-ccd8f8177e48","FR","FRIENDS TV","active"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"50c74323-b494-4b7d-ab7a-5524a7cd2706","X-NCAA","NCAA","potential"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"78a9fb9a-7bc2-4e5c-9fe4-53adf2253ea2","X-FORD","Ford","potential"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"86d440d2-2ea8-4b14-add8-ca682a1c9434","X-MILLERCOORS","Miller Coors","potential"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"b21801ce-9e2b-49bc-9ef7-b5697d48136d","X-NFL","NFL","potential"
"canonical_only","licensor",,,,,,"canonical-only curated/legacy record",,,,,"yes","yes","no ColdLion source row classified to this canonical UUID",,,,,"d5854d24-8477-42ea-a090-18ed3275879a","X-ANHEUSERBUSCH","Anheuser Busch","potential"
"coldlion_source","property","EDGEHOME","CW001","06","55","SHREK 5","ColdLion-only candidate",,,,,"","yes","no same-entity code or normalized-name candidate","927bf43a8b62314ad1c761e132a54abd","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
"coldlion_source","property","EDGEHOME","CW001","06","75","PEANUTS 75TH ANNIVERSARY","ColdLion-only candidate",,,,,"","yes","no same-entity code or normalized-name candidate","7624483ae9224f411b1dacaf2848afeb","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:38:02.657Z""","8a18acf5-0ce6-4be1-a522-85ba5478be43",,,,
