"row_scope","entity_type","company_code","division_code","mg_type_code","mg_code","source_name","phase2_category","candidate_canonical_id","candidate_code","candidate_name","candidate_status","canonical_id","canonical_code","canonical_name","canonical_status","disposition","decision_status","phase4_action","named_owner","rationale","phase4_blocks","lifecycle_note"
"coldlion_source","licensor","EDGEHOME","CW001","05","FK","FRIDA KAHLO","entity-type collision","","","","","","","","","frida_kahlo_cross_entity_quarantine","pending_human","no_link","Albert Hazan (FRIDA KAHLO licensor decision)","FRIDA KAHLO appears as a ColdLion LICENSOR (FK, mgTypeCode 05) with NO same-entity canonical licensor; the canonical FK is a PROPERTY (different entity). Safety rule: never match across entity types by code. Known lapsed license. Do not link; do not create a canonical FRIDA KAHLO licensor in Phase 5 unless Albert explicitly approves an inactive record.","Phase 4 link (none). Phase 5 create decision for a FRIDA KAHLO licensor.",""
"coldlion_source","licensor","EDGEHOME","CW001","05","NA","NASA","exact normalized-name match","9625fce2-25b4-471c-b9d9-0fdb9e07a338","X-NASA","NASA","active","","","","","nasa_name_only_pending","pending_human","link_only_after_approval","Albert Hazan (NASA cross-code link)","NASA: ColdLion licensor code NA matches canonical X-NASA by UNIQUE normalized name (single same-entity candidate; no type conflict) but the code differs, so this is an alias/rename candidate, not an exact compatible match. Recommended: link ColdLion NA to canonical X-NASA and PRESERVE canonical code X-NASA (no rename; field-ownership §5.2). NASA is a lapsed-license case; linking never changes its status. Requires explicit approval.","Phase 4 link for NASA gated on Albert's approval",""
"coldlion_source","licensor","EDGEHOME","CW001","05","ZG","ZAG","ColdLion-only candidate","","","","","","","","","zag_coldlion_only_lapsed","pending_human","no_link","Albert Hazan (ZAG create decision)","ZAG (ZG) is a ColdLion-only LICENSOR with no canonical candidate; a known lapsed license still returned by ColdLion with no inactive marker. Mirror faithfully; do not link; do not create or activate a canonical ZAG licensor unless Albert explicitly approves.","Phase 4 link (none). Phase 5 create decision for ZAG.",""
"coldlion_source","licensor","EDGEHOME","SP001","05","FK","FRIDA KAHLO","entity-type collision","","","","","","","","","frida_kahlo_cross_entity_quarantine","pending_human","no_link","Albert Hazan (FRIDA KAHLO licensor decision)","FRIDA KAHLO appears as a ColdLion LICENSOR (FK, mgTypeCode 05) with NO same-entity canonical licensor; the canonical FK is a PROPERTY (different entity). Safety rule: never match across entity types by code. Known lapsed license. Do not link; do not create a canonical FRIDA KAHLO licensor in Phase 5 unless Albert explicitly approves an inactive record.","Phase 4 link (none). Phase 5 create decision for a FRIDA KAHLO licensor.",""
"coldlion_source","licensor","EDGEHOME","SP001","05","NA","NASA","exact normalized-name match","9625fce2-25b4-471c-b9d9-0fdb9e07a338","X-NASA","NASA","active","","","","","nasa_name_only_pending","pending_human","link_only_after_approval","Albert Hazan (NASA cross-code link)","NASA: ColdLion licensor code NA matches canonical X-NASA by UNIQUE normalized name (single same-entity candidate; no type conflict) but the code differs, so this is an alias/rename candidate, not an exact compatible match. Recommended: link ColdLion NA to canonical X-NASA and PRESERVE canonical code X-NASA (no rename; field-ownership §5.2). NASA is a lapsed-license case; linking never changes its status. Requires explicit approval.","Phase 4 link for NASA gated on Albert's approval",""
"coldlion_source","licensor","EDGEHOME","SP001","05","ZG","ZAG","ColdLion-only candidate","","","","","","","","","zag_coldlion_only_lapsed","pending_human","no_link","Albert Hazan (ZAG create decision)","ZAG (ZG) is a ColdLion-only LICENSOR with no canonical candidate; a known lapsed license still returned by ColdLion with no inactive marker. Mirror faithfully; do not link; do not create or activate a canonical ZAG licensor unless Albert explicitly approves.","Phase 4 link (none). Phase 5 create decision for ZAG.",""
"canonical_only","licensor","","","","","","canonical-only curated/legacy record","","","","","2b2caddf-4fb0-4fc3-8245-ccd8f8177e48","FR","FRIENDS TV","active","friends_tv_curated_only","pending_human","no_link","Albert Hazan (FRIENDS TV option decision)","FRIENDS TV (FR) is a canonical licensor sourced via DesignFlow; ColdLion exposes no FR licensor in either licensed division (its FR is the PROPERTY '1ST ORDER TROOPER'). Recommended default = cutover option 1: remain Supabase-curated/DesignFlow-only. Never cross-link entity types by code; ColdLion absence never deletes or inactivates.","Phase 4 link (none). FRIENDS TV final mapping is a Phase 8-era owner decision.",""
"canonical_only","licensor","","","","","","canonical-only curated/legacy record","","","","","50c74323-b494-4b7d-ab7a-5524a7cd2706","X-NCAA","NCAA","potential","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)","canonical status 'potential' (non-active lifecycle) preserved exactly"
"canonical_only","licensor","","","","","","canonical-only curated/legacy record","","","","","78a9fb9a-7bc2-4e5c-9fe4-53adf2253ea2","X-FORD","Ford","potential","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)","canonical status 'potential' (non-active lifecycle) preserved exactly"
"canonical_only","licensor","","","","","","canonical-only curated/legacy record","","","","","86d440d2-2ea8-4b14-add8-ca682a1c9434","X-MILLERCOORS","Miller Coors","potential","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)","canonical status 'potential' (non-active lifecycle) preserved exactly"
