"entity_type","composite_key","mg_code","source_name","canonical_id","canonical_code","canonical_name","match_evidence","status"
"licensor","EDGEHOME/CW001/05/1P","1P","TOEI - ONE PIECE","f39fe07e-e438-46b2-9e17-fb711358e790","1P","TOEI - ONE PIECE","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/AA","AA","AARDMAN ANIMATIONS","e90c3124-e66d-404f-b777-0dae9a5ee4f3","AA","AARDMAN ANIMATIONS","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/CB","CB","CARE BEARS","b96edc00-9261-46ec-af93-9de0f5b88d48","CB","CARE BEARS","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/CC","CC","COCA COLA","c70e095c-2baf-404e-a2a3-c198a259a3e6","CC","COCA COLA","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/DC","DC","DC","33962356-f1f9-4226-b3ef-00154e5b7d56","DC","DC","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/DY","DY","DISNEY","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/HP","HP","HARRY POTTER","ea61e3bb-37f2-4cef-a6f4-8aa314ea131f","HP","HARRY POTTER","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/MV","MV","MARVEL","f143c083-2dfd-48b9-ac9b-43d2290a4e4c","MV","MARVEL","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/NB","NB","NBC","154bf54b-6f7d-4999-b0fb-c2828b12b56a","NB","NBC","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/PN","PN","PEANUTS WORLDWIDE","afff41a6-df31-4a9a-aea5-b919d1daff54","PN","PEANUTS WORLDWIDE","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/PP","PP","PAW PATROL","a03fff4b-65f4-4fd6-98ad-c9db3216b140","PP","PAW PATROL","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/SE","SE","SEGA","e5f1686c-700c-42f6-bbc6-98aaa9ce1634","SE","SEGA","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/SM","SM","SESAME STREET","1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb","SM","SESAME STREET","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/SS","SS","STRAWBERRY SHORTCAKE","4dba7d87-54ed-4dee-894b-570326953d92","SS","STRAWBERRY SHORTCAKE","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/SW","SW","STAR WARS","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/VM","VM","VIACOM MULTI","5f951f5e-aaee-4add-bb51-fea888951405","VM","VIACOM MULTI","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/WB","WB","WARNER BROS","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/WW","WW","WWE","7575d1db-dbee-4336-84a9-aa378f05f105","WW","WWE","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/CW001/05/ZZ","ZZ","DTR - NO LICENSE","80276015-a751-4438-8c25-759c8dd005b2","ZZ","DTR - NO LICENSE","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/SP001/05/1P","1P","TOEI - ONE PIECE","f39fe07e-e438-46b2-9e17-fb711358e790","1P","TOEI - ONE PIECE","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/SP001/05/AA","AA","AARDMAN ANIMATIONS","e90c3124-e66d-404f-b777-0dae9a5ee4f3","AA","AARDMAN ANIMATIONS","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/SP001/05/CB","CB","CARE BEARS","b96edc00-9261-46ec-af93-9de0f5b88d48","CB","CARE BEARS","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/SP001/05/CC","CC","COCA COLA","c70e095c-2baf-404e-a2a3-c198a259a3e6","CC","COCA COLA","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/SP001/05/DC","DC","DC","33962356-f1f9-4226-b3ef-00154e5b7d56","DC","DC","code and normalized name agree","proposed_pending_human_approval"
"licensor","EDGEHOME/SP001/05/DY","DY","DISNEY","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","code and normalized name agree","proposed_pending_human_approval"
