"row_scope","entity_type","company_code","division_code","mg_type_code","mg_code","source_name","phase2_category","candidate_canonical_id","candidate_code","candidate_name","candidate_status","preserve_canonical_status","blocking_review","evidence","source_hash","last_sync_run_id","canonical_id","canonical_code","canonical_name","canonical_status","disposition","decision_status","phase4_action","named_owner","rationale","phase4_blocks","lifecycle_note"
"coldlion_source","licensor","EDGEHOME","CW001","05","1P","TOEI - ONE PIECE","exact compatible code match","f39fe07e-e438-46b2-9e17-fb711358e790","1P","TOEI - ONE PIECE","active","yes","no","code and normalized name agree","9da666d6e024088ca6ea1b4f1867b6cd","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","AA","AARDMAN ANIMATIONS","exact compatible code match","e90c3124-e66d-404f-b777-0dae9a5ee4f3","AA","AARDMAN ANIMATIONS","active","yes","no","code and normalized name agree","3dc2c2c7711484c5c4468f8220f47f81","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","CB","CARE BEARS","exact compatible code match","b96edc00-9261-46ec-af93-9de0f5b88d48","CB","CARE BEARS","active","yes","no","code and normalized name agree","968f12659ddc40a1a6a81fe844997d1e","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","CC","COCA COLA","exact compatible code match","c70e095c-2baf-404e-a2a3-c198a259a3e6","CC","COCA COLA","active","yes","no","code and normalized name agree","8d9b508d43b64326565d457329497bdd","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","DC","DC","exact compatible code match","33962356-f1f9-4226-b3ef-00154e5b7d56","DC","DC","active","yes","no","code and normalized name agree","95ddf0fea29849fdb3dc7686f394dd87","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","DY","DISNEY","exact compatible code match","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","active","yes","no","code and normalized name agree","da4948d440a502297a8bba0d223b5229","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","FK","FRIDA KAHLO","entity-type collision","","","","","","yes","no same-entity candidate; other-entity code=1; name=1","77f97fc8327c93b4baed3c2b2e254676","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","frida_kahlo_cross_entity_quarantine","pending_human","no_link","Albert Hazan (FRIDA KAHLO licensor decision)","FRIDA KAHLO appears as a ColdLion LICENSOR (FK, mgTypeCode 05) with NO same-entity canonical licensor; the canonical FK is a PROPERTY (different entity). Safety rule: never match across entity types by code. Known lapsed license. Do not link; do not create a canonical FRIDA KAHLO licensor in Phase 5 unless Albert explicitly approves an inactive record.","Phase 4 link (none). Phase 5 create decision for a FRIDA KAHLO licensor.",""
"coldlion_source","licensor","EDGEHOME","CW001","05","HP","HARRY POTTER","exact compatible code match","ea61e3bb-37f2-4cef-a6f4-8aa314ea131f","HP","HARRY POTTER","active","yes","no","code and normalized name agree","500d8e64d9edc656d51ebf47d8c131b6","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","MV","MARVEL","exact compatible code match","f143c083-2dfd-48b9-ac9b-43d2290a4e4c","MV","MARVEL","active","yes","no","code and normalized name agree","5984adae6fec044a277684bc489178b0","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","NA","NASA","exact normalized-name match","9625fce2-25b4-471c-b9d9-0fdb9e07a338","X-NASA","NASA","active","yes","yes","name is unique but code differs","c483461a0b0a8e070dd2f938901b8a7e","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","nasa_name_only_pending","pending_human","link_only_after_approval","Albert Hazan (NASA cross-code link)","NASA: ColdLion licensor code NA matches canonical X-NASA by UNIQUE normalized name (single same-entity candidate; no type conflict) but the code differs, so this is an alias/rename candidate, not an exact compatible match. Recommended: link ColdLion NA to canonical X-NASA and PRESERVE canonical code X-NASA (no rename; field-ownership §5.2). NASA is a lapsed-license case; linking never changes its status. Requires explicit approval.","Phase 4 link for NASA gated on Albert's approval",""
