conname,child_schema,child_table,parent_schema,parent_table,on_update,on_delete,constraintdef,child_total_bytes,child_live_tup,child_upd,child_del,parent_upd,parent_del,has_covering_index
assets_licensor_id_fkey,public,assets,core,licensor,a,n,FOREIGN KEY (licensor_id) REFERENCES core.licensor(id) ON DELETE SET NULL,3405725696,145746,1478880,0,0,0,True
assets_customer_id_fkey,public,assets,core,customer,a,n,FOREIGN KEY (customer_id) REFERENCES core.customer(id) ON DELETE SET NULL,3405725696,145746,1478880,0,0,0,True
assets_style_group_id_fkey,public,assets,public,style_groups,a,n,FOREIGN KEY (style_group_id) REFERENCES style_groups(id) ON DELETE SET NULL,3405725696,145746,1478880,0,1392386,32520,True
assets_product_subtype_id_fkey,public,assets,public,product_subtypes,a,n,FOREIGN KEY (product_subtype_id) REFERENCES product_subtypes(id) ON DELETE SET NULL,3405725696,145746,1478880,0,0,0,True
assets_property_id_fkey,public,assets,core,property,a,n,FOREIGN KEY (property_id) REFERENCES core.property(id) ON DELETE SET NULL,3405725696,145746,1478880,0,0,0,True
dcp_metadata_asset_membership_fk,plm,dcp_metadata_asset,plm,dcp_asset_crawl,a,r,"FOREIGN KEY (source_crawl_id, dcp_asset_id) REFERENCES plm.dcp_asset_crawl(crawl_id, dcp_asset_id) ON DELETE RESTRICT",1333559296,0,0,0,0,0,False
dcp_metadata_asset_run_fk,plm,dcp_metadata_asset,plm,dcp_metadata_run,a,c,"FOREIGN KEY (metadata_run_id, source_crawl_id) REFERENCES plm.dcp_metadata_run(metadata_run_id, source_crawl_id) ON DELETE CASCADE",1333559296,0,0,0,0,0,False
asset_tags_asset_id_fkey,public,asset_tags,public,assets,a,c,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE,1237778432,0,0,0,1478880,0,True
nbcu_asset_metadata_value_asset_fkey,plm,nbcu_asset_metadata_value,plm,nbcu_asset,a,r,"FOREIGN KEY (capture_id, asset_source_key) REFERENCES plm.nbcu_asset(capture_id, asset_source_key) ON DELETE RESTRICT",1043570688,0,0,0,0,0,True
style_guide_files_crawl_run_id_fkey,public,style_guide_files,public,style_guide_crawl_runs,a,n,FOREIGN KEY (crawl_run_id) REFERENCES style_guide_crawl_runs(id) ON DELETE SET NULL,881672192,296608,1565455,0,7,0,True
style_guide_file_tags_style_guide_file_id_fkey,public,style_guide_file_tags,public,style_guide_files,a,c,FOREIGN KEY (style_guide_file_id) REFERENCES style_guide_files(id) ON DELETE CASCADE,681771008,10217,0,3,1565455,0,True
style_guide_file_tags_confirmed_by_fkey,public,style_guide_file_tags,auth,users,a,n,FOREIGN KEY (confirmed_by) REFERENCES auth.users(id) ON DELETE SET NULL,681771008,10217,0,3,412,0,False
style_guide_file_tags_created_by_fkey,public,style_guide_file_tags,auth,users,a,n,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE SET NULL,681771008,10217,0,3,412,0,False
style_guide_file_tags_tag_id_fkey,public,style_guide_file_tags,public,style_guide_tags,a,c,FOREIGN KEY (tag_id) REFERENCES style_guide_tags(id) ON DELETE CASCADE,681771008,10217,0,3,10218,0,True
style_guide_file_tags_source_file_id_fkey,public,style_guide_file_tags,public,style_guide_files,a,n,FOREIGN KEY (source_file_id) REFERENCES style_guide_files(id) ON DELETE SET NULL,681771008,10217,0,3,1565455,0,False
asset_effective_tags_asset_id_fkey,public,asset_effective_tags,public,assets,a,c,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE,546750464,2045705,0,6762623,1478880,0,True
dcp_asset_term_obs_asset_fk,plm,dcp_asset_term_observation,plm,dcp_metadata_asset,a,c,"FOREIGN KEY (metadata_run_id, dcp_asset_id, fetch_status) REFERENCES plm.dcp_metadata_asset(metadata_run_id, dcp_asset_id, fetch_status) ON DELETE CASCADE",458457088,0,0,0,0,0,False
dcp_asset_term_observation_dcp_term_id_fkey,plm,dcp_asset_term_observation,plm,dcp_term,a,r,FOREIGN KEY (dcp_term_id) REFERENCES plm.dcp_term(id) ON DELETE RESTRICT,458457088,0,0,0,0,0,True
nbcu_asset_capture_id_fkey,plm,nbcu_asset,plm,nbcu_capture,a,r,FOREIGN KEY (capture_id) REFERENCES plm.nbcu_capture(id) ON DELETE RESTRICT,379944960,0,0,0,0,0,True
raw_record_sync_run_id_fkey,ingest,raw_record,ingest,sync_run,a,n,FOREIGN KEY (sync_run_id) REFERENCES ingest.sync_run(id) ON DELETE SET NULL,310001664,0,0,0,0,0,False
erp_items_raw_sync_run_id_fkey,public,erp_items_raw,public,erp_sync_runs,a,n,FOREIGN KEY (sync_run_id) REFERENCES erp_sync_runs(id) ON DELETE SET NULL,306462720,0,0,0,0,0,True
nbcu_asset_property_asset_fkey,plm,nbcu_asset_property,plm,nbcu_asset,a,r,"FOREIGN KEY (capture_id, asset_source_key) REFERENCES plm.nbcu_asset(capture_id, asset_source_key) ON DELETE RESTRICT",304472064,0,0,0,0,0,True
nbcu_asset_property_property_fkey,plm,nbcu_asset_property,plm,nbcu_property,a,r,"FOREIGN KEY (capture_id, property_key) REFERENCES plm.nbcu_property(capture_id, property_key) ON DELETE RESTRICT",304472064,0,0,0,0,0,True
pmt_amv_element_fkey,plm,pmt_asset_metadata_value,plm,pmt_metadata_element,a,r,"FOREIGN KEY (capture_id, metadata_element_id) REFERENCES plm.pmt_metadata_element(capture_id, metadata_element_id) ON DELETE RESTRICT",276611072,0,0,0,0,0,True
pmt_amv_asset_fkey,plm,pmt_asset_metadata_value,plm,pmt_asset,a,r,"FOREIGN KEY (capture_id, asset_id) REFERENCES plm.pmt_asset(capture_id, asset_id) ON DELETE RESTRICT",276611072,0,0,0,0,0,True
pmt_asset_metadata_value_capture_id_fkey,plm,pmt_asset_metadata_value,plm,pmt_capture,a,r,FOREIGN KEY (capture_id) REFERENCES plm.pmt_capture(capture_id) ON DELETE RESTRICT,276611072,0,0,0,0,0,True
dcp_asset_property_observation_dcp_property_id_fkey,plm,dcp_asset_property_observation,plm,dcp_property,a,r,FOREIGN KEY (dcp_property_id) REFERENCES plm.dcp_property(id) ON DELETE RESTRICT,200310784,0,0,0,0,0,True
dcp_asset_property_obs_asset_fk,plm,dcp_asset_property_observation,plm,dcp_metadata_asset,a,c,"FOREIGN KEY (metadata_run_id, dcp_asset_id, fetch_status) REFERENCES plm.dcp_metadata_asset(metadata_run_id, dcp_asset_id, fetch_status) ON DELETE CASCADE",200310784,0,0,0,0,0,False
product_plm_item_id_fkey,pim,product,plm,item,a,n,FOREIGN KEY (plm_item_id) REFERENCES plm.item(id) ON DELETE SET NULL,173596672,0,0,0,0,0,True
product_design_id_fkey,pim,product,pim,design,a,n,FOREIGN KEY (design_id) REFERENCES pim.design(id) ON DELETE SET NULL,173596672,0,0,0,0,0,True
product_factory_id_fkey,pim,product,core,factory,a,n,FOREIGN KEY (factory_id) REFERENCES core.factory(id) ON DELETE SET NULL,173596672,0,0,0,0,0,False
product_product_type_id_fkey,pim,product,core,product_type,a,n,FOREIGN KEY (product_type_id) REFERENCES core.product_type(id) ON DELETE SET NULL,173596672,0,0,0,0,0,False
product_buyer_contact_id_fkey,pim,product,core,contact,a,n,FOREIGN KEY (buyer_contact_id) REFERENCES core.contact(id) ON DELETE SET NULL,173596672,0,0,0,0,0,False
product_property_id_fkey,pim,product,core,property,a,n,FOREIGN KEY (property_id) REFERENCES core.property(id) ON DELETE SET NULL,173596672,0,0,0,0,0,False
product_licensor_id_fkey,pim,product,core,licensor,a,n,FOREIGN KEY (licensor_id) REFERENCES core.licensor(id) ON DELETE SET NULL,173596672,0,0,0,0,0,True
product_company_id_fkey,pim,product,core,customer,a,n,FOREIGN KEY (company_id) REFERENCES core.customer(id) ON DELETE SET NULL,173596672,0,0,0,0,0,False
product_project_id_fkey,pim,product,pim,project,a,n,FOREIGN KEY (project_id) REFERENCES pim.project(id) ON DELETE SET NULL,173596672,0,0,0,0,0,True
wb_asset_normalized_capture_id_capture_chunk_fkey,plm,wb_asset_normalized,plm,wb_capture,a,r,"FOREIGN KEY (capture_id, capture_chunk) REFERENCES plm.wb_capture(capture_id, chunk_number) ON DELETE RESTRICT",171851776,0,0,0,0,0,False
lucasfilm_dcp_metadata_asset_membership_fk,plm,lucasfilm_dcp_metadata_asset,plm,lucasfilm_dcp_asset_crawl,a,r,"FOREIGN KEY (source_crawl_id, lucasfilm_dcp_asset_id) REFERENCES plm.lucasfilm_dcp_asset_crawl(crawl_id, lucasfilm_dcp_asset_id) ON DELETE RESTRICT",163954688,0,0,0,0,0,False
lucasfilm_dcp_metadata_asset_run_fk,plm,lucasfilm_dcp_metadata_asset,plm,lucasfilm_dcp_metadata_run,a,c,"FOREIGN KEY (metadata_run_id, source_crawl_id) REFERENCES plm.lucasfilm_dcp_metadata_run(metadata_run_id, source_crawl_id) ON DELETE CASCADE",163954688,0,0,0,0,0,False
nbcu_asset_ip_family_asset_fkey,plm,nbcu_asset_ip_family,plm,nbcu_asset,a,r,"FOREIGN KEY (capture_id, asset_source_key) REFERENCES plm.nbcu_asset(capture_id, asset_source_key) ON DELETE RESTRICT",151650304,0,0,0,0,0,True
nbcu_asset_ip_family_family_fkey,plm,nbcu_asset_ip_family,plm,nbcu_ip_family,a,r,"FOREIGN KEY (capture_id, ip_family_key) REFERENCES plm.nbcu_ip_family(capture_id, ip_family_key) ON DELETE RESTRICT",151650304,0,0,0,0,0,True
dcp_asset_first_seen_crawl_id_fkey,plm,dcp_asset,plm,dcp_crawl,a,n,FOREIGN KEY (first_seen_crawl_id) REFERENCES plm.dcp_crawl(crawl_id) ON DELETE SET NULL,148209664,0,0,0,0,0,False
dcp_asset_last_seen_crawl_id_fkey,plm,dcp_asset,plm,dcp_crawl,a,n,FOREIGN KEY (last_seen_crawl_id) REFERENCES plm.dcp_crawl(crawl_id) ON DELETE SET NULL,148209664,0,0,0,0,0,False
dcp_asset_style_guide_id_fkey,plm,dcp_asset,plm,dcp_style_guide,a,r,FOREIGN KEY (style_guide_id) REFERENCES plm.dcp_style_guide(id) ON DELETE RESTRICT,148209664,0,0,0,0,0,True
nbcu_asset_style_guide_asset_fkey,plm,nbcu_asset_style_guide,plm,nbcu_asset,a,r,"FOREIGN KEY (capture_id, asset_source_key) REFERENCES plm.nbcu_asset(capture_id, asset_source_key) ON DELETE RESTRICT",135192576,0,0,0,0,0,True
nbcu_asset_style_guide_guide_fkey,plm,nbcu_asset_style_guide,plm,nbcu_style_guide,a,r,"FOREIGN KEY (capture_id, style_guide_key) REFERENCES plm.nbcu_style_guide(capture_id, style_guide_key) ON DELETE RESTRICT",135192576,0,0,0,0,0,True
nbcu_asset_scope_asset_fkey,plm,nbcu_asset_scope,plm,nbcu_asset,a,r,"FOREIGN KEY (capture_id, asset_source_key) REFERENCES plm.nbcu_asset(capture_id, asset_source_key) ON DELETE RESTRICT",129515520,0,0,0,0,0,True
nbcu_asset_scope_scope_fkey,plm,nbcu_asset_scope,plm,nbcu_scope,a,r,"FOREIGN KEY (capture_id, scope_key) REFERENCES plm.nbcu_scope(capture_id, scope_key) ON DELETE RESTRICT",129515520,0,0,0,0,0,True
style_guide_tagging_state_style_guide_file_id_fkey,public,style_guide_tagging_state,public,style_guide_files,a,c,FOREIGN KEY (style_guide_file_id) REFERENCES style_guide_files(id) ON DELETE CASCADE,108601344,296889,1525650,0,1565455,0,True
dcp_asset_tile_observation_dcp_asset_id_fkey,plm,dcp_asset_tile_observation,plm,dcp_asset,a,r,FOREIGN KEY (dcp_asset_id) REFERENCES plm.dcp_asset(id) ON DELETE RESTRICT,108601344,0,0,0,0,0,True
dcp_asset_tile_observation_portal_tile_id_fkey,plm,dcp_asset_tile_observation,plm,dcp_portal_tile,a,r,FOREIGN KEY (portal_tile_id) REFERENCES plm.dcp_portal_tile(id) ON DELETE RESTRICT,108601344,0,0,0,0,0,True
dcp_asset_tile_observation_crawl_id_fkey,plm,dcp_asset_tile_observation,plm,dcp_crawl,a,c,FOREIGN KEY (crawl_id) REFERENCES plm.dcp_crawl(crawl_id) ON DELETE CASCADE,108601344,0,0,0,0,0,True
dcp_asset_tile_observation_crawl_section_id_fkey,plm,dcp_asset_tile_observation,plm,dcp_crawl_section,a,r,FOREIGN KEY (crawl_section_id) REFERENCES plm.dcp_crawl_section(id) ON DELETE RESTRICT,108601344,0,0,0,0,0,True
wb_asset_property_property_id_fkey,plm,wb_asset_property,plm,wb_property,a,r,FOREIGN KEY (property_id) REFERENCES plm.wb_property(id) ON DELETE RESTRICT,108593152,0,0,0,0,0,False
wb_asset_property_capture_id_capture_chunk_fkey,plm,wb_asset_property,plm,wb_capture,a,r,"FOREIGN KEY (capture_id, capture_chunk) REFERENCES plm.wb_capture(capture_id, chunk_number) ON DELETE RESTRICT",108593152,0,0,0,0,0,False
wb_asset_property_asset_id_fkey,plm,wb_asset_property,plm,wb_asset_normalized,a,r,FOREIGN KEY (asset_id) REFERENCES plm.wb_asset_normalized(id) ON DELETE RESTRICT,108593152,0,0,0,0,0,True
