schema,table_name,index_name,indexdef,is_unique,is_primary,is_valid,is_ready,is_partial,has_expressions,key_atts,total_atts,constraint_owned,constraint_type,index_bytes,idx_scan,idx_tup_read,idx_tup_fetch,last_idx_scan
plm,nbcu_asset_metadata_value,nbcu_asset_metadata_value_pkey,"CREATE UNIQUE INDEX nbcu_asset_metadata_value_pkey ON plm.nbcu_asset_metadata_value USING btree (capture_id, asset_source_key, field_name, value_ordinal)",True,True,True,True,False,False,4,4,True,p,580493312,0,0,0,
public,assets,idx_assets_relative_path_trgm,CREATE INDEX idx_assets_relative_path_trgm ON public.assets USING gin (relative_path extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,292536320,0,0,0,
public,asset_effective_tags,asset_effective_tags_asset_tag_scope_uidx,"CREATE UNIQUE INDEX asset_effective_tags_asset_tag_scope_uidx ON public.asset_effective_tags USING btree (asset_id, tag, scope)",True,False,True,True,False,False,3,3,False,,221233152,9198867,13598561,6762627,2026-09-03 15:37:53.620434-04
public,asset_tags,asset_tags_forward_asset_id_idx,"CREATE INDEX asset_tags_forward_asset_id_idx ON public.asset_tags USING btree (asset_id, id)",False,False,True,True,False,False,2,2,False,,216154112,2,2,0,2026-08-30 13:12:22.56378-04
plm,dcp_asset_term_observation,dcp_asset_term_obs_pkey,"CREATE UNIQUE INDEX dcp_asset_term_obs_pkey ON plm.dcp_asset_term_observation USING btree (metadata_run_id, dcp_asset_id, dcp_term_id)",True,True,True,True,False,False,3,3,True,p,208109568,0,0,0,
public,asset_tags,asset_tags_asset_id_tag_key,"CREATE UNIQUE INDEX asset_tags_asset_id_tag_key ON public.asset_tags USING btree (asset_id, tag)",True,False,True,True,False,False,2,2,True,u,184328192,0,0,0,
public,assets,idx_assets_facet_counts,"CREATE INDEX idx_assets_facet_counts ON public.assets USING btree (is_deleted) INCLUDE (file_type, status, workflow_status, stage, is_licensed, modified_at, file_created_at, thumbnail_url, style_group_id) WHERE (is_deleted = false)",False,False,True,True,True,False,1,10,False,,172572672,103,11794703,5089406,2026-09-04 17:03:00.811302-04
public,asset_effective_tags,asset_effective_tags_tag_asset_idx,"CREATE INDEX asset_effective_tags_tag_asset_idx ON public.asset_effective_tags USING btree (tag, asset_id)",False,False,True,True,False,False,2,2,False,,163651584,623017,5145303,967129,2026-09-04 09:28:02.449696-04
public,asset_tags,asset_tags_pkey,CREATE UNIQUE INDEX asset_tags_pkey ON public.asset_tags USING btree (id),True,True,True,True,False,False,1,1,True,p,141434880,0,0,0,
public,style_guide_files,idx_sgf_relative_path_trgm,CREATE INDEX idx_sgf_relative_path_trgm ON public.style_guide_files USING gin (relative_path extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,134053888,0,0,0,
public,asset_tags,asset_tags_active_asset_idx,"CREATE INDEX asset_tags_active_asset_idx ON public.asset_tags USING btree (asset_id, tag) WHERE (status = 'active'::text)",False,False,True,True,True,False,2,2,False,,133660672,1874211,34807080,636297,2026-09-04 17:28:49.238317-04
public,style_guide_file_tags,idx_style_guide_file_tags_tag_status,"CREATE INDEX idx_style_guide_file_tags_tag_status ON public.style_guide_file_tags USING btree (tag_id, status, style_guide_file_id)",False,False,True,True,False,False,3,3,False,,124502016,264,264,132,2026-09-03 22:09:18.61458-04
public,assets,idx_assets_ai_tag_all_candidates,"CREATE INDEX idx_assets_ai_tag_all_candidates ON public.assets USING btree (primary_sort_tier, id) INCLUDE (thumbnail_url, filename, relative_path, style_group_id) WHERE ((is_deleted = false) AND (thumbnail_url IS NOT NULL) AND (primary_sort_tier <> ALL (ARRAY[4, 8])))",False,False,True,True,True,False,2,6,False,,113786880,10,10094,3618,2026-09-03 08:56:51.568695-04
public,style_guide_files,idx_sgf_directory_path_trgm,CREATE INDEX idx_sgf_directory_path_trgm ON public.style_guide_files USING gin (directory_path extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,111771648,0,0,0,
public,style_guide_file_tags,style_guide_file_tags_unique_source,"CREATE UNIQUE INDEX style_guide_file_tags_unique_source ON public.style_guide_file_tags USING btree (style_guide_file_id, tag_id, source, rule_version)",True,False,True,True,False,False,4,4,True,u,107692032,22677,29553,29532,2026-09-03 22:12:38.340659-04
public,dam_search_documents,idx_dam_search_documents_path_trgm,CREATE INDEX idx_dam_search_documents_path_trgm ON public.dam_search_documents USING gin (path extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,103309312,63,896681,0,2026-08-31 19:44:46.985805-04
plm,nbcu_asset_property,nbcu_asset_property_pkey,"CREATE UNIQUE INDEX nbcu_asset_property_pkey ON plm.nbcu_asset_property USING btree (capture_id, asset_source_key, property_key)",True,True,True,True,False,False,3,3,True,p,90890240,0,0,0,
plm,pmt_asset_metadata_value,pmt_asset_metadata_value_pkey,"CREATE UNIQUE INDEX pmt_asset_metadata_value_pkey ON plm.pmt_asset_metadata_value USING btree (capture_id, asset_id, metadata_element_id, value_ordinal)",True,True,True,True,False,False,4,4,True,p,85090304,0,0,0,
public,assets,idx_assets_tags,CREATE INDEX idx_assets_tags ON public.assets USING gin (tags),False,False,True,True,False,False,1,1,False,,84500480,0,0,0,
plm,nbcu_asset_scope,nbcu_asset_scope_pkey,"CREATE UNIQUE INDEX nbcu_asset_scope_pkey ON plm.nbcu_asset_scope USING btree (capture_id, asset_source_key, scope_key)",True,True,True,True,False,False,3,3,True,p,79233024,0,0,0,
public,style_guide_files,style_guide_files_root_path_unique,"CREATE UNIQUE INDEX style_guide_files_root_path_unique ON public.style_guide_files USING btree (root_label, relative_path)",True,False,True,True,False,False,2,2,True,u,77512704,1523415,1521182,1521182,2026-09-03 22:11:08.883348-04
plm,dcp_asset_property_observation,dcp_asset_property_obs_pkey,"CREATE UNIQUE INDEX dcp_asset_property_obs_pkey ON plm.dcp_asset_property_observation USING btree (metadata_run_id, dcp_asset_id, dcp_property_id)",True,True,True,True,False,False,3,3,True,p,77053952,0,0,0,
public,assets,idx_assets_filename_trgm,CREATE INDEX idx_assets_filename_trgm ON public.assets USING gin (filename extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,75390976,35,376493,0,2026-09-03 12:50:40.587297-04
public,style_guide_files,idx_style_guide_files_tag_search_trgm,CREATE INDEX idx_style_guide_files_tag_search_trgm ON public.style_guide_files USING gin (tag_search_text extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,74211328,0,0,0,
public,dam_search_documents,idx_dam_search_documents_tsv,CREATE INDEX idx_dam_search_documents_tsv ON public.dam_search_documents USING gin (search_tsv),False,False,True,True,False,False,1,1,False,,71090176,150,2457667,0,2026-08-31 19:44:47.946074-04
