schema,relation,relkind,total_bytes,table_bytes,index_bytes,toast_bytes,planner_rows,reloptions,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_tup_newpage_upd,seq_scan,idx_scan,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
public,assets,r,3405725696,2256191488,1149534208,133267456,145745,,145746,21248,1343,27,7023,1478880,0,739983,250267,9,23499966,,2026-09-04 13:44:39.544372-04,,2026-09-04 16:31:27.880685-04,0,45,0,89
plm,dcp_metadata_asset,r,1333559296,1206632448,126926848,884465664,374610,,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
public,asset_tags,r,1237778432,478543872,759234560,8192,2172534,,0,0,0,0,0,0,0,0,0,4,1874220,,,,,0,0,0,0
plm,nbcu_asset_metadata_value,r,1043570688,442712064,600858624,8192,1189429,,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
public,style_guide_files,r,881672192,285999104,595673088,90112,296608,,296608,5818,2475,0,2233,1565455,0,0,641843,1,3124930,,2026-09-03 22:12:05.048674-04,,2026-09-03 22:12:09.798373-04,0,23,0,36
public,dam_search_documents,r,766763008,463740928,303022080,179773440,145973,,146007,28288,13505,52,39586,3437857,32520,215191,2005783,13270,4999886,,2026-09-04 12:14:45.468932-04,,2026-09-04 14:24:26.836193-04,0,105,0,192
public,style_guide_file_tags,r,681771008,367132672,314638336,8192,1021282,,10217,3,10223,10220,10220,0,3,0,0,0,22942,,,,,0,0,0,0
public,asset_effective_tags,r,546750464,161865728,384884736,8192,2045705,,2045705,261433,148486,259063,8808328,0,6762623,0,0,18,9821884,,2026-09-03 04:12:08.962041-04,,2026-09-03 04:21:56.678389-04,0,16,0,55
plm,dcp_asset_term_observation,r,458457088,216809472,241647616,8192,2246604,,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
app,AuditLog,r,391487488,378306560,13180928,83288064,585965,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
dflow,AuditLog,r,383082496,370016256,13066240,80764928,580505,,0,0,0,0,0,0,0,0,0,3,1,,,,,0,0,0,0
plm,nbcu_asset,r,379944960,235921408,144023552,12107776,105800,,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
ingest,raw_record,r,310001664,286916608,23085056,166404096,141401,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
public,erp_items_raw,r,306462720,289062912,17399808,8192,300329,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,nbcu_asset_property,r,304472064,211722240,92749824,8192,144103,,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
plm,pmt_asset_metadata_value,r,276611072,162988032,113623040,8192,415044,,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
plm,dcp_asset_property_observation,r,200310784,81502208,118808576,8192,874856,,0,0,0,0,0,0,0,0,0,2,7957,,,,,0,0,0,0
pim,product,r,173596672,166453248,7143424,153903104,17909,,0,0,0,0,0,0,0,0,0,4,35,,,,,0,0,0,0
plm,wb_asset_normalized,r,171851776,154673152,17178624,8192,147537,,0,0,0,0,0,0,0,0,0,8,2109,,,,,0,0,0,0
plm,lucasfilm_dcp_metadata_asset,r,163954688,149004288,14950400,114294784,43640,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,nbcu_asset_ip_family,r,151650304,81870848,69779456,8192,112364,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,dcp_asset,r,148209664,64086016,84123648,8192,187487,,0,0,0,0,0,0,0,0,0,15,13253679,,,,,0,0,0,0
plm,nbcu_asset_style_guide,r,135192576,100892672,34299904,8192,61800,,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
plm,nbcu_asset_scope,r,129515520,48840704,80674816,8192,131685,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
public,style_guide_tagging_state,r,108601344,54550528,54050816,8192,296889,,296889,14218,520,2233,2233,1525650,0,1515406,6256,0,1604886,,2026-08-30 22:03:45.303425-04,,2026-09-03 22:12:10.802524-04,0,1,0,35
plm,dcp_asset_tile_observation,r,108601344,48947200,59654144,8192,423763,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,wb_asset_property,r,108593152,96526336,12066816,8192,188410,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,wb_asset_style_guide_normalized,r,89202688,79765504,9437184,8192,147484,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,wb_asset_franchise,r,85041152,75595776,9445376,8192,147536,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,dcp_asset_crawl,r,80748544,48660480,32088064,8192,338644,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,item_import,r,80461824,77504512,2957312,8192,19362,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,wwe_asset_tag,r,76447744,37855232,38592512,8192,200271,,200271,0,0,0,200271,0,0,0,0,2,200272,,2026-08-30 12:21:06.945661-04,,2026-08-30 12:21:08.078004-04,0,1,0,1
dflow,itemAttachment,r,69853184,65028096,4825088,8192,194624,,0,0,0,0,0,0,0,0,0,9,1,,,,,0,0,0,0
plm,style_tracker_item_bridge,r,69165056,55803904,13361152,24576,15734,,15734,0,0,0,0,42210,0,1718,27825,7,1835236,,2026-09-04 17:09:18.410663-04,,2026-09-04 17:09:19.478679-04,0,3,0,2
plm,production_order_line,r,68714496,59768832,8945664,8192,24010,,0,1,0,1,1,0,0,0,0,4,439,,,,,0,0,0,0
plm,peanuts_asset,r,67575808,62988288,4587520,45686784,22463,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,dcp_asset_character_observation,r,66789376,31531008,35258368,8192,327085,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,marvel_asgard_node_asset_observation,r,63119360,53215232,9904128,8192,44497,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,lucasfilm_dcp_asset_term_observation,r,57344000,26984448,30359552,8192,279284,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
public,style_tracker_rows,r,54353920,33366016,20987904,8192,15734,,0,2,2,0,0,2,0,0,0,72,767,,,,,0,0,0,0
plm,pmt_authorized_property_asset,r,49913856,20037632,29876224,8192,67876,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,pmt_asset,r,44802048,25911296,18890752,8192,67724,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
public,style_groups,r,43384832,12582912,30801920,32768,10865,,10866,1535,354,13,32563,1392386,32520,852120,354813,38201,13250012,,2026-09-04 00:30:25.122528-04,,2026-09-04 16:04:15.724436-04,0,288,0,415
pim,product_file,r,42401792,35758080,6643712,24576,20281,,0,0,0,0,0,0,0,0,0,0,9,,,,,0,0,0,0
public,asset_path_history,r,41918464,33931264,7987200,8192,38963,,41640,421,3519,6236,14231,0,473,0,0,0,7,,2026-08-29 18:59:11.248076-04,,2026-08-29 20:23:15.773843-04,0,1,0,3
plm,pmt_asset_collection,r,40984576,22421504,18563072,8192,86260,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,marvel_asgard_asset_term_observation,r,39936000,24141824,15794176,8192,179459,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,item,r,39378944,36610048,2768896,8192,19362,,0,0,0,0,0,0,0,0,0,7,51666,,,,,0,0,0,0
plm,marvel_asgard_asset,r,36470784,24084480,12386304,8192,42551,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,pmt_asset_property,r,35053568,19259392,15794176,8192,69076,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,pmt_asset_brand,r,34226176,18956288,15269888,8192,68102,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,pmt_asset_franchise,r,33308672,18415616,14893056,8192,66402,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,sega_asset,r,31227904,27795456,3432448,8192,21000,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,wb_asset_character_normalized,r,31211520,27918336,3293184,8192,51036,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,lucasfilm_dcp_asset_property_observation,r,29138944,11837440,17301504,8192,126658,,0,0,0,0,0,0,0,0,0,2,1540,,,,,0,0,0,0
dflow,email_logs,r,27336704,26894336,442368,57344,18701,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
app,email_logs,r,27271168,26828800,442368,57344,18838,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
public,admin_config,r,26845184,26730496,114688,25640960,756,,756,187,0,1,12,270321,12,267752,2569,78494,9674286,,2026-09-03 16:16:57.080971-04,,2026-09-04 16:47:17.02935-04,0,17,0,1847
crm,email_message,r,23650304,16449536,7200768,57344,17052,,626,88,714,626,626,88,0,0,32,172778,4390,,,,,0,0,0,0
public,asset_characters,r,22134784,10665984,11468800,0,160892,,0,0,0,0,0,0,0,0,0,0,16587747,,,,,0,0,0,0
app,quote_auth_token,r,21897216,20029440,1867776,8192,40695,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
dflow,quote_auth_token,r,21356544,19505152,1851392,8192,40558,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
plm,wwe_asset,r,20766720,18472960,2293760,8192,11277,,11277,0,0,0,11277,0,0,0,0,4,234103,,2026-08-30 12:21:08.280101-04,,2026-08-30 12:21:08.590756-04,0,1,0,1
pim,checklist_item,r,20373504,10674176,9699328,8192,33325,,0,0,0,0,0,0,0,0,0,0,9,,,,,0,0,0,0
pim,product_update,r,20004864,16572416,3432448,2318336,11367,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,itemDetail,r,16228352,15228928,999424,8192,21841,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,lucasfilm_dcp_asset,r,16048128,7217152,8830976,8192,21820,,0,0,0,0,0,0,0,0,0,85,633486,,,,,0,0,0,0
plm,marvel_asgard_asset_character_observation,r,15433728,8773632,6660096,8192,74552,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,opa_property_character,r,15368192,11567104,3801088,8192,10262,,0,0,0,0,0,0,0,0,0,0,267,,,,,0,0,0,0
dflow,user_notification,r,15073280,11771904,3301376,8192,104345,,0,0,0,0,0,0,0,0,0,5,297,,,,,0,0,0,0
public,style_guide_file_groups,m,14262272,10780672,3481600,8192,22039,,22039,3224,82,3274,26733,0,26649,0,0,668,6,,2026-09-02 22:15:34.676573-04,,2026-09-03 22:15:16.80501-04,0,4,0,7
app,user_notification,r,14163968,11771904,2392064,8192,105241,,0,0,0,0,0,0,0,0,0,175,0,,,,,0,0,0,0
public,erp_items_current,r,11264000,8822784,2441216,8192,17703,,0,0,0,0,0,0,0,0,0,5,2114417,,,,,0,0,0,0
plm,sega_asset_property_inferred,r,10584064,6021120,4562944,8192,14226,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,pmt_asset_character,r,10502144,5808128,4694016,8192,19458,,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
plm,production_order_line_source_ref,r,9895936,3112960,6782976,8192,24010,,0,0,0,0,0,0,0,0,0,20,12048,,,,,0,0,0,0
plm,sega_catalog,r,9863168,4907008,4956160,8192,8481,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,peanuts_asset_character,r,9363456,4571136,4792320,8192,37238,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,lucasfilm_dcp_asset_character_observation,r,9306112,4349952,4956160,8192,44426,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,itemHeader,r,8888320,8429568,458752,8192,19563,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
dflow,itemHeader,r,8888320,8429568,458752,8192,19451,,0,0,0,0,0,0,0,0,0,41,7,,,,,0,0,0,0
plm,RFQItem,r,8847360,7290880,1556480,8192,6783,,0,0,0,0,0,0,0,0,0,2,1489,,,,,0,0,0,0
public,pdf_text_samples,r,8421376,3424256,4997120,163840,3177,,0,0,0,0,0,0,0,0,0,5,1600409,,,,,0,0,0,0
dflow,itemDetail,r,8159232,7643136,516096,8192,21841,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
plm,dcp_style_guide,r,8028160,6553600,1474560,8192,3009,,0,0,0,0,0,0,0,0,0,14,8404079,,,,,0,0,0,0
plm,item_import_unresolved,r,7725056,5357568,2367488,8192,25712,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,marvel_asgard_asset_likeness_observation,r,7274496,4694016,2580480,8192,42551,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,peanuts_asset_relationship,r,7045120,3096576,3948544,8192,12935,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
core,contact_source_ref,r,6955008,5783552,1171456,8192,9401,,0,0,0,0,0,0,0,0,0,1,2,,,,,0,0,0,0
plm,lucasfilm_dcp_style_guide,r,6397952,6078464,319488,8192,410,,0,0,0,0,0,0,0,0,0,0,130098,,,,,0,0,0,0
plm,item_prod_order_detail_associations,r,5963776,2695168,3268608,8192,29043,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
dflow,item_prod_order_detail_associations,r,5963776,2695168,3268608,8192,29043,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
plm,wildbrain_asset,r,5865472,4857856,1007616,8192,4574,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,lucasfilm_dcp_asset_tile_observation,r,5824512,2433024,3391488,8192,21820,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,dcp_term,r,5750784,4784128,966656,8192,3770,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
public,style_guide_render_queue,r,5750784,2555904,3194880,8192,13212,,13212,0,388,0,2233,4466,3150,0,1225,0,615412,,2026-09-03 23:15:19.94183-04,,2026-09-03 22:33:17.405769-04,0,3,0,6
public,render_queue,r,5742592,4554752,1187840,196608,2551,,2563,36,231,16,8572,17151,8131,7,3176,37174,513553,,2026-09-04 16:13:15.190722-04,,2026-09-04 14:10:08.456879-04,0,40,0,78
plm,sega_asset_catalog,r,5734400,3178496,2555904,8192,21648,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,itemAttachment,r,5439488,4956160,483328,8192,20500,,0,0,0,0,0,0,0,0,0,2,0,,,,,0,0,0,0
plm,lucasfilm_dcp_asset_crawl,r,5406720,3129344,2277376,8192,21820,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,peanuts_asset_art_program,r,5349376,2686976,2662400,8192,22519,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
dflow,RFQVendor,r,5005312,2899968,2105344,8192,32269,,0,0,0,0,0,0,0,0,0,1,283,,,,,0,0,0,0
plm,wb_character_normalized,r,4923392,4202496,720896,8192,5339,,0,0,0,0,0,0,0,0,0,172,80,,,,,0,0,0,0
dflow,RFQItem,r,4710400,3678208,1032192,8192,6685,,0,0,0,0,0,0,0,0,0,1,45224,,,,,0,0,0,0
plm,marvel_dcp_metadata_asset,r,4562944,4087808,475136,2965504,922,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
pim,product_tag,r,4415488,1236992,3178496,8192,13383,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
dflow,ProdOrderDetail,r,4374528,3555328,819200,8192,17550,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
plm,ProdOrderDetail,r,4374528,3555328,819200,8192,17550,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,RFQVendor,r,4284416,2908160,1376256,8192,32534,,0,0,0,0,0,0,0,0,0,0,194,,,,,0,0,0,0
plm,wb_property_character_normalized,r,4268032,3981312,286720,8192,4158,,0,0,0,0,0,0,0,0,0,1,2,,,,,0,0,0,0
plm,peanuts_asset_keyword,r,4227072,2170880,2056192,8192,16827,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
pim,product_field,r,3866624,3112960,753664,589824,3761,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
pim,stage_history,r,3710976,1925120,1785856,8192,18573,,0,0,0,0,0,0,0,0,0,0,9,,,,,0,0,0,0
public,style_guide_tags,r,3686400,1236992,2449408,8192,6431,,6431,952,0,2,2,10218,0,10099,119,0,50233,,,,2026-09-03 22:13:16.302699-04,0,0,0,6
plm,wwe_asset_property_inferred,r,3596288,1933312,1662976,8192,11277,,11277,0,0,0,11277,0,0,0,0,3,11278,,2026-08-30 12:21:08.103672-04,,2026-08-30 12:21:08.175057-04,0,1,0,1
core,contact_company,r,3571712,1531904,2039808,8192,747,,9,0,9,9,9,0,0,0,0,1,654939,,,,,0,0,0,0
plm,dcp_portal_tile,r,3301376,3268608,32768,8192,11,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
plm,lucasfilm_dcp_portal_tile,r,3293184,3260416,32768,8192,1,,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,0,0
core,contact,r,3244032,2146304,1097728,8192,8654,,9,0,9,9,9,0,0,0,0,16,1104847,,,,,0,0,0,0
supabase_migrations,schema_migrations,r,3235840,3178496,57344,2744320,537,,49,0,49,49,49,0,0,0,0,27,515,,,,,0,0,0,0
dflow,properties_and_characters,r,3006464,1441792,1564672,8192,10122,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
public,ai_tag_bakeoff_results,r,2981888,2719744,262144,1441792,1019,,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,0,0
dam,sku_human_description,r,2924544,2433024,491520,8192,15360,,15360,0,0,0,107520,0,0,0,0,14,14,,2026-09-04 00:30:23.817253-04,,2026-09-04 00:30:23.940478-04,0,7,0,7
plm,lucasfilm_dcp_term,r,2908160,2441216,466944,8192,1682,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,production_order,r,2703360,1875968,827392,8192,3212,,0,6,0,3,3,3,0,0,3,21,202,,,,,0,0,0,0
plm,licensingStatus,r,2654208,2334720,319488,8192,13328,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
public,product_category_predictions,r,2523136,2170880,352256,8192,2788,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,wwe_asset_folder_member,r,2490368,1548288,942080,8192,11277,,11277,0,0,0,11277,0,0,0,0,2,11278,,2026-08-30 12:21:08.603958-04,,2026-08-30 12:21:08.753018-04,0,1,0,1
dflow,licensingStatus,r,2482176,2170880,311296,8192,13087,,0,0,0,0,0,0,0,0,0,3,1,,,,,0,0,0,0
plm,wb_style_guide_normalized,r,2424832,2105344,319488,8192,2304,,0,0,0,0,0,0,0,0,0,7,194,,,,,0,0,0,0
plm,lucasfilm_dcp_property,r,2400256,2342912,57344,8192,70,,0,0,0,0,0,0,0,0,0,8,2365,,,,,0,0,0,0
plm,marvel_dcp_asset_property_observation,r,2310144,1064960,1245184,8192,10998,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,erp_customer,r,2228224,2048000,180224,8192,836,,0,0,0,0,0,0,0,0,0,0,3753,,,,,0,0,0,0
core,company_source_ref,r,2211840,1392640,819200,8192,989,,0,0,0,0,0,0,0,0,0,3754,381,,,,,0,0,0,0
plm,item_import_staging,r,2211840,24576,2187264,8192,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
public,characters,r,2056192,1236992,819200,8192,9622,,0,0,0,0,0,0,0,0,0,16,26005242,,,,,0,0,0,0
plm,marvel_asgard_guide_node,r,2056192,1490944,565248,8192,1401,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,dcp_property,r,2048000,1941504,106496,8192,325,,0,0,0,0,0,0,0,0,0,68,8653,,,,,0,0,0,0
public,style_tracker_audit_log,r,1974272,32768,1941504,8192,0,,2,0,2,2,2,0,0,0,0,0,0,,,,,0,0,0,0
core,customer,r,1900544,778240,1122304,8192,861,,0,0,0,0,0,0,0,0,0,497947,288497,,,,,0,0,0,0
auth,refresh_tokens,r,1720320,679936,1040384,8192,2822,,2757,601,259,386,386,348,128,0,1,3,1371,,,,2026-09-03 13:20:48.730021-04,0,0,0,2
plm,opa_property_scope_membership,r,1712128,1228800,483328,8192,1519,,0,0,0,0,0,0,0,0,0,56,11986,,,,,0,0,0,0
plm,marvel_asgard_capture_checkpoint,r,1703936,1286144,417792,8192,4712,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,opa_character,r,1687552,1196032,491520,8192,9613,,0,0,0,0,0,0,0,0,0,6,2,,,,,0,0,0,0
plm,sega_character_evidence,r,1581056,1032192,548864,8192,1251,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
public,scanner_ai_ignores,r,1564672,475136,1089536,8192,1572,,21,0,21,21,21,0,0,0,0,8,550,,,,,0,0,0,0
cron,job_run_details,r,1531904,1335296,196608,8192,-1,,0,0,0,0,0,0,0,0,0,3,0,,,,,0,0,0,0
plm,wildbrain_asset_guide,r,1482752,991232,491520,8192,4334,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,wildbrain_asset_character,r,1425408,942080,483328,8192,5450,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,nbcu_style_guide_property,r,1368064,1056768,311296,8192,620,,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,0,0
dflow,property_character_associations,r,1359872,614400,745472,0,9622,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
plm,production_order_source_ref,r,1294336,425984,868352,8192,3212,,0,3,0,3,3,0,0,0,0,0,0,,,,,0,0,0,0
dflow,StandardizedVendor,r,1212416,851968,360448,8192,11320,,0,0,0,0,0,0,0,0,0,2,0,,,,,0,0,0,0
plm,StandardizedVendor,r,1212416,851968,360448,8192,11320,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,erp_vendor,r,1204224,1064960,139264,8192,145,,0,0,0,0,0,0,0,0,0,0,91,,,,,0,0,0,0
plm,ProdOrderHeader,r,1179648,1081344,98304,8192,3530,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
dflow,ProdOrderHeader,r,1171456,1073152,98304,8192,3514,,0,0,0,0,0,0,0,0,0,1,1,,,,,0,0,0,0
pim,project,r,1105920,876544,229376,8192,651,,0,0,0,0,0,0,0,0,0,7,20,,,,,0,0,0,0
plm,coke_approval_metadata_value,r,1081344,688128,393216,8192,2184,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,dcp_character,r,1064960,745472,319488,8192,1930,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,marvel_dcp_asset_term_observation,r,1024000,491520,532480,8192,4820,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,nbcu_style_guide,r,999424,704512,294912,8192,461,,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,0,0
plm,marvel_dcp_property,r,983040,942080,40960,8192,18,,0,0,0,0,0,0,0,0,0,64,695,,,,,0,0,0,0
plm,wwe_asset_folder,r,966656,565248,401408,8192,1272,,1272,0,0,0,1272,0,0,0,0,5,14717,,2026-08-30 12:21:08.19396-04,,2026-08-30 12:21:08.218423-04,0,1,0,1
plm,marvel_asgard_character,r,958464,598016,360448,8192,1362,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,dcp_metadata_chunk_ledger,r,942080,671744,270336,8192,4407,,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,0,0
plm,art_piece_attachment,r,901120,630784,270336,8192,2276,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
core,factory,r,851968,245760,606208,8192,93,,0,0,0,0,0,0,0,0,0,107,117,,,,,0,0,0,0
plm,creative_submission_property_resolution,r,843776,376832,466944,8192,1148,,1148,0,0,0,1148,0,0,0,0,10,87571,,2026-08-30 10:30:00.555024-04,,2026-08-30 10:30:00.584705-04,0,1,0,1
dflow,art_piece_attachment,r,794624,540672,253952,8192,2006,,0,0,0,0,0,0,0,0,0,3,15,,,,,0,0,0,0
plm,wb_capture,r,770048,720896,49152,647168,101,,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
plm,wwe_tag,r,729088,360448,368640,8192,1670,,1670,0,0,0,1670,0,0,0,0,3,201942,,2026-08-30 12:21:08.756637-04,,2026-08-30 12:21:08.781644-04,0,1,0,1
dflow,merchGroup,r,720896,622592,98304,8192,3645,,0,0,0,0,0,0,0,0,0,16,437,,,,,0,0,0,0
core,merchGroup,r,720896,622592,98304,8192,3645,,0,0,0,0,0,0,0,0,0,55,2202,,,,,0,0,0,0
core,factory_source_ref,r,720896,630784,90112,8192,104,,0,0,0,0,0,0,0,0,0,92,3,,,,,0,0,0,0
dam,pdf_rich_extraction,r,704512,638976,65536,24576,246,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,wb_property,r,671744,532480,139264,8192,525,,0,0,0,0,0,0,0,0,0,142,3393,,,,,0,0,0,0
public,ai_sentinel_cleanup_log,r,638976,466944,172032,8192,1273,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,coke_approval_vocabulary_value,r,630784,442368,188416,8192,1492,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
plm,opa_property_studio_resolution,r,622592,450560,172032,8192,1445,,0,0,0,0,0,0,0,0,0,4,10768,,,,,0,0,0,0
plm,pmt_property_collection,r,614400,303104,311296,8192,1076,,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,0,0
plm,peanuts_asset_holiday,r,589824,286720,303104,8192,1925,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
