licenselist_code,universe_b_id,universe_b_name,universe_b_source_key,portal,portal_label,portal_source_id
NU,10252,"2 FAST 2 FURIOUS",77d386da-d103-49bb-bd46-8ee1aaa578f7,NBCU Creative Asset Factory,"2 FAST 2 FURIOUS",1498
NU,10253,"A DAY AT THE SEASHORE (1951 LITTLE GOLDEN BOOK)",ae491218-255b-4d2a-a904-3770c0550971,NBCU Creative Asset Factory,"A DAY AT THE SEASHORE (1951 LITTLE GOLDEN BOOK)",3776
NU,10254,"AN AMERICAN WEREWOLF IN LONDON",59d76a10-8513-4123-acad-a2542ed2be74,NBCU Creative Asset Factory,"AN AMERICAN WEREWOLF IN LONDON",1128
NU,10255,"APOLLO 13",7828236b-277e-480f-9123-b3e2b0e48b81,NBCU Creative Asset Factory,"APOLLO 13",1191
NU,10256,"BACK TO THE FUTURE",47a40b49-52e0-4309-8616-0775fe6b621e,NBCU Creative Asset Factory,"BACK TO THE FUTURE",1100
NU,10257,"BACK TO THE FUTURE FRANCHISE ASSET",d9cbf09f-4d7a-4ff2-9f42-66f28599c9c2,NBCU Creative Asset Factory,"BACK TO THE FUTURE FRANCHISE ASSET",3463
NU,10258,"BACK TO THE FUTURE II",9a06c604-3e11-4864-9e9e-b49e93bf75f2,NBCU Creative Asset Factory,"BACK TO THE FUTURE II",1374
NU,10259,"BACK TO THE FUTURE III",6a7216c8-6569-48e8-ad68-3d0334a0c020,NBCU Creative Asset Factory,"BACK TO THE FUTURE III",3031
NU,10260,"BATTLESTAR GALACTICA (1978)",9d1d0a03-79a8-41a6-a04b-ba7702eeeb95,NBCU Creative Asset Factory,"BATTLESTAR GALACTICA (1978)",1034
NU,10261,"BATTLESTAR GALACTICA (2004)",c56b1ece-39c3-4651-8a85-643aecca48ad,NBCU Creative Asset Factory,"BATTLESTAR GALACTICA (2004)",2413
NU,10262,"BRIDE OF CHUCKY",d5e96ce2-7a21-48ca-935e-2ca3a07d1ab5,NBCU Creative Asset Factory,"BRIDE OF CHUCKY",1538
NU,10263,"CASPER (1995)",9f3ff566-91f9-47aa-9134-27f0e71865d9,NBCU Creative Asset Factory,"Casper (1995)",1060
NU,10264,"CASPER THE FRIENDLY GHOST - LITERARY",0847ab03-6bbd-44e6-97c2-1de82906644b,NBCU Creative Asset Factory,"CASPER THE FRIENDLY GHOST  - LITERARY",3753
NU,10265,"CHEECH AND CHONG'S NEXT MOVIE",cacbc3cf-3545-497d-abc1-8e3d38fb0b2b,NBCU Creative Asset Factory,"CHEECH AND CHONG'S NEXT MOVIE",1055
NU,10266,"CHILD'S PLAY 2",c7e1b9c5-9efe-4762-97d7-509eaffc7734,NBCU Creative Asset Factory,"CHILD'S PLAY 2",1386
NU,10267,"CHILD'S PLAY 3",e765b109-c291-4f67-80a8-8933fc371335,NBCU Creative Asset Factory,"CHILD'S PLAY 3",1387
NU,10268,"CHUCKY FRANCHISE ASSET",e03bdffd-b54a-4152-b0a2-f0dcb225cec7,NBCU Creative Asset Factory,"CHUCKY FRANCHISE ASSET",3464
NU,10269,"CURIOUS GEORGE-TV",7e67b4d8-472e-46df-972f-eecf2a10a1e0,NBCU Creative Asset Factory,"Curious George TV",1752
NU,10270,"DAZED AND CONFUSED",fba35f5c-20b1-4bc1-863c-dc64f6a006b6,NBCU Creative Asset Factory,"DAZED AND CONFUSED",1553
NU,10271,"DESPICABLE ME",e7c9e5ba-3a30-416d-a45a-4afdf2182a67,NBCU Creative Asset Factory,"DESPICABLE ME",2326
