Company,Division,Active,Item #,Item Desc,ShortItemNo,Display Desc,Season,MerchGroup01,MerchGroup02,MerchGroup03,MerchGroup04,MerchGroup05,MerchGroup06,MerchGroup07,MerchGroup08,CreatedTime,CreatedUser,Mod Time
EDGEHOME,CW001,Y,F0M5KNBSH01,"Die Cut MDF LED Block NBCU Shrek 3 Pumpkins 10x4.5"" x1.14""",,Dcut MDF block NBCU Shrek 3,NONE,F,01,M1,5K,NB,SH,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD68PNUT01,Die-cut MDF Photo Frame Peanuts Snoopy “CONGRATS GRAD” 6.13x8.37”x12mm,,Dcut MDF Photo Frm Peants Snpy Con,NONE,H,S1,D1,68,PN,UT,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD69DYMM01,Die-cut MDF Photo Frame Disney Mickey Mouse “It’s time to celebrate” 9.72x6.57”x12mm,,Dcut MDF Photo Frm Micky M Its time to,NONE,H,S1,D1,69,DY,MM,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD57DYMM02,Die-cut MDF Photo Frame Disney Mickey Mouse “Best Dad” 5.44x7.91”x12mm,,Dcut MDF Photo Frm Disny Mcky Mouse B,NONE,H,S1,D1,57,DY,MM,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD57DCBM01,Die-cut MDF Photo Frame DC Batman “My dad is my first superhero”7.89x5.70”x12mm,,Dcut MDF Photo Frm DC Batman My dad,NONE,H,S1,D1,57,DC,BM,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD57SWDV01,Die-cut MDF Photo Frame Star Wars Darth Vader #1 DAD In the Galaxy 7.89x5.70”x12mm,,Dcut MDF Photo Frm SW DarthV #1,NONE,H,S1,D1,57,SW,DV,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD77SSSS02,Die-cut MDF Photo Frame Strawberry Shortcake “I love you MOM” 7.17x7.25”x12mm,,Dcut MDF photo frm SS I love you MOM,NONE,H,S1,D1,77,SS,SSH,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD68SSSS03,Die-cut MDF Photo Frame Strawberry Shortcake “Berry Fresh for Spring” 5.75x8”x12mm,,Dcut MDF Photo frm SS berry fresh,EASTER,H,S1,D1,68,SS,SSH,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD68SSSS02,Die-cut MDF Photo Frame Strawberry Shortcake “Happy Easter” 7x5.48”x12mm,,Dcut MDF Photo frm SS happy easter,EASTER,H,S1,D1,68,SS,SSH,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD6XPNUT04,Die-cut MDF Photo Frame Peanuts Snoopy lying down “Happy Easter” 5.33x6.14”x12mm,,Dcut MDF photo frm Peants Snopy ly,EASTER,H,S1,D1,6X,PN,UT,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD6XPNUT03,Die-cut MDF Photo Frame Peanuts Snoopy “Happy Easter” 6x5.49 in”x12mm,,Dcut MDF photo frama Peants Snopy ha,EASTER,H,S1,D1,6X,PN,UT,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,CW001,Y,HSD57DYMM01,Die-cut MDF Photo Frame Disney Mickey and Minnie with bunnies 5.7x7”x12mm,,Dcut MDF photo frama Dsny Micky & minn,EASTER,H,S1,D1,57,DY,MM,,SG,8/14/2026,WebAPI,8/14/2026
EDGEHOME,EH001,Y,MDDPFEE,MDDP FEES,,,,,,,,,,,,8/14/2026,JParker,8/14/2026
EDGEHOME,CW001,Y,BGR3ADYCP01,"Disney Aristocats mini stained glass art with chain Marie licking paw 3.25x4"" x2.5mm",,Dsny Artcs mini stand glss chain Marie,NONE,B,G1,R7,3A,DY,CP,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,AA121MSFSH04,"Printed Canvas w Gold Foil_Chanel no5 perfume bottle with flowers 12x12"" x1""",,Printd cnvs gold foil Chanl no5 perf,NONE,A,A2,11,21,MS,FSH,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,AA121ANFSH01,"Printed Canvas w Gold Foil_Chanel Cheetah 12x12"" x1""",,Printd Cnvs w gold foil chanel cheetah,NONE,A,A2,11,21,AN,FSH,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,AA121MSFSH03,"Printed Canvas w Gold Foil_Dior perfume bottle with flowers 12x12"" x1""",,Printd cnvs gold foil dior perfum bottl,NONE,A,A2,11,21,MS,FSH,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,AA121MSFSH02,"Printed Canvas w Gold Foil_Chanel multicolored perfume bottle 12x12"" x1""",,Printd cnvs gold foil chanel multclrd pe,NONE,A,A2,11,21,MS,FSH,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BGQ21MSFSH01,"Glass Shadowbox w Diamond Dust_Purple chanel perfume bottle 12x12"" x1.14""",,Glss shwbx w diamond dust purple chanl,NONE,B,G1,Q6,21,MS,FSH,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BGQ21FPFRA01,"Glass Shadowbox w Diamond Dust_Pink roses arrangement 12x12"" x1.14""",,Glass Shwbx w diamond dust pink roses,NONE,B,G1,Q6,21,FP,FRA,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BRH66MSCES01,"Framed MDF w Handpaint_White and gold angel wings 16x16"" x0.75""",,Frmd MDF w Handpaint White and gold an,NONE,B,R1,H3,66,MS,CES,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BRH66ANFRN03,"Framed MDF w Handpaint_Multicolored highland cow 16x16"" x0.75""",,Frmd MDF w handpaint multclrd cow,NONE,B,R1,H3,66,AN,FRN,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BGW64ANFRN01,"Framed Art Under Glass w Decorative Frame_Horse on a farm 16x24"" x1.3""",,Frmd Art undr glss decovt frm horse,NONE,B,G1,W1,64,AN,FRN,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BGW64FPFRA01,"Framed Art Under Glass w Decorative Frame_Red Poppy Flowers 16x24"" x1.3""",,Frmd Art undr glss decoratv red poppy,NONE,B,G1,W1,64,FP,FRA,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BFW64FPFRA04,"Floater Frame Canvas w Allover Gel_White Peony Flowers 16x24"" x1.5""",,Ftlr frm cnvs w allovr gel White Peo,NONE,B,F3,W6,64,FP,FRA,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BFW64FPFRA03,"Floater Frame Canvas w Allover Gel_Blue Peony Flowers 16x24"" x1.5""",,Fltr frm cnvs w allovr gel Blue Peo,NONE,B,F3,W6,64,FP,FRA,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BR066NDCST02,"Framed MDF w Decorative Frame_Coastal Waves with Boat 16x16"" x0.75""",,Framed MDF decorative frm Coastl Wvs,NONE,B,R1,01,66,ND,CST,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BR066NDCST01,"Framed MDF w Decorative Frame_Coastal Waves 16x16"" x0.75""",,Framd MDf w decative frm Coastl W,NONE,B,R1,01,66,ND,CST,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,AA0T0ANJAN02,"Printed Canvas_Multicolored Tiger 20x20"" x1""",,Printd Cnvs Multcolord Tiger 20,NONE,A,A2,01,T0,AN,JAN,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,AA0T0ANJAN01,"Printed Canvas_Multicolored Lion 20x20"" x1""",,Printd cnvs multicolored Lion 20x20,NONE,A,A2,01,T0,AN,JAN,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,SP001,Y,PBG70WBFT01,"MDF Faux Book Storage WB Friday the 13th large mask 8.5x12"" x 3.25""",,Greybrd Faux WB Friday the 13th 7,HALLOWEEN,P,B2,G5,70,WB,FT,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,SP001,Y,PBG70NBHN01,"MDF Faux Book Storage NBCU Halloween II There is no place to hide 7x10"" x 2.5""",,Greybrd Faux Book NBCU HallwII There,HALLOWEEN,P,B2,G5,70,NB,HN,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,SP001,Y,PBG70WBNE01,"MDF Faux Book Storage WB Nightmare on Elm Street Never Sleep Again 7x10"" x 2.5""",,Greybrd Faux Book WB NoES Never sleep,HALLOWEEN,P,B2,G5,70,WB,NE,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,SP001,Y,PBG70DYNX02,"Greyboard Faux Book Storage Disney Nightmare Before Christmas Halloween town 8.5x12"" x 3.25",,Greybrd faux book Disny NBX Hallown town,HALLOWEEN,P,B2,G5,70,DY,NX,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,SP001,Y,PBG70DYNX01,"Greyboard Faux Book Storage Disney Nightmare Before Christmas Halloween Forever 10.25x12"" x 3.25""",,Greybrd faux book strg Disny NBX hallow,HALLOWEEN,P,B2,G5,70,DY,NX,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,SP001,Y,PBG70DYWP01,"Greyboard Faux Book Storage Disney Winnie the Pooh Halloween Boo? Pooh! 7x10"" x 2.5""",,Greybrd faux book Disny WtP Hallown,HALLOWEEN,P,B2,G5,70,DY,WP,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,CW001,Y,B3M61NBSH01,"Framed 3D lenticular NBCU Shrek Mirror Mirror 11.4x15.7""",,Framed 3D lentculr NBCU Shrek Mir,NONE,B,32,M2,61,NB,SH,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BRS21HDFRM02,"Setback Framed MDF w Linen Paper_Red farm with yellow tree 12x12"" x0.59""",,Setbck frmd mdf linen ppr red farm war,NONE,B,R1,S5,21,HD,FRM,,SG,8/13/2026,WebAPI,8/13/2026
EDGEHOME,EH001,Y,BRS21HDFDS02,"Setback Framed MDF w Linen Paper_Different pumpkin sizes with flowers 12x12"" x0.59""",,Setbck frmd mdf linn papr differnt pum,NONE,B,R1,S5,21,HD,FDS,,SG,8/13/2026,WebAPI,8/13/2026
