family_id,observed_normalized_wording,observed_display_wording,canonical_physical_product,construction_shape,treatment,status,alias_target_family_id,semantic_decision,matched_product_wording,all_item_count,post_change_item_count,post_change_mg01_distribution,post_change_mg01_mg02_distribution,post_change_mg01_mg02_mg03_distribution,reviewer,review_date,dictionary_version,singleton_exception
,,,,,,placeholder,,blank description,,244,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,0ba001dg,0BA001DG,,,,placeholder,,identifier only,,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-38A20ABA62,10 25 x 12 marvel hexagon canvas,"10.25"" x 12"" Marvel Hexagon Canvas",Canvas,Stretched,Shaped,alias,PT-38A20ABA62,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A9C2E8CEDD,10 high greyboard letter on metallic print dc letter a,"10"" High Greyboard letter on metallic print DC letter 'A'",Tabletop Monogram,Letter,Metallic,alias,PT-A9C2E8CEDD,Reviewed physical-product rule matched the full description,greyboard letter,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A9C2E8CEDD,10 high greyboard letter on metallic print dc letter c,"10"" High Greyboard letter on metallic print DC letter 'C'",Tabletop Monogram,Letter,Metallic,alias,PT-A9C2E8CEDD,Reviewed physical-product rule matched the full description,greyboard letter,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A9C2E8CEDD,10 high greyboard letter on metallic print dc letter j,"10"" High Greyboard letter on metallic print DC letter 'J'",Tabletop Monogram,Letter,Metallic,alias,PT-A9C2E8CEDD,Reviewed physical-product rule matched the full description,greyboard letter,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A9C2E8CEDD,10 high greyboard letter on metallic print dc letter k,"10"" High Greyboard letter on metallic print DC letter 'K'",Tabletop Monogram,Letter,Metallic,alias,PT-A9C2E8CEDD,Reviewed physical-product rule matched the full description,greyboard letter,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A9C2E8CEDD,10 high greyboard letter on metallic print dc letter m,"10"" High Greyboard letter on metallic print DC letter 'M'",Tabletop Monogram,Letter,Metallic,alias,PT-A9C2E8CEDD,Reviewed physical-product rule matched the full description,greyboard letter,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A9C2E8CEDD,10 high greyboard letter on metallic print dc letter s,"10"" High Greyboard letter on metallic print DC letter 'S'",Tabletop Monogram,Letter,Metallic,alias,PT-A9C2E8CEDD,Reviewed physical-product rule matched the full description,greyboard letter,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10 x 13 4 x 7 6 3 tier mesh file organizer batman,"10"" x 13.4"" x 7.6"" 3-tier mesh file organizer Batman",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10 x 13 4 x 7 6 3 tier mesh file organizer ministry of magic,"10"" x 13.4"" x 7.6"" 3-tier mesh file organizer Ministry of Magic",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10 x 13 5 x 7 6 3 tier mesh file organizer friends central perk,"10"" x 13.5"" x 7.6"" 3-tier mesh file organizer Friends Central Perk",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-2061580616,10 x 14 75 dc comics canvas in floating frame,"10"" x 14.75"" DC Comics Canvas in Floating Frame",Framed Canvas,Floater Frame,,alias,PT-2061580616,Reviewed physical-product rule matched the full description,canvas in floating frame,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-6AA8BDABD1,10 year anniversary shadowbox bank 6x6 x1 5 depth,"10 year anniversary Shadow Box Bank 6x6"" x1.5"" depth",Framed Shadowbox,Shadowbox,,alias,PT-6AA8BDABD1,Reviewed physical-product rule matched the full description,shadowbox,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
