property,licensedPropertyID,optionSourceID,character,characterID,brandPropertyID
"10 Things I Hate About You","191","1007","10 Things I Hate About You","716","715"
"101 Dalmatian Street","1159074616","1007","101 Dalmatian Street","1159074614","1159074615"
"101 Dalmatians","92","1007","One Hundred and One Dalmatians","290","72"
"101 Dalmatians - Individual Characters","93","1007","101 Dalmatians Animated","298","72"
"101 Dalmatians - Individual Characters","93","1007","Cruella & Non-roger Characters (101 Dal)","291","72"
"101 Dalmatians - Individual Characters","93","1007","Cruella & Roger (101 Dal)","292","72"
"101 Dalmatians - Individual Characters","93","1007","Cruella Alone (101 Dal)","293","72"
"101 Dalmatians - Individual Characters","93","1007","Cruella Animated - Post 11/95","299","72"
"101 Dalmatians - Individual Characters","93","1007","Cruella, Roger & Other Characters(101 Dal)","294","72"
"101 Dalmatians - Individual Characters","93","1007","Non Cruella & Non Roger Characters (101)","300","72"
"101 Dalmatians - Individual Characters","93","1007","Non Cruella Animated - Post 11/95","289","72"
"101 Dalmatians - Individual Characters","93","1007","Pongo","295","72"
"101 Dalmatians - Individual Characters","93","1007","Roger & Non Cruella Characters (101 Dal)","296","72"
"101 Dalmatians - Individual Characters","93","1007","Roger Alone","297","72"
"101 Dalmatians - Television Series","402","1007","101 Dalmatians - Television Series","1027","1000"
"101 Dalmatians II","94","1007","101 Dalmatians II","518031362","518031361"
"101 Dalmatians Live Action","190","1007","101 Dalmatians Live Action","420","142"
"101 Dalmatians Live Action","190","1007","101 Dalmatians Live Action - Suppressed","417","142"
"101 Dalmatians Live Action","190","1007","Anita Alone Or W/Non Third Party Characters","418","142"
"101 Dalmatians Live Action","190","1007","Cruella Alone Or W/ Non Third Party Character","419","142"
"101 Dalmatians Live Action","190","1007","Nanny Alone Or W/ Non Third Party Character","421","142"
"101 Dalmatians Live Action","190","1007","Panini Revenue","422","142"
"101 Dalmatians Live Action","190","1007","Roger Alone Or W/ Non Third Party Character","423","142"
"102 Dalmatians","192","1007","102 Dalmatians","653","652"
"20 000 Leagues Under The Sea","193","1007","20 000 Leagues Under The Sea","409","134"
"20thCFS LAMP - Kingdom of the Planet of the Apes","1159147813","1007","20thCFS LAMP - Kingdom of the Planet of the Apes","1159147412","1159147829"
"21CF Home","1159136862","1007","21CF Home","1159136854","1159136833"
"21CF Kitchen","1159136859","1007","21CF Kitchen","1159136850","1159136857"
"24","1159097305","1007","24","1159096852","1159097117"
"28 Days Later","1159097301","1007","28 Days Later","1159096863","1159097115"
"3 Caballeros","95","1007","The Three Caballeros","258","57"
"88 Keys","194","1007","88 Keys","353","96"
"9 to 5","1159103989","1007","9 to 5","1159104009","1159104949"
"9 to 5","1159103989","1007","9 to 5 - D Parton (Doralee)","1159109270","1159104949"
"9 to 5","1159103989","1007","9 to 5 - J Fonda (Judy)","1159109217","1159104949"
"9 to 5","1159103989","1007","9 to 5 - L Tomlin (Violet)","1159109269","1159104949"
"A Bug's Life","176","1007","A Bug`s Life","336","84"
"A Christmas Carol","573","1007","A Christmas Carol - General (No Name, Likeness or Voice Royalty)","518032412","518032411"
"A Christmas Carol","573","1007","A Christmas Carol - J Carrey (Scrooge / Ghosts)","518032413","518032411"
"A Day With Wilbur Robinson","96","1007","A Day With Wilbur Robinson","518031861","518031860"
"A True Life Adventure Series","59","1007","A True Life Adventure Series","518031630","518031629"
"A.N.T. Farm","700","1007","A.N.T. Farm - General (No Name, Likeness Or Voice Royalty)","518033818","518033817"
"ABC News","403","1007","ABC News","518031935","518031934"
"ABC Sports","404","1007","ABC Sports","1028","1001"
"ABCD 2","1064","1007","ABCD 2 - General (no Name, Likeness or Voice Royalty)","518035460","518035459"
"AD Astra (2019)","1159097302","1007","AD Astra (2019)","1159096859","1159097116"
"AVP","1159097268","1007","AVP","1159096713","1159096968"
"AVP: Survival of the Fittest (Requiem)","1159097303","1007","AVP: Survival of the Fittest (Requiem)","1159096721","1159097028"
"Aaron Stone","563","1007","Aaron Stone","518032374","518032373"
"Aaron Stone","563","1007","Aaron Stone - D Lambert (Jason)","518032377","518032373"
"Aaron Stone","563","1007","Aaron Stone - J.P. Manoux (Stan)","518032378","518032373"
"Aaron Stone","563","1007","Aaron Stone - K Blatz (Aaron)","518032375","518032373"
"Aaron Stone","563","1007","Aaron Stone - T Gunadi (Emma)","518032376","518032373"
"Abadazad","344","1007","Abadazad","518031883","518031882"
"Absent Minded Professor","195","1007","Absent Minded Professor","518031820","518031819"
"Abyss, The","1159097299","1007","Abyss, The","1159096871","1159097150"
"Accrual Property","336","1007","Accrual Property","518031632","518031631"
"Adventures In Babysitting","196","1007","Adventures In Babysitting","354","97"
"Adventures Of Ichabod And Mr. Toad","97","1007","Legend Of Sleepy Hollow","260","59"
"Adventures Of Ichabod And Mr. Toad","97","1007","The Adventures of Ichabod and Mr Toad","262","59"
"Adventures Of Ichabod And Mr. Toad","97","1007","Toad Of Toad Hall","261","59"
"Adventures in Babysitting (2016)","1123","1007","Adventures in Babysitting (2016)","518036033","518036032"
"Aida","337","1007","Aida","518031360","518031359"
"Airheads","1159097304","1007","Airheads","1159096862","1159097149"
"Aladdin","98","1007","Aladdin","332","82"
"Aladdin (2019)","1159076691","1007","Aladdin (2019) - General (No Name, Likeness Or Voice Royalty)","1159076551","1159076671"
"Aladdin (2019)","1159076691","1007","Aladdin (2019) - W Smith (Genie)","1159087111","1159076671"
"Aladdin - TV Series","406","1007","Aladdin TV Series","333","82"
"Alex & Co.","1080","1007","Alex & Co. - General (No Name, Likeness or Voice Royalty)","518035532","518035531"
"Alias","408","1007","Alias","518031550","518031549"
"Alias","408","1007","Alias - Anders/Cooper/Dungey/Garber/Garner/Lumbly/Rifkin/Vartan/Weisman","518031603","518031549"
"Alias","408","1007","Alias - Cooper/Dungey/Garber/Garner/Lumbly/Rifkin/Vartan/Weisman","518031604","518031549"
"Alias","408","1007","Alias - J.Garner/M.Vartan","518031665","518031549"
"Alias","408","1007","Alias - Jennifer Garner","518031602","518031549"
"Alice In Wonderland","99","1007","Alice In Wonderland","259","58"
"Alice Pleasance","1159073774","1007","Alice Pleasance","1159073811","1159073773"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - A Hathaway (Mirana/White Queen)","518035308","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - Alice MadHatter RedQueen","518035585","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - Alice MadHatter RedQueen WhiteQueen Time","518035310","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - General (No Name Likeness Voice Royalty)","518035231","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - H Carter (Iracebeth/Red Queen)","518035305","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - Heart-Shaped Castle","518035746","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - J Depp (Mad Hatter)","518035307","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - M Wasikowska (Alice)","518035309","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - MadHatter and RedQueen","518035586","518035230"
"Alice Through the Looking Glass","1048","1007","Alice Through the Looking Glass - S Cohen (Time)","518035306","518035230"
"Alice Through the Looking Glass","1048","1007","Colleen Atwood - Alice Through The Looking Glass - General","518035708","518035230"
"Alice Through the Looking Glass","1048","1007","Colleen Atwood - Alice Through The Looking Glass - H Carter (Red Queen)","518035711","518035230"
"Alice Through the Looking Glass","1048","1007","Colleen Atwood - Alice Through The Looking Glass - J Depp (Mad Hatter)","518035709","518035230"
"Alice Through the Looking Glass","1048","1007","Colleen Atwood - Alice Through The Looking Glass - Mia (Alice)","518035710","518035230"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - A Hathaway (White Queen)","518032559","518032447"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - C Glover (Ilosovic Stayne)","518032558","518032447"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - General (No Talent Royalty)","518032448","518032447"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - H Bonham Carter (Red Queen)","518032557","518032447"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - J Depp (Mad Hatter)","518032449","518032447"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - J Depp with other talent","518032562","518032447"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - M Lucas (Tweedle-Dee and Tweedle-Dum)","518032560","518032447"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - M Wasikoska (Alice)","518032561","518032447"
"Alice in Wonderland (Live Action)","577","1007","Alice in Wonderland (Live Action) - Talent grouping without J Depp","518032563","518032447"
