fixture_id,input,expected,behavior
empty,,,"empty input"
ascii_case,BATMAN,batman,"case folding"
camel_case,SpiderMan,spider man,"lowercase-to-uppercase boundary"
leading_trailing_space,"  Batman  ",batman,"trim"
multi_space,"Batman   Returns",batman returns,"multi-space collapse"
tab_newline,"Batman	Returns
Core",batman returns core,"all whitespace collapse"
ampersand,Parks & Rec,parks rec,"ampersand is a separator"
straight_apostrophe,Ferris Bueller's Day Off,ferris buellers day off,"straight apostrophe removed"
curly_apostrophe,Gabby’s Dollhouse,gabbys dollhouse,"curly apostrophe removed"
ascii_hyphen,TOEI - ONE PIECE,toei one piece,"ASCII hyphen separator"
en_dash,Batman–Robin,batman robin,"en dash separator"
em_dash,Batman—Robin,batman robin,"em dash separator"
underscore,Marvel_Style_Guide,marvel style guide,"underscore separator"
slashes,"Marvel/Disney\WB",marvel disney wb,"slash and backslash separators"
punctuation,"The Mummy (1999)!",the mummy 1999,"remaining punctuation separator"
multi_punctuation,Batman...Returns,batman returns,"punctuation run collapse"
nfkc_fullwidth,ＭＡＲＶＥＬ,marvel,"NFKC full-width conversion"
nfkc_ligature,Ofﬁce,office,"NFKC ligature expansion"
accented,Café,caf,"non-ASCII letter removed, not transliterated"
punctuation_only,"___---!!!",,"punctuation-only becomes empty"
digit_boundary,Phase6Ready,phase6 ready,"digit-to-uppercase boundary"
