observation_key,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,candidate_property_id,candidate_property_name,candidate_property_code,candidate_property_status,match_type,shared_token_score,automatic_mapping_allowed,coldlion_exact_evidence,designflow_exact_evidence
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars classics guide product development portfolio,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars classics guide product development portfolio,02de0fab-dd7e-4082-ac99-659c46c77296,STAR WARS DROIDS GROUP,SD,active,shared_token_review_evidence,0.285714,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars classics guide product development portfolio,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars classics guide product development portfolio,9243cc30-1292-46a8-a331-6a2a719bf65e,STAR WARS GROUP,SW,active,shared_token_review_evidence,0.285714,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars classics guide product development portfolio,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars classics guide product development portfolio,d8cc13f9-0d06-4a21-a789-88015d5ec15a,STAR WARS VEHICLES GROUP,SV,active,shared_token_review_evidence,0.285714,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars classics guide product development portfolio,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars classics guide product development portfolio,1744fc41-cbc6-46ab-83f2-17c6c269548c,DEATH STAR,DS,active,shared_token_review_evidence,0.142857,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic book cover style guide,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic book cover style guide,02de0fab-dd7e-4082-ac99-659c46c77296,STAR WARS DROIDS GROUP,SD,active,shared_token_review_evidence,0.285714,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic book cover style guide,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic book cover style guide,9243cc30-1292-46a8-a331-6a2a719bf65e,STAR WARS GROUP,SW,active,shared_token_review_evidence,0.285714,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic book cover style guide,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic book cover style guide,d8cc13f9-0d06-4a21-a789-88015d5ec15a,STAR WARS VEHICLES GROUP,SV,active,shared_token_review_evidence,0.285714,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic book cover style guide,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic book cover style guide,1744fc41-cbc6-46ab-83f2-17c6c269548c,DEATH STAR,DS,active,shared_token_review_evidence,0.142857,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic crush,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic crush,02de0fab-dd7e-4082-ac99-659c46c77296,STAR WARS DROIDS GROUP,SD,active,shared_token_review_evidence,0.500000,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic crush,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic crush,9243cc30-1292-46a8-a331-6a2a719bf65e,STAR WARS GROUP,SW,active,shared_token_review_evidence,0.500000,false,false,false
