observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_licensor,normalized_observed_value,raw_licensor_variants,raw_property_variants,active_file_count,representative_examples,current_global_property_ids,current_global_property_names,scoped_exact_property_ids,scoped_exact_property_names,existing_alias_result,candidate_property_ids,coldlion_exact_evidence_count,designflow_exact_evidence_count,structural_folder_hint,current_accepted_relationship_count,current_accepted_file_count,current_global_would_resolve,scoped_would_resolve,currently_tagged_at_risk,licensor_alias,cross_parent_flag,ambiguity_flag,proposal_eligible,proposal_exclusion_reason
licensor_unresolved|seafile ignore txt|[blank],licensor_unresolved,,,seafile ignore txt,,"[[""seafile-ignore.txt"",1]]","[["""",1]]",1,"[{""path"":""[redacted:8305aeb2841a]/depth-1/[file].txt"",""filename"":""[redacted:8305aeb2841a].txt""}]",[],[],[],[],none_property_aliases_frozen_empty,[],0,0,false,0,0,false,false,false,,false,false,false,licensor_unresolved
e90c3124-e66d-404f-b777-0dae9a5ee4f3|[blank],resolved,e90c3124-e66d-404f-b777-0dae9a5ee4f3,AARDMAN ANIMATIONS,aardman animations,,"[[""Aardman Animations"",1]]","[["""",1]]",1,"[{""path"":""[redacted:7488ffd16140]/depth-2/[file].pdf"",""filename"":""[redacted:893c7ce51395].pdf""}]",[],[],[],[],none_property_aliases_frozen_empty,[],0,0,false,0,0,false,false,false,,false,false,true,
e90c3124-e66d-404f-b777-0dae9a5ee4f3|shaun the sheep,resolved,e90c3124-e66d-404f-b777-0dae9a5ee4f3,AARDMAN ANIMATIONS,aardman animations,shaun the sheep,"[[""Aardman Animations"",2657]]","[[""Shaun the Sheep"",2657]]",2657,"[{""path"":""[redacted:afe8dc6cd34e]/depth-5/[file].pdf"",""filename"":""[redacted:c0f4f6a59741].pdf""},{""path"":""[redacted:c6e66568b25b]/depth-7/[file].jpg"",""filename"":""[redacted:bc8bd1d43a18].jpg""},{""path"":""[redacted:df7ea649a9cc]/depth-6/[file].ase"",""filename"":""[redacted:c44ff356e9cb].ase""}]","[""5fa35966-05b3-4096-8098-86651031e9de""]","[""SHAUN THE SHEEP""]","[""5fa35966-05b3-4096-8098-86651031e9de""]","[""SHAUN THE SHEEP""]",none_property_aliases_frozen_empty,"[""5fa35966-05b3-4096-8098-86651031e9de""]",2,2,false,2705,2657,true,true,false,,false,false,true,
e90c3124-e66d-404f-b777-0dae9a5ee4f3|wallace and gromit,resolved,e90c3124-e66d-404f-b777-0dae9a5ee4f3,AARDMAN ANIMATIONS,aardman animations,wallace and gromit,"[[""Aardman Animations"",1427]]","[[""Wallace and Gromit"",1427]]",1427,"[{""path"":""[redacted:9c5a509653fa]/depth-7/[file].jpg"",""filename"":""[redacted:ad49f7b0be85].jpg""},{""path"":""[redacted:1113d6952e9b]/depth-6/[file].jpg"",""filename"":""[redacted:612a8b572fed].jpg""},{""path"":""[redacted:2913117a54ec]/depth-6/[file].ai"",""filename"":""[redacted:84d3df01ee13].ai""}]",[],[],[],[],none_property_aliases_frozen_empty,"[""44969e30-68da-4719-b9ca-66f83d59f337""]",0,0,false,4,4,false,false,false,,false,false,true,
41b43c61-aaea-4f9d-b84c-abfb04de59f1|budweiser,resolved,41b43c61-aaea-4f9d-b84c-abfb04de59f1,Anheuser Busch,anheuser busch,budweiser,"[[""Anheuser Busch"",131]]","[[""Budweiser"",131]]",131,"[{""path"":""[redacted:30bd39c0723e]/depth-4/[file].psd"",""filename"":""[redacted:de54391e5321].psd""},{""path"":""[redacted:8041ee3a3329]/depth-4/[file].ai"",""filename"":""[redacted:0f0ac2ca39cb].ai""},{""path"":""[redacted:57baf4f2f19c]/depth-4/[file].eps"",""filename"":""[redacted:5465ff05e39a].eps""}]",[],[],[],[],none_property_aliases_frozen_empty,[],0,0,false,0,0,false,false,false,,false,false,true,
41b43c61-aaea-4f9d-b84c-abfb04de59f1|busch,resolved,41b43c61-aaea-4f9d-b84c-abfb04de59f1,Anheuser Busch,anheuser busch,busch,"[[""Anheuser Busch"",40]]","[[""Busch"",40]]",40,"[{""path"":""[redacted:4e6399a6f487]/depth-3/[file].png"",""filename"":""[redacted:74fe23256971].png""},{""path"":""[redacted:9cb2efa4905e]/depth-3/[file].jpg"",""filename"":""[redacted:bf3291eea7fc].jpg""},{""path"":""[redacted:36707991b1d9]/depth-3/[file].jpg"",""filename"":""[redacted:22c2a47759f6].jpg""}]",[],[],[],[],none_property_aliases_frozen_empty,[],0,0,false,0,0,false,false,false,,false,false,true,
41b43c61-aaea-4f9d-b84c-abfb04de59f1|michelob,resolved,41b43c61-aaea-4f9d-b84c-abfb04de59f1,Anheuser Busch,anheuser busch,michelob,"[[""Anheuser Busch"",4]]","[[""Michelob"",4]]",4,"[{""path"":""[redacted:7f337e3e871b]/depth-3/[file].png"",""filename"":""[redacted:cd19939e28b8].png""},{""path"":""[redacted:64521e3e69cc]/depth-3/[file].png"",""filename"":""[redacted:c4f6ac927a8d].png""},{""path"":""[redacted:1b8ad07a50fe]/depth-3/[file].png"",""filename"":""[redacted:0533de768119].png""}]",[],[],[],[],none_property_aliases_frozen_empty,[],0,0,false,0,0,false,false,false,,false,false,true,
41b43c61-aaea-4f9d-b84c-abfb04de59f1|michelob ultra,resolved,41b43c61-aaea-4f9d-b84c-abfb04de59f1,Anheuser Busch,anheuser busch,michelob ultra,"[[""Anheuser Busch"",12]]","[[""Michelob Ultra"",12]]",12,"[{""path"":""[redacted:88c07f3ff33b]/depth-3/[file].jpg"",""filename"":""[redacted:5bbc11468306].jpg""},{""path"":""[redacted:ed03d32f842a]/depth-3/[file].jpg"",""filename"":""[redacted:ecf1f309ccb2].jpg""},{""path"":""[redacted:0a9201c4f7d6]/depth-3/[file].png"",""filename"":""[redacted:ca87dc15ca74].png""}]",[],[],[],[],none_property_aliases_frozen_empty,[],0,0,false,0,0,false,false,false,,false,false,true,
c70e095c-2baf-404e-a2a3-c198a259a3e6|[blank],resolved,c70e095c-2baf-404e-a2a3-c198a259a3e6,COCA COLA,coca cola,,"[[""Coca Cola"",12]]","[["""",12]]",12,"[{""path"":""[redacted:cb3289a89ee6]/depth-2/[file].ai"",""filename"":""[redacted:b53f8eba2dfa].ai""},{""path"":""[redacted:197eec2bd089]/depth-2/[file].ai"",""filename"":""[redacted:6926cc0efcd5].ai""},{""path"":""[redacted:7473d4e5fd69]/depth-2/[file].ai"",""filename"":""[redacted:06939dfe403c].ai""}]",[],[],[],[],none_property_aliases_frozen_empty,[],0,0,false,0,0,false,false,false,,false,false,true,
c70e095c-2baf-404e-a2a3-c198a259a3e6|26 ss coca cola resort,resolved,c70e095c-2baf-404e-a2a3-c198a259a3e6,COCA COLA,coca cola,26 ss coca cola resort,"[[""Coca Cola"",4]]","[[""26 SS Coca-Cola Resort"",4]]",4,"[{""path"":""[redacted:5e06a3e3f324]/depth-3/[file].ai"",""filename"":""[redacted:72c0a8d69b46].ai""},{""path"":""[redacted:02ce3d564bb7]/depth-3/[file].ai"",""filename"":""[redacted:3dff12daebf9].ai""},{""path"":""[redacted:8749827e4875]/depth-3/[file].pdf"",""filename"":""[redacted:b6a7bbe711c8].pdf""}]",[],[],[],[],none_property_aliases_frozen_empty,"[""122a01c7-010f-4eac-bc5c-1e70a451b8ae"",""c8ee8ddc-25c2-4835-a3dd-fc5fac4c962b""]",0,0,false,0,0,false,false,false,,false,false,true,
c70e095c-2baf-404e-a2a3-c198a259a3e6|27 ss seasonal broadcast,resolved,c70e095c-2baf-404e-a2a3-c198a259a3e6,COCA COLA,coca cola,27 ss seasonal broadcast,"[[""Coca Cola"",9]]","[[""27 SS Seasonal Broadcast"",9]]",9,"[{""path"":""[redacted:21a44e966e0f]/depth-5/[file].ai"",""filename"":""[redacted:c695f60402bc].ai""},{""path"":""[redacted:a95b5d229407]/depth-5/[file].pdf"",""filename"":""[redacted:f8b1c3093674].pdf""},{""path"":""[redacted:3c7a52750194]/depth-5/[file].pdf"",""filename"":""[redacted:acf39a77e050].pdf""}]",[],[],[],[],none_property_aliases_frozen_empty,[],0,0,false,0,0,false,false,false,,false,false,true,
