observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_licensor,normalized_observed_value,active_file_count,raw_property_variants,structural_folder_hint,current_global_would_resolve,currently_tagged_at_risk,proposal_eligible,proposal_exclusion_reason
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|mickey,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,mickey,16835,"[[""Mickey"",16835]]",false,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|princess,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,princess,16603,"[[""Princess"",16603]]",false,false,false,true,
88313675-0089-4072-87be-5b989df8a3fc|dc,resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,wb,dc,14164,"[[""DC"",14164]]",false,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|holiday,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,holiday,10293,"[[""_HOLIDAY"",10293]]",false,false,false,true,
f39fe07e-e438-46b2-9e17-fb711358e790|style guide,resolved,f39fe07e-e438-46b2-9e17-fb711358e790,TOEI - ONE PIECE,one piece,style guide,8370,"[[""Style Guide"",8370]]",true,false,false,true,
88313675-0089-4072-87be-5b989df8a3fc|harry potter,resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,wb,harry potter,6961,"[[""Harry Potter"",6961]]",false,true,true,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|stitch,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,stitch,5376,"[[""Stitch"",5376]]",false,false,false,true,
f143c083-2dfd-48b9-ac9b-43d2290a4e4c|style guide opportunity,resolved,f143c083-2dfd-48b9-ac9b-43d2290a4e4c,MARVEL,marvel style guide,style guide opportunity,5327,"[[""Style Guide - Opportunity"",5327]]",true,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|disney classics,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,disney classics,5124,"[[""Disney Classics"",5124]]",false,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|multi property,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,multi property,2870,"[[""Multi-Property"",2870]]",false,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|disney channel,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,disney channel,2865,"[[""Disney Channel"",2865]]",false,false,false,true,
e5f1686c-700c-42f6-bbc6-98aaa9ce1634|sonic,resolved,e5f1686c-700c-42f6-bbc6-98aaa9ce1634,SEGA,sega,sonic,2686,"[[""Sonic"",2686]]",false,false,false,true,
88313675-0089-4072-87be-5b989df8a3fc|tom and jerry,resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,wb,tom and jerry,2552,"[[""Tom and Jerry"",2552]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|office,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,office,2531,"[[""Office"",2531]]",false,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|nightmare before xmas,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,nightmare before xmas,2469,"[[""Nightmare Before Xmas"",2469]]",false,false,false,true,
88313675-0089-4072-87be-5b989df8a3fc|power puff girls,resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,wb,power puff girls,2413,"[[""PowerPuff Girls"",2413]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|jurassic world franchise,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,jurassic world franchise,2091,"[[""Jurassic World Franchise"",2091]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|disney shows,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,disney shows,2049,"[[""Disney+ Shows"",2049]]",false,false,false,true,
f143c083-2dfd-48b9-ac9b-43d2290a4e4c|marvel universe publishing art archive,resolved,f143c083-2dfd-48b9-ac9b-43d2290a4e4c,MARVEL,marvel style guide,marvel universe publishing art archive,2048,"[[""Marvel Universe Publishing Art Archive"",2048]]",true,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|pixar,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,pixar,2018,"[[""Pixar"",2018]]",false,false,false,true,
f143c083-2dfd-48b9-ac9b-43d2290a4e4c|style guide evergreen priorities,resolved,f143c083-2dfd-48b9-ac9b-43d2290a4e4c,MARVEL,marvel style guide,style guide evergreen priorities,2015,"[[""Style Guide - Evergreen Priorities"",2015]]",true,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|felix the cat,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,felix the cat,1998,"[[""Felix the Cat"",1998]]",false,false,false,true,
88313675-0089-4072-87be-5b989df8a3fc|rick and morty,resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,wb,rick and morty,1940,"[[""Rick and Morty"",1940]]",false,false,false,true,
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|packaging,resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,disney,packaging,1937,"[[""_Packaging"",1937]]",false,false,false,true,
