observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,active_file_count,proposal_order,proposed_disposition,target_property_id,target_property_code,target_property_name,target_property_parent_licensor_id,rationale_code,create_candidate_code,create_candidate_name,classification_automatic,owner_activation_required,coldlion_phase5_overlap,coldlion_phase5_divisions,proposed_parent_evidence,current_accepted_relationship_count,currently_tagged_at_risk,cross_parent_proposal,fuzzy_similarity_used_for_selection,proposal_effective
14f2902d-42de-4820-83c5-e4f359a6e0d6|[blank],resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,,1,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev line art style guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev line art style guide,414,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,91,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev saga poster style guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev saga poster style guide,137,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic book cover style guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic book cover style guide,53,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|[blank],resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,,15,5,non_property,,,,,blank_property_observation,,,false,true,false,,,2,false,false,false,false
1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb|[blank],resolved,1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb,SESAME STREET,,4,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb|baby art styleguides,resolved,1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb,SESAME STREET,baby art styleguides,294,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb|vintage and retro collections,resolved,1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb,SESAME STREET,vintage and retro collections,216,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
1c47d63b-bf79-42ff-876e-c5263f323418|[blank],resolved,1c47d63b-bf79-42ff-876e-c5263f323418,NFL,,32,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
4dba7d87-54ed-4dee-894b-570326953d92|[blank],resolved,4dba7d87-54ed-4dee-894b-570326953d92,STRAWBERRY SHORTCAKE,,4,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
5f951f5e-aaee-4add-bb51-fea888951405|[blank],resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,,3,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
5f951f5e-aaee-4add-bb51-fea888951405|forrest gump core style guide,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,forrest gump core style guide,15,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
7575d1db-dbee-4336-84a9-aa378f05f105|[blank],resolved,7575d1db-dbee-4336-84a9-aa378f05f105,WWE,,8,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
7575d1db-dbee-4336-84a9-aa378f05f105|key artwork,resolved,7575d1db-dbee-4336-84a9-aa378f05f105,WWE,key artwork,13,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
7d141a6f-e229-46a2-b3f5-0ba0c97dd820|[blank],resolved,7d141a6f-e229-46a2-b3f5-0ba0c97dd820,DISNEY,,3,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
88313675-0089-4072-87be-5b989df8a3fc|[blank],resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,,14,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
a06658c6-7fed-40ac-84e2-7f4802cdd086|[blank],resolved,a06658c6-7fed-40ac-84e2-7f4802cdd086,Miller Coors,,1,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
a06658c6-7fed-40ac-84e2-7f4802cdd086|miller lite assets,resolved,a06658c6-7fed-40ac-84e2-7f4802cdd086,Miller Coors,miller lite assets,33,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
afff41a6-df31-4a9a-aea5-b919d1daff54|[blank],resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,,13,5,non_property,,,,,blank_property_observation,,,false,true,false,,,14,false,false,false,false
afff41a6-df31-4a9a-aea5-b919d1daff54|75th anniversary comfort and security style guide,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,75th anniversary comfort and security style guide,46,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,46,false,false,false,false
afff41a6-df31-4a9a-aea5-b919d1daff54|75th anniversary persistence style guide,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,75th anniversary persistence style guide,25,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,25,false,false,false,false
afff41a6-df31-4a9a-aea5-b919d1daff54|road trippin style guide,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,road trippin style guide,9,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,9,false,false,false,false
afff41a6-df31-4a9a-aea5-b919d1daff54|rock the fest style guide,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,rock the fest style guide,11,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,11,false,false,false,false
c70e095c-2baf-404e-a2a3-c198a259a3e6|[blank],resolved,c70e095c-2baf-404e-a2a3-c198a259a3e6,COCA COLA,,12,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
