observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,active_file_count,proposal_order,proposed_disposition,target_property_id,target_property_code,target_property_name,target_property_parent_licensor_id,rationale_code,create_candidate_code,create_candidate_name,classification_automatic,owner_activation_required,coldlion_phase5_overlap,coldlion_phase5_divisions,proposed_parent_evidence,current_accepted_relationship_count,currently_tagged_at_risk,cross_parent_proposal,fuzzy_similarity_used_for_selection,proposal_effective
14f2902d-42de-4820-83c5-e4f359a6e0d6|2016,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2016,567,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,39,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2017,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2017,571,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,112,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2018,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2018,1326,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,332,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2019,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2019,896,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,74,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2020,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2020,831,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,49,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2021,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2021,342,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,2,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2022,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2022,113,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2023,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2023,373,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2024,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2024,114,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2025,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2025,210,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2026,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2026,208,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|creative rollouts,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,creative rollouts,9,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|disney shows,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,disney shows,2049,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,1002,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev 3 d toolkit evergreen guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev 3 d toolkit evergreen guide,289,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,168,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars classics guide product development portfolio,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars classics guide product development portfolio,33,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic crush,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic crush,67,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars custom command,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars custom command,63,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode ii attack of the clones,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode ii attack of the clones,1,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode iii revenge of the sith,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode iii revenge of the sith,8,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode iv a new hope portfolio,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode iv a new hope portfolio,12,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode ix rise of skywalker,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode ix rise of skywalker,5,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode v the empire strikes back portfolio,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode v the empire strikes back portfolio,222,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,18,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode vi return of the jedi,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode vi return of the jedi,5,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode vii the force awakens,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode vii the force awakens,6,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev terrain,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev terrain,60,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|holiday,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,holiday,791,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,22,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|mandalorian and grogu movie,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,mandalorian and grogu movie,106,8,deferred,,,,,single_similarity_hint_is_not_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|old,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,old,156,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,4,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|packaging,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,packaging,564,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,23,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|posters,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,posters,86,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
