observation_key,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,active_file_count,disposition,target_property_id,target_property_code,target_property_name,target_property_parent_licensor_id,reason,parent_evidence,evidence_reviewer,evidence_reviewed_at,owner_decision_status,owner_decision_reviewer,owner_decision_timestamp
154bf54b-6f7d-4999-b0fb-c2828b12b56a|big lebowski,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,big lebowski,155,exact_existing,8140b36b-82d2-4289-b56f-d2cdfbcd1905,BK,BIG LEBOWSKI,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|chucky,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,chucky,281,exact_existing,41fef4a7-4cd8-43ab-949f-fb19747fd328,CK,CHUCKY,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|curious george,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,curious george,831,exact_existing,6bb79348-9704-4fba-94e5-48bdef01c3ad,CG,CURIOUS GEORGE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|dazed and confused,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,dazed and confused,53,exact_existing,3cd6ee16-8828-49aa-ab13-ca926d156d5c,DZ,DAZED AND CONFUSED,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|et,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,et,365,exact_existing,bb6b117f-dbf7-4261-9680-84bff7e214bc,ET,E.T. THE EXTRATERRESTRIAL,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property code under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|field of dreams,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,field of dreams,19,exact_existing,f98b536b-8227-4c40-96eb-20be20019221,FD,FIELD OF DREAMS,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|gabbys dollhouse,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,gabbys dollhouse,1902,exact_existing,dabdc9d7-1556-4d96-abbd-7c6036bc8f2a,GD,GABBY'S DOLLHOUSE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|half baked,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,half baked,67,exact_existing,7164dc50-4c3a-42a1-90a1-9f9af1e8c0de,HB,HALF BAKED,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|halloween ii,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,halloween ii,176,exact_existing,132676c7-6d22-4f76-a8cb-be1928e43979,HN,HALLOWEEN II,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
154bf54b-6f7d-4999-b0fb-c2828b12b56a|happy gilmore,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,happy gilmore,99,exact_existing,9359cb30-a6b7-47ce-8915-7ada4cc8ad21,HG,HAPPY GILMORE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,Observed value exactly matches this canonical Property name under the resolved Licensor.,PASS: resolved Licensor 154bf54b-6f7d-4999-b0fb-c2828b12b56a equals target Property parent 154bf54b-6f7d-4999-b0fb-c2828b12b56a; frozen PSG-2 evidence.,Codex PSG-4 evidence review,2026-07-28T16:35:58-04:00,pending_explicit_psg4_approval,Albert Hazan,recorded_from_explicit_approval_message
