licensor,style_guide,characters,licensing_answer,outcome,final_mg06_code
,Adventure Time: Animated Series,97,never designed,NEVER_DESIGNED,
,Over the Garden Wall: Animated Series,1,never designed,NEVER_DESIGNED,
,Regular Show: Animated Series,1,never designed,NEVER_DESIGNED,
,Smiling Friends: Animated Series,7,FN,EXISTING_MG06,FN
,Dumbo,1,CP,EXISTING_MG06,CP
,Dumbo (2019),10,never designed,NEVER_DESIGNED,
,Inside Out 2,1,never designed,NEVER_DESIGNED,
,A Bug's Life,1,BU,EXISTING_MG06,BU
,Atlantis,1,CP,EXISTING_MG06,CP
,Big Hero 6 TV,1,BK,EXISTING_MG06,BK
,Camp Rock,20,never designed,NEVER_DESIGNED,
,Camp Rock 2,17,never designed,NEVER_DESIGNED,
,Cruella (Live Action),8,never designed,NEVER_DESIGNED,
,Descendants 3,12,never designed,NEVER_DESIGNED,
,Disney Babies,14,never designed,NEVER_DESIGNED,
,Disney Junior Ariel,1,never designed,NEVER_DESIGNED,
,Disney Junior Super Kitties,1,never designed,NEVER_DESIGNED,
,Disney Princess,2,PN,EXISTING_MG06,PN
,Disney Stitch Franchise,10,LS,EXISTING_MG06,LS
,Disney Zombies,10,never designed,NEVER_DESIGNED,
,Disney Zombies 2,9,never designed,NEVER_DESIGNED,
,Disney Zombies 3,1,never designed,NEVER_DESIGNED,
,Doc McStuffins,1,never designed,NEVER_DESIGNED,
,Ducktales,16,never designed,NEVER_DESIGNED,
,Elio,1,never designed,NEVER_DESIGNED,
,Emperor's New Groove,1,never designed,NEVER_DESIGNED,
,Fancy Nancy,1,never designed,NEVER_DESIGNED,
,Finding Dory,1,never designed,NEVER_DESIGNED,
,Finding Nemo,1,never designed,NEVER_DESIGNED,
,Firebuds,1,never designed,NEVER_DESIGNED,
,Goofy Movie,1,never designed,NEVER_DESIGNED,
,Haunted Mansion (Theme Park),1,never designed,NEVER_DESIGNED,
,Hunchback of Notre Dame,1,never designed,NEVER_DESIGNED,
,"Incredibles, The",2,never designed,NEVER_DESIGNED,
,Kingdom Hearts 3.0,1,never designed,NEVER_DESIGNED,
,Lady And The Tramp,1,CP,EXISTING_MG06,CP
,Lightyear,1,never designed,NEVER_DESIGNED,
,"Little Mermaid, The (Live Action)",2,never designed,NEVER_DESIGNED,
,Minnie,3,MM,EXISTING_MG06,MM
,Moana (Live-Action),1,never designed,NEVER_DESIGNED,
,Moana 2,1,PN,EXISTING_MG06,PN
,MS Disney Plus TV Shows - No Likeness,179,never designed,NEVER_DESIGNED,
,MS Disney Plus TV Shows - With Likeness,37,never designed,NEVER_DESIGNED,
,Muppet Babies (2018),1,MU,EXISTING_MG06,MU
,Oswald The Lucky Rabbit,1,never designed,NEVER_DESIGNED,
,Pete's Dragon (2016),1,never designed,NEVER_DESIGNED,
,Pete's Dragon (Classic),2,never designed,NEVER_DESIGNED,
,Pinocchio,3,CP,EXISTING_MG06,CP
,Pirates of the Caribbean 2: Dead Man's Chest,42,never designed,NEVER_DESIGNED,
,Pirates of the Caribbean 3: At Worlds End,53,never designed,NEVER_DESIGNED,
,Pirates of the Caribbean 4: On Stranger Tides,22,never designed,NEVER_DESIGNED,
,Pirates of the Caribbean 5: Dead Men Tell No Tales,14,never designed,NEVER_DESIGNED,
,Pirates of the Caribbean: Curse of the Black Pearl,18,never designed,NEVER_DESIGNED,
,Pixar Collection,59,never designed,NEVER_DESIGNED,
,Pixar Shorts - Luxo Jr,1,never designed,NEVER_DESIGNED,
,Pixar Studios Logo,1,never designed,NEVER_DESIGNED,
,Pocahontas,1,never designed,NEVER_DESIGNED,
,Preschool CG Mickey (& Friends),2,MM,EXISTING_MG06,MM
,Preschool CG Minnie (& Friends),4,MM,EXISTING_MG06,MM
,Puppy Dog Pals,1,never designed,NEVER_DESIGNED,
,Pupstruction,2,never designed,NEVER_DESIGNED,
,Ratatouille,1,CP,EXISTING_MG06,CP
,Raya and the Last Dragon,1,never designed,NEVER_DESIGNED,
,Robin Hood,1,CP,EXISTING_MG06,CP
,Soul,1,never designed,NEVER_DESIGNED,
,Standard Characters,1,MM,EXISTING_MG06,MM
