licensor,style_guide,characters,decision_status,suggested_existing_mg06_code,suggested_existing_mg06_desc,decision_basis,folder_property,folder_leaf_match,folder_confidence,fuzzy_mg06_code,fuzzy_mg06_desc,fuzzy_confidence,final_mg06_code
WB,Adventure Time: Animated Series,97,NEEDS_REVIEW,,,,,,,never designed,,,
WB,Over the Garden Wall: Animated Series,1,NEEDS_REVIEW,,,,,,,never designed,,,
WB,Regular Show: Animated Series,1,NEEDS_REVIEW,,,,,,,never designed,,,
WB,Smiling Friends: Animated Series,7,NEEDS_REVIEW,,,,Friends,,60%,FN,FRIENDS,60%,
Dis/Mrv/SW,Dumbo,1,NEEDS_REVIEW,,,,,,,CP,,,
Dis/Mrv/SW,Dumbo (2019),10,NEEDS_REVIEW,,,,,,,never designed,,,
Dis/Mrv/SW,Inside Out 2,1,NEEDS_REVIEW,,,,,,,never designed,,,
Dis/Mrv/SW,A Bug's Life,1,NEEDS_REVIEW,,,,,,,BU,BUGS LIFE,33%,
Dis/Mrv/SW,Atlantis,1,NEEDS_REVIEW,,,,Disney Classics,Atlantis-00-Aug-03-Core guide,60%,CP,,,
Dis/Mrv/SW,Big Hero 6 TV,1,NEEDS_REVIEW,,,,,,,BK,BIG LEBOWSKI,33%,
Dis/Mrv/SW,Camp Rock,20,NEEDS_REVIEW,,,,Disney Channel,Camp Rock,100%,never designed,,,
Dis/Mrv/SW,Camp Rock 2,17,NEEDS_REVIEW,,,,Disney Channel,Camp Rock,100%,never designed,,,
Dis/Mrv/SW,Cruella (Live Action),8,NEEDS_REVIEW,,,,Stitch,Live Action,77%,never designed,,40%,
Dis/Mrv/SW,Descendants 3,12,NEEDS_REVIEW,,,,,,,never designed,,,
Dis/Mrv/SW,Disney Babies,14,NEEDS_REVIEW,,,,,,,never designed,,33%,
Dis/Mrv/SW,Disney Junior Ariel,1,NEEDS_REVIEW,,,,,,,never designed,,,
Dis/Mrv/SW,Disney Junior Super Kitties,1,NEEDS_REVIEW,,,,,,,never designed,,,
Dis/Mrv/SW,Disney Princess,2,NEEDS_REVIEW,,,,Princess,,70%,PN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Disney Stitch Franchise,10,NEEDS_REVIEW,,,,Stitch,,63%,LS,,,
Dis/Mrv/SW,Disney Zombies,10,NEEDS_REVIEW,,,,,,,never designed,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Disney Zombies 2,9,NEEDS_REVIEW,,,,,,,never designed,DISNEY VILLAINS,33%,
