character_name,style_guides,candidate_mg06_codes,reason,final_mg06_code
A.I.M.,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Abomination,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Absorbing Man,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Ace the Bat-Hound,DC Super Friends Collection Comics,,UNMATCHED,
Agent Venom,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Alligator Loki,Marvel Cross-Franchise Art Packs,,UNMATCHED,
America Chavez,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Angel,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Annihilus,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Ant-Man,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Apocalypse,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Aquaman aka Arthur Curry,DC Super Friends Collection Comics,AQ|JG,CONFLICT,
Archangel,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Avengers Logo,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Bane,DC Super Friends Collection Comics,BM|HP|JG,CONFLICT,
"Barnes, Bucky",Marvel Cross-Franchise Art Packs,,UNMATCHED,
Baron Mordo,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Baron Zemo,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Batgirl aka Barbara Gordon,DC Super Friends Collection Comics,BM|JG,CONFLICT,
Batman,DC Super Friends Collection Comics,BM|GN|JG,CONFLICT,
Beast,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Bishop,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Bizzaro,DC Super Friends Collection Comics,,UNMATCHED,
Black Bolt,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Black Cat,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Black Manta,DC Super Friends Collection Comics,AQ|JG,CONFLICT,
Black Panther,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Black Widow,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Blade,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Bombshell,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Brainiac,DC Super Friends Collection Comics,JG|SM,CONFLICT,
Bulldozer,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Bullseye,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Bumblebee aka Karen Beecher Duncan,DC Super Friends Collection Comics | DC Women Core,,UNMATCHED,
"Cage, Luke",Marvel Cross-Franchise Art Packs,,UNMATCHED,
Cap-Wolf,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Captain America,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Captain America (Sam Wilson),Marvel Cross-Franchise Art Packs,,UNMATCHED,
Captain Cold,DC Super Friends Collection Comics,FS|JG,CONFLICT,
Captain Mar-Vell,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Captain Marvel,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Carnage,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Catwoman,DC Super Friends Collection Comics | DC Women Core,BA|BM,CONFLICT,
Cheetah,DC Super Friends Collection Comics | DC Women Core,JG|WW,CONFLICT,
Cloak,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Collector,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Colossus,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Cosmo,Marvel Cross-Franchise Art Packs,,UNMATCHED,
"Coulson, Phil",Marvel Cross-Franchise Art Packs,,UNMATCHED,
Crossbones,Marvel Cross-Franchise Art Packs,,UNMATCHED,
Crystal,Marvel Cross-Franchise Art Packs,,UNMATCHED,
"Cyborg aka Victor ""Vic"" Stone",DC Super Friends Collection Comics,JG|SM,CONFLICT,
Cyclops,Marvel Cross-Franchise Art Packs,,UNMATCHED,
