style_guide,character_name,source_character_id,candidate_mg06_codes,status,final_mg06_code,rule_basis
DC Super Friends Collection Comics,Ace the Bat-Hound,4cdc100f-5b77-47f9-aece-3aa74dcaa2f3,,SPECIFIC_FRANCHISE,BM,Batman character family
DC Super Friends Collection Comics,Aquaman aka Arthur Curry,bbf42bc4-c392-4202-9d93-04765feee74a,AQ|JG,SPECIFIC_FRANCHISE,AQ,Aquaman character family
DC Super Friends Collection Comics,Bane,22b7455d-4832-4be9-bf06-26979245546c,BM|HP|JG,SPECIFIC_FRANCHISE,BM,Batman character family
DC Super Friends Collection Comics,Batgirl,19151bef-e2f0-4f57-8491-366563954f81,BM,AUTO_UNIQUE,BM,One unique same-licensor property found in already resolved style guides
DC Super Friends Collection Comics,Batgirl aka Barbara Gordon,378da08f-46bb-4666-8ef8-a3375d038ec1,BM|JG,SPECIFIC_FRANCHISE,BM,Batman character family
DC Super Friends Collection Comics,Batman,8c645722-5c67-4a64-8fc8-41b8adf09ef7,BM|GN|JG,SPECIFIC_FRANCHISE,BM,Batman character family
DC Super Friends Collection Comics,Batmobile,33fbc755-35ee-467a-bfaa-7fc8473092dd,BM,AUTO_UNIQUE,BM,One unique same-licensor property found in already resolved style guides
DC Super Friends Collection Comics,Bizzaro,f9835158-9a7d-4be1-a619-3fad624ead38,,SPECIFIC_FRANCHISE,SM,Superman character family
DC Super Friends Collection Comics,Black Manta,23ed0c87-88cb-495e-98ed-41f4f0d3479f,AQ|JG,SPECIFIC_FRANCHISE,AQ,Aquaman character family
DC Super Friends Collection Comics,Brainiac,236287d1-ae26-48b5-98d9-ab07f5a8ce62,JG|SM,SPECIFIC_FRANCHISE,SM,Superman character family
DC Super Friends Collection Comics,Bumblebee aka Karen Beecher Duncan,f1373770-bd3a-416f-996d-3dfc38f4be0b,,SPECIFIC_FRANCHISE,JG,Justice League umbrella
DC Super Friends Collection Comics,Captain Cold,df6cada4-d964-4e45-b5ff-dc54c470cc7a,FS|JG,SPECIFIC_FRANCHISE,FS,Flash character family
DC Super Friends Collection Comics,Catwoman,0ffbe594-c553-47fb-a21d-1823a7f273c7,BA|BM,SPECIFIC_FRANCHISE,BM,Batman character family
DC Super Friends Collection Comics,Cheetah,4eb039f4-a854-4d3b-ac83-1468620e43af,JG|WW,SPECIFIC_FRANCHISE,WW,Wonder Woman character family
DC Super Friends Collection Comics,Clayface aka Basil Karlo,a107c472-b358-4f38-a4e2-8b35e7b1fd90,BM,AUTO_UNIQUE,BM,One unique same-licensor property found in already resolved style guides
DC Super Friends Collection Comics,Commissioner Gordon,9a59d225-3ed6-45f4-b26a-2a22bbb7bfb9,BM,AUTO_UNIQUE,BM,One unique same-licensor property found in already resolved style guides
