licensor,style_guide,characters,folder_property,folder_leaf_match,folder_confidence,coldlion_mg06_code,coldlion_mg06_desc,coldlion_confidence,final_mg06_code (licensing team fills in)
Dis/Mrv/SW,A Bug's Life,1,,,,BU,BUGS LIFE,33%,
Dis/Mrv/SW,Atlantis,1,Disney Classics,Atlantis-00-Aug-03-Core guide,60%,,,,
Dis/Mrv/SW,Big Hero 6 TV,1,,,,BK,BIG LEBOWSKI,33%,
Dis/Mrv/SW,Camp Rock,20,Disney Channel,Camp Rock,100%,,,,
Dis/Mrv/SW,Camp Rock 2,17,Disney Channel,Camp Rock,100%,,,,
Dis/Mrv/SW,Cruella (Live Action),8,Stitch,Live Action,77%,GDL,GABBY'S DOLLHOUSE LIVE ACTION 2025,40%,
Dis/Mrv/SW,Descendants 3,12,,,,,,,
Dis/Mrv/SW,Disney Babies,14,,,,DVN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Disney Junior Ariel,1,,,,,,,
Dis/Mrv/SW,Disney Junior Super Kitties,1,,,,,,,
Dis/Mrv/SW,Disney Princess,2,Princess,,70%,DVN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Disney Stitch Franchise,10,Stitch,,63%,,,,
Dis/Mrv/SW,Disney Zombies,10,,,,DVN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Disney Zombies 2,9,,,,DVN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Disney Zombies 3,1,,,,DVN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Doc McStuffins,1,,,,,,,
Dis/Mrv/SW,Ducktales,16,,,,,,,
Dis/Mrv/SW,Elio,1,_Packaging,1587084 Elio - Packaging,70%,,,,
Dis/Mrv/SW,Emperor's New Groove,1,,,,,,,
Dis/Mrv/SW,Fancy Nancy,1,,,,,,,
Dis/Mrv/SW,Finding Dory,1,,,,,,,
Dis/Mrv/SW,Finding Nemo,1,,,,,,,
Dis/Mrv/SW,Firebuds,1,,,,,,,
Dis/Mrv/SW,Goofy Movie,1,,,,PT,MOVIE POSTER,33%,
Dis/Mrv/SW,Haunted Mansion (Theme Park),1,_Packaging,Haunted Mansion Branding,70%,,,,
Dis/Mrv/SW,Hunchback of Notre Dame,1,,,,,,,
Dis/Mrv/SW,"Incredibles, The",2,,,,,,,
Dis/Mrv/SW,Kingdom Hearts 3.0,1,,,,,,,
Dis/Mrv/SW,Lady And The Tramp,1,,,,,,,
Dis/Mrv/SW,Lightyear,1,,,,,,,
Dis/Mrv/SW,Lilo & Stitch (Live-Action),1,Stitch,Live Action,70%,LSL,LILO AND STITCH LIVE ACTION 2025,100%,
Dis/Mrv/SW,"Little Mermaid, The (Live Action)",2,The Little Mermaid,,70%,GDL,GABBY'S DOLLHOUSE LIVE ACTION 2025,33%,
Dis/Mrv/SW,Minnie,3,_Packaging,467122-Minnie-Mouse_-Adult-and-Tween-Branding Packaging-Jun 2024,57%,,,,
Dis/Mrv/SW,Moana (Live-Action),1,Moana Live Action,,100%,GDL,GABBY'S DOLLHOUSE LIVE ACTION 2025,40%,
Dis/Mrv/SW,Moana 2,1,_Packaging,2419461-Moana-2,70%,,,,
Dis/Mrv/SW,MS Disney Plus TV Shows - No Likeness,179,Disney+ Shows,,70%,,,,
Dis/Mrv/SW,MS Disney Plus TV Shows - With Likeness,37,Disney+ Shows,,70%,,,,
Dis/Mrv/SW,Muppet Babies (2018),1,,,,,,,
Dis/Mrv/SW,Oswald The Lucky Rabbit,1,,,,,,,
Dis/Mrv/SW,Pete's Dragon (2016),1,,,,,,,
Dis/Mrv/SW,Pete's Dragon (Classic),2,,,,,,,
Dis/Mrv/SW,Pinocchio,3,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 2: Dead Man's Chest,42,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 3: At Worlds End,53,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 4: On Stranger Tides,22,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 5: Dead Men Tell No Tales,14,Marvel Universe Publishing Art Archive,X-MEN,57%,XM,X-MEN,57%,
Dis/Mrv/SW,Pirates of the Caribbean: Curse of the Black Pearl,18,,,,,,,
Dis/Mrv/SW,Pixar Collection,59,Pixar,,70%,,,,
Dis/Mrv/SW,Pixar Shorts - Luxo Jr,1,Pixar,,60%,,,,
Dis/Mrv/SW,Pixar Studios Logo,1,Pixar,,63%,,,,
Dis/Mrv/SW,Pocahontas,1,,,,,,,
Dis/Mrv/SW,Preschool CG Mickey (& Friends),2,_Packaging,Mickey-and-Friends_-Branding,70%,FN,FRIENDS,60%,
Dis/Mrv/SW,Preschool CG Minnie (& Friends),4,,,,FN,FRIENDS,60%,
Dis/Mrv/SW,Puppy Dog Pals,1,,,,,,,
Dis/Mrv/SW,Pupstruction,2,,,,,,,
Dis/Mrv/SW,Ratatouille,1,,,,,,,
Dis/Mrv/SW,Raya and the Last Dragon,1,,,,,,,
Dis/Mrv/SW,Robin Hood,1,Robin Hood,,100%,,,,
Dis/Mrv/SW,Soul,1,,,,,,,
Dis/Mrv/SW,Standard Characters,1,,,,,,,
Dis/Mrv/SW,Steamboat Willie,1,,,,,,,
Dis/Mrv/SW,Strange World,1,,,,DR,DR. STRANGE,33%,
Dis/Mrv/SW,Suite Life of Zack and Cody,12,,,,,,,
Dis/Mrv/SW,T.O.T.S. (TINY ONES TRANSPORT SERVICE),1,,,,,,,
Dis/Mrv/SW,That's So Raven,9,Disney Channel,Thats So Raven,50%,,,,
Dis/Mrv/SW,The Good Dinosaur,1,,,,,,,
Dis/Mrv/SW,The Incredibles 2,2,,,,,,,
Dis/Mrv/SW,Toy Story,5,Toy Story 4,,100%,TS,TOY STORY 4,100%,
Dis/Mrv/SW,Toy Story 2,5,Toy Story 4,,100%,TS,TOY STORY 4,100%,
Dis/Mrv/SW,Toy Story 3,36,Toy Story 4,,100%,TS,TOY STORY 4,100%,
